,sentiment,wordCount
"""My friend's dad's daughter""

You...

You mean...

Your friend's sister...??",0.0,17
"""My friends dads daughter"" 
think about it",0.4767,9
"""Taylor swift I love her""",0.7184,7
"""my friend's dad's daughter"" - Alisha



your friend's sister?",0.0,12
"""my friend's dad's daughter"" it litterly means her friends",0.4767,11
#COLLABOFTHECENTURY<3<3<3,0.0,4
"*My friends, dads, daughter..*

Wait... Whaaaa?!",0.5255,14
"1:43 my friends dads daughter..


OR YOU CAN SAY MY FRIEND",0.7925,12
1:43 when she says her friends dads daughter she means her friends sister,0.7351,13
1:44 So your friend’s sister?,0.0,8
"1:47 freind's dads' daughter means her friend
no need for daughter",0.25,12
1:48 so that’s just her?,0.0,8
"1:50 ""My friends dads daughter""... doesn't that make it your friends sister?😂😂",0.7351,18
2 of my favourite you tubers,0.0,6
2:27 when a famous person or your crush likes your comment on instagram,0.296,13
500,0.0,1
"9ooo comments 



-Straight from Your Local Cup of Banana Pudding..   :)",0.5994,13
ALISHAAAAAAAA,0.0,1
ALISHAMARIE 2 OF MY YOUTUBERS IN THE SAME PLACE!!!,0.0,12
After all that she wants to get a tattoo that says only god can judge lmao 😂😂,0.7184,18
Ahhhhhh Aishaaaaaaaaaaa!!!!!!!!❤️❤️❤️,0.0,11
Alisha my FAV and Superwoman in the same video!!!! :),0.836,13
Alisha reminds me of reese whiterspoon.,0.0,7
"Alisha: ""my friends dads daughter""

Me: ""Wait. isn't that just your friend...""",0.4767,20
Alisha: my friend's dad daughter- and- diet room temperature water. Just pause and take a moment so we can acknowledge the irony,-0.0516,26
"Alisha: “My friends dad’s daughter” 😂 Anybody spot that out??😂 
⬇️⬇️⬇️⬇️⬇️





It’s the same person... or her friend’s sister!😂",0.5792,43
Alisha:my friend's dad's daughter,0.0,6
Alishamarie was perfect for this video,0.5719,6
Any chance you do a video with Quinta Brunson????,0.4515,12
"At 1:43 when alisha said friends dads daughter, wouldn't that just be her friends sister?",0.7351,17
Autotoon shakira?????,0.0,5
Been waiting for this collab foreverr,0.0,6
Bruh that’s me 😂,0.0,6
Do you now these are rumors,0.0,6
Don't be mean to taylor swift,0.2023,6
Dont dis Taylor!,0.0,4
Dont talk about tae tae,0.0,5
Don’t try the queen bey !!!😂,0.0,11
Friends dad daughter so the friend,0.7635,6
Friends dads daughter is friend,0.743,5
Friends dads daughter is the same person. You friends dad had a daughter either your friend is a girl and it is her or your friend is a boy and that is his sister,0.9118,35
"Friends dads daughter, doesn't that make the friend the makeup artist.",0.743,13
Friends dads daughter? Doesn’t that mean the daughter and friend are sisters/brother and sister? I’m confused....,0.7691,25
Gillian Clarke lit everyone said this. We know it's his daughter,0.0,12
Girls.. 😂,0.0,3
HER FRIENDS DADS DAUGHTER IS HER FRIEND!😂,0.5255,9
HILARIOUS,0.4019,1
Hi,0.0,1
How did u get juice than water???lol,0.0,11
How do you edit your Thumbnails,0.0,6
I HAVE THE SAME SWEATSHIRT AS ALISHA OMG,0.0,8
I am actually from Alisha's Channel but I am in love with both of them . ❤️❤️❤️❤️ . Sorry I am commenting so late for this collab but I am sorry but I love this.,0.9136,43
I can’t believe that Alisha Marie is in this video,0.0,12
"I didn’t understand this AT ALL 






Pls don’t tell me I’m alone...😢😢",0.0772,21
I have a exam this week and I'm very worried but I watch your videos and it's makes me fell better,0.4773,21
I have been waiting for this collab!!!,0.0,10
I heard that Cardi B and Offset aren’t even dating,0.0,12
"I just realized, this was posted on my birthday!!!!!❤️😃😃Love her vids!!",0.0,22
"I know I'm late but....







Woah... I NEVER expected this collaboration....


Never even thought of it 😃😅😱




Plzz like this so I know I'm not the only one....",0.3612,34
I know alisha!!!,0.0,6
I love Alisha sooo much!!! Alisha and llsuperwomanll are my two favorite YouTubers,0.8433,16
I love Alisha! 😍😂,0.6696,6
I love T-Swift,0.6369,3
I love alisha I am subscribe to her. Channel,0.6369,10
I love how Lilly knows like a lot of you tubers!,0.7901,12
I love this video it’s AAAAMMMAAZING~| this stuff is sooo true,0.7906,15
I love you too!!,0.6988,6
I love you two guys,0.6369,5
I was like OMG the whole time,0.3612,7
I wish Lily would do a collab with Niki  and Gabi,0.4019,11
I 😈😈😈💔💔💔💔you . I💖shakira,0.0,12
IISuperwomanII,0.0,1
IISuperwomanII I love Alisha Marie! ❤️,0.6696,8
IISuperwomanII I love you sooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo much,0.6369,6
IISuperwomanII I love youuuuu,0.6369,4
IISuperwomanII LOL,0.5473,2
IISuperwomanII THIS IS A DREAM COME TRUE LOVE  UUUUUUUUU,0.9042,9
IISuperwomanII can you collab with Macaulay culkin,0.0,7
IISuperwomanII get taylor swift next please,0.4767,6
IISuperwomanII i am starting a YouTube channel i was wondering if i can use the name supergirl please reply,0.3182,19
IISuperwomanII omg I liked before I even watched the video LMAO!!!!!,0.6083,14
IISuperwomanII so relatable lmao luv u,0.6344,6
IISuperwomanII u are amazing and I am subscribed to your YouTube channel #U ARE THE BEST,0.8668,17
IISuperwomanII yep this is me.,0.296,6
IISuperwomanII ❤️,0.0,3
IISuperwomanII ⭐️✨💕👍👻,0.0,7
Is Alisha not uploading a video,0.0,6
Isabella Lizra-jenkins no she sucks,-0.5719,5
Isn't your friend's dad's daughter your friend?😂😅,0.0,10
Isn’t your friends dads daughter be your friends sister,0.7351,11
Katy Is better thoo,0.4404,4
LMAOO SHE CAME FOR STAN TWITTER,0.0,6
Let’s get her to 13 million!,0.0,9
Lilly I love u I been watching you a lot my name is perla btw 💕🌸,0.6369,17
Lilly is a genious! love her comedy,0.7901,8
Lilly works so hard to give joy,0.4467,7
Lilly's face in 2:27 😂😂😂,0.0,7
Lol my friend’s dad’s daughter,0.4215,9
Lol?,0.4215,2
Love both of u! MY FAVS,0.6696,7
Love the viddd 💜💜💜,0.6369,6
Make more of these,0.0,4
My brain hurts now.... 🤦🏻‍♂️,-0.4767,10
My friend's dad daughter doesn't that make it easier to say my friend's sister,0.4215,14
My friend's dad's daughter is her makeup artist 😭😭😂😂😂fuck,0.0,14
My friend's dad's daughter is her makeup artist. Okay.,0.2263,11
My friend's dad's daughter...,0.0,5
