,sentiment,wordCount
"""Gucci Gang""? What are you, 12?",0.0,11
#18 on trending,0.0,3
"#22 on trending, congrats guys!",0.5707,7
#22 on trending?! HELL YEA SKATEBOARDING,-0.7667,8
#22 trending,0.0,2
*Esketit* Give Me The Little Heart <3,0.3862,9
*WHEN BAE SAYS YOU CAN COME OVER*,0.0,9
1:37 *what does that mean?* haha Aaron you kill me,-0.4019,13
22 treading,0.0,2
22th on trending,0.0,3
4:10 you're welcome,0.4588,3
4:11 you're welcome,0.4588,3
4:12 you're welcome,0.4588,3
"4:31 when luke said ""man"" he sounded like drake",0.3612,11
@3:36 Toy Story Scene with the aliens going oooooooooooooooOOOOOOOOOoooooooooooooooooo,0.0,11
Aaron is a better skater than tony hawk,0.4404,8
Aaron is my favourite. He is so sarcastic,-0.3851,9
Aaron should be giving this guy the money  now to pay for his knee replacements in a few decades.,0.25,20
Aaron still on this channel I'll check in again about a year,0.0,12
Am I the only one that wants to see Jeff Dechesare do the Braille drop?,-0.2732,16
Ankles of steel,0.0,3
"Anyone else cringe every time Lance spoke... Jesus Christ Lance, your better than that man...",0.4404,18
Are you guys planning to add a half pipe?,0.0,10
Arron your cool and shit but high-key your a pussy,-0.1655,10
Ayy yall are trending,0.0,4
Ayyye trending rn,0.0,3
Ayyyyyy trending,0.0,2
Braille #22 on trending? Whattttt!!!!,0.0,9
Can I  have a free skateboard bro house,0.5106,8
Can I get a board soon,0.0,6
Can I get a free skateboard a for real,0.5106,9
Can I have a free skate board,0.5106,7
Can I have a free skateboard,0.5106,6
Can I still have or ...,0.0,6
Can someone send these guys a bunch of japanese maid outfits and see them play skate in them???,0.4479,21
"Can u stop saying ""Gucci gang let's get it lil pump jetski"" it's so annoying",-0.6899,17
Carlos is actually a god!!,0.3987,7
Carlos is such a superhero that Marvel is gonna make a movie about him.,0.4215,15
Carlos rules!,0.0,3
Carlos should finger flip the braille drop that would be crazy!,-0.5848,12
Congarts bro,0.0,2
Congrats on trending,0.5267,3
