,sentiment,wordCount
"4:50 ""let's cook our legs""..........( no thanks i like my legs)",0.4939,16
7.99 is expensive???,0.0,6
"8$?! lol I can just catch my own, but good video.",0.722,16
:( poor little froggo,-0.7184,4
:-( Kermie...,-0.3612,3
"Are there ways to eat the rest of the frog???   Not that I would want to, mind you.....just wondering....you paid $2 per leg.....wow!",0.2805,35
As If,0.0,2
"At least you bought them dead, my ex step father used to just cut the legs off and let it die. I’m pretty sure I’m still traumatized",-0.8176,33
Attack of the Titans coking show.,-0.4767,7
Best succulent parts of frog is the tung. Try it.,0.6369,12
Can’t wait to try this.,0.0,8
Definitely do an alligator recipe next!,0.4574,7
Dip that leg in hot suace,0.0,6
"Do you eat the rest of the frog? Or, is it just the legs?",0.0,17
Don't tell other people what to do.,0.0,8
Don’t tell Miss Piggy 🐷,-0.1531,7
EMMY YOURE TRENDING!!!!!!! #49,0.0,7
EVERYTIME youtubers are sponcered by hello fresh i think they say HELLA FRESH,0.7476,13
"Eating frog's legs is quite normal where I'm from, we just roll them in flour and bake them in butter and at the end you add some cloves of garlic/some herb butter and serve it with a bread, yum! Luckily we can buy them here already removed from the body/head...",0.5562,58
Emmy on trending! I love it <33,0.6696,9
Emmy you're trending,0.0,3
Emmy! Love your videos. Could we have another bee update on your other channel? Even if nothing much has happened I would love to see how they're doing. Thanks for being my favourite youtuber! X,0.9167,40
"Emmy,  

Thank you for this fun educational moment :)

What species of frog is this, do you know?  The bullfrog from China is invasive where I live (in the PNW, USA).  They are killing off many of the native creatures.  Some people go out at night spearing as many of these little guys as possible. 
 
I'd love to see more videos on entomophagy.  Especially recipes/prep ideas for Dubia cockroaches :) 

Again, thank you for sharing.",0.9475,89
"Emmy, I love you but you nasty...",0.3818,9
Ew,0.0,1
Frog leg is super delicious!,0.8356,6
Frog legs are so delicious especially with lemon pepper seasoning.,0.6948,11
Frog legs are so good!,0.6166,6
Frog legs taste like a bitter chicken,-0.0772,7
Frog legs was my favorite snack back in mexico 😍,0.4588,10
Frog legs with Bleu cheese is good,0.4404,7
Frogs carry the Herpes Virus. Bah!,0.0,8
"Frogs legs, Turtles, and squirrel were all eaten by our ancestors. There still exists recipes for them all but for the most part these recipes came from Asia.",0.0,32
"Frogs, huh? Yeah, frogs are okay. But you haven't lived until you've tasted human 😌",0.4767,19
GMA,0.0,1
Gross,-0.4767,1
Gross. Go vegan and stop torturing innocent animals who don't want to be eaten.,-0.7976,16
"Had frog legs at a buffet once. They really do taste like chicken. Noticeably salty, but chicken nonetheless.",0.222,22
