,sentiment,wordCount
"""If Fed was born.."" - All  I read is ""If..If..If..""  - Well he's not. So in your words ""booyah bitch""! Let it go, man.",0.3382,40
"""Need this for my live story"" - Rod Laver probably",0.0,12
"""strong men also crie""...",0.5106,7
"#20, unfathomable",0.0,3
"#LesConfessions 

🔜https://m.facebook.com/story.php?story_fbid=1977268415933435&id=100009508874094

(#ChefDoeuvre écrit par #SaintAugustin d' #Hippone)

👠https://fr.m.wikipedia.org/wiki/Les_Confessions_(saint_Augustin)💄

Je regarde les membres de #RockAffinity danser, s'amuser au #DarlingClub de #Lausanne...Cette sortie m'a coûté très très cher. 36 balles environ, car une #sorcière a réussi a casser en 2 #LaClé de mon #scooter, un #crime #ignoble qui m'a forcé de rentrer en #taxi à #LaCroix. 

Personne n'est venu me tirer une balle dans la tête, à part 2 #hurluberlus, qui m'ont tué du regard; je parle de l'étudiant français Augustin, toujours déguisée en #dragqueen, enrobée de #lingerie en #dentelles, ainsi que tout un #arsenal #érotique comprenant des #hauttalons et tout un #tralala style #MoulinRouge. Il/ ""elle"" était accompagnée de son #GardeDuCorps, précisément sa copine suisse, Louise, habillé, elle/ ""lui"", en pantalon, exactement comme un #garçonmanqué. 

Ils m'ont avoué tout deux être extrêmement  énervés et ne pas vouloir du tout m'aider à TRANSMETTRE L #'AVERTISSEMENT INSCRIT sur le / les liens suivants...

👉http://www.choix-realite.org/7074/propheties-du-pere-constant-louis-marie-pel-1878-1966

Suis-je forcée d'être célibataire ""consacrée"" pour préserver ma #PuretéVirginale, et éviter des péchés considérés comme très graves par #JésusChrist et Son #ÉgliseCatholiquRomaine #Unique et #Universelle, à savoir la #cohabitation, le #concubinage, la #fornication, l' #avortement, etc...suis-je forcée d'être célibataire ""consacrée"" pour espérer demeurer en #ÉTATdeGRÂCE sous l'OEIL TRÈS OBSERVATEUR du Dieu TOUT-PUISSANT ? 

JE LE DOIS !!! 

Néanmoins, le célibat consacré n'est PAS UNE VOCATION à VIE pour moi ! J'ai dû, tout simplement, m'habituer à nettoyer la merde dans les toilettes de tout le monde un long moment et à faire réparation, c'est à dire à expier mes péchés et ceux des autres AUSSI !! jusqu'à cette triste date ! 

VIVE LE #PURGATOIRE AVANT L'HEURE ☡

👉https://fr.m.wikipedia.org/wiki/Purgatoire

Et toi ? Ta relation / ton mariage bidon / civil / invalide...laisse moi t'apprendre qu'il n'est pas une réussite, au contraire ! C'est UNE GROSSE MERDE À ÉVACUER DANS LA CUVETTE ! Qui va tirer la chaîne, l'eau nécessaire pour que TA MERDE PUANTE S'EN AILLE SE CACHER, s'en aille SE DÉSINTÉGRER À QUELQUE PART AU PLUS VITE ?

👉http://www.tldm.org/news6/new-era.htm

À ce sujet, j'ai vu un FILM FRANÇAIS ATROCE hier, aux #GalleriesDuCinéma. 

J'ai VU LE CAUCHEMAR RÉEL DE BEAUCOUP DE COUPLES MODERNES, VIVANT DANS LA MERDE TOTALE, C'EST À DIRE LE  #PéchéMORTEL QUI FAIT CHUTER LES ÂMES EN ENFER À L'HEURE DE LA MORT, LES PÉCHÉS COMMIS AVEC UNE CONCUBINE / une PARTENAIRE ILLÉGITIME. 

👉https://en.m.wikipedia.org/wiki/Concubinage

CERTAINS SE CROIENT MARIÉS, MAIS ILS NE LE SONT PAS DU TOUT EN RÉALITÉ !!! CERTAINS ONT DES ENFANTS ILLÉGITIMES, QUI VONT ÊTRE CASSÉS / DÉCHIRÉS / ET QUI SERONT ÉGALEMENT TRÈS PAUVRES ET TRÈS MÉCHANTS BIENTÔT !

👉https://pathe.ch/fr/cinema-lausanne/films/garde-alternee#/

Problèmes et solutions proposées dans l'exhortation papale, #AmorisLaetitia ??? 

Q: Y-a-t-il quelque chose plus haut que dieu ?

R: Je ne crois pas aux réponses du pape françois. Je ne crois qu'au CHÂTIMENT DIVIN QUI VA FRAPPER ET QUI A ÉTÉ PRÉDIT TRÈS SÉRIEUSEMENT SUR LE LIEN QUI SUIT

👉http://www.choix-realite.org/7074/propheties-du-pere-constant-louis-marie-pel-1878-1966

Ceci, pour remettre le point sur le i de l'homme qui se prend pour un dieu + remettre toutes les pendules à l'heure !",-0.9485,583
#R_F : the best in the world,0.6369,7
#legend,0.0,1
15:20  This will be the greatest sports moment in 2018.,0.6369,11
15:20 Epic Moment .... Thank you Roger!!!!,0.5673,10
15:21 Emperer's tear? Roger .,0.0,6
