,sentiment,wordCount
"""Best hands"" if you know what I mean",0.6369,10
.ll,0.0,2
6:05 Michael Thomas cheated and never completed the 1-handed catch,-0.5106,12
6:19 he stepped on the bag hahaha,0.5574,7
Adam Thielen isn’t in this?,0.0,8
Adams is one of the most underrated receivers in the league. Great route runner,0.6249,15
Aj Green would smash all them 🤦🏾‍♂️😂,0.0,12
Alex smith is so asss,0.0,5
Alex smith is too used to throwing to tyreek hill lol that’s why he kept overshooting those over the shoulders,0.4215,22
Alex smith trash,0.0,3
All these dumb lil games ;) while pats are busy winnin CHIPS,-0.34,12
And Keenan,0.0,2
Aye where my cowboy fans at🔵⚪️,0.0,9
Best hands i have them ill give everyone there these hands,0.34,11
Boring.....,0.0,2
Boring.with out the best hands in the NFL there,0.6369,9
Boycott....sike,0.0,3
Bro why did Keenan Allen do it he sucks,-0.3612,9
"But they have gloves on... This competition should be called, ""Who gets thrown the more accurate pass and the stickier gloves competition""",0.0,26
CANT GUARD MIKE!!!,0.0,6
Can we do a competition to see who is better at dropping passes. Julio and Dez would put on a show.,0.4404,23
Cant guard Mike for the Dub,0.0,6
Carr made the pro bowl but not Stafford? What a joke,-0.3252,12
Come on Keenan,0.0,3
Credit lung section emgmo standing menu suit hell cart nerve shut flight.,-0.4588,13
Dam keenan,0.0,2
Davante adams got slayn twice this year and still produces lol,0.4215,11
"Davonte Adams = uhh, ahh bad call by the ref",-0.5423,11
"Dear friends be highly encouraged to make peace with God the Father through Jesus Christ THIS VERY MOMENT. Pray and tell Jesus you are sorry for your sins against God. Ask Him to save you from your sins. Put Jesus Christ first in everything you think, say and do. As soon as possible be water baptized and ask and trust Jesus to fill you with the Holy Spirit. Allow the Holy Spirit to help you read and absorb the New Testament Bible. Obey the commands God has recorded for followers of Jesus Christ to obey. Join other Christian believers to help answer your questions, to pray with and encourage and strengthen one another. You will be rewarded greatly and your life will be forever changed! God bless you in the Glorious name of Jesus Christ our Lord and Savior. ❤️❤️❤️",0.9936,157
Derek Carr won that,0.5719,4
Devante Adams ugh ugh ugh 😂😂,-0.8126,7
Devante likes grunting,0.4215,3
Did Adams really throw up west side 😂🤷‍♂️,0.0,12
Did Antonio Brown have the flu?,-0.3818,7
"Did they seriously say ""this is one of the biggest moments in his life"" when referring to Jarvis Landry trying to defend his record??? Lolol 😂",-0.3049,31
Don't cheat Jarvis Landry,0.357,4
Even the refs don’t know what a catch is in this either,0.0,14
Fatigue how the hell do these guys play NFL games?? This is nothing compared to games or even a lot of conditioning drills,-0.6767,25
Gahhhdd damnnn keenan💀💀💀,0.0,6
Glad they use actual nfl referees...horrible,0.4588,8
Go bucks,0.0,2
God the pro bowl is ass,-0.34,6
Haha,0.4588,1
"How are these WRs and QBs selected to rep their conferences? There were more than 2 QBs and 2 WRs that made the Pro Bowl, not sure of how that works.",-0.2411,34
"How come I never see Gronk, Amendola, Edelman, or Brandin Cooks in this competition???? OH YEA, THEYRE ALWAYS WINNING SUPERBOWLS. OWNED",0.7264,29
How much does Keenan Allen get paid????,0.0,10
How the hell is Keenan Allen in the NFL?,-0.6808,10
I didnt see them use theyre foot not 1 time,0.0,10
I don’t even know what’s going on but this guy got some skills,0.0,17
I expected mia Khalifa,-0.296,4
I miss when trending was just yt videos.,-0.1531,9
"I thought AB, Adam Thielen, and Deandre Hopkins would be in this",0.0,14
I was there,0.0,3
I would hate to be in the superbowl just so I can play in the pro bowl and do these Games,-0.2551,21
If D Hop was here it'd be no competition,-0.296,9
"If you don’t respect black players or people, then stop watching the nfl. Kneeling is nothing to do with troops or being a traitor. If you’re too retarded to look up why or understand then too bad.",-0.743,45
If you sub to my channel I will sub back,0.0,10
"In my opinion, this is an overall pointless skills competition.  I don't see how these guys can get into any sort of rhythm if they have to stop in order position themselves at every obstacle.  I dunno, maybe it has more to do with the cadence between QB and WO/WR.",-0.5719,57
Isaiah Thomas nah he’s a proud saint,0.4019,9
I’m a huge bengals fan and I must say I think my boy AJ Green would beat anyone in the league in best hands competition.,0.8316,28
Jared Goff accuracy is ass,-0.5423,5
Jarvis did decent in the competition but he didn’t do anything good for my fantasy team,0.5927,18
"Jimmy Graham is also a free agent, wonder where he will end up, i doubt seattle , cause they went all in with wilson.  and that team is depleting!! plus graham has not made much a difference , he needs a real throwing qb!",0.3971,50
JuJu Smith-Schuster dad,0.0,3
Julio!!,0.0,3
Keenan Allen couldn't even finish LOL,-0.4356,6
