,sentiment,wordCount
"""Got myself a fiance..."" - sounds like ownership. 
Women don't seem to mind sexism when they're owned by a multi millionaire",0.3612,25
"""We are still kids when we fell in love""

Yeah, now that line in PERFECT suddenly makes alot of sense. Anyway, congrats to him and hi future family life.",0.9353,35
"""We were just kids when we fell in love""",0.6369,11
"""we were just kids when we fell in love""",0.6369,11
#relationshipgoals❤️,0.0,3
*sing,0.0,2
"+Jeremey Manuelpillai Everywhere, just need to scroll down a bit to find people calling her a gold-digger and saying Ed is ""blind and stupid"" for marrying someone like her.",-0.5574,34
"1) Mcfly
2) Elton John
......",0.0,8
109% gold digger,0.0,4
1:06 “how’s the sex”,0.0,8
83Jude Taylor Swift,0.2023,3
83Jude Taylor Swift???,0.327,6
A fool and his money are soon parted. Only a moron would get married nowadays.. he doesn’t seem that bright to begin with.,-0.4939,28
Absolutely 150% 😆,0.0,4
"Ah young love. I give them 3-4 years then on to the next marriage.
Sorry girls, we men are ok facing reality and you still love living in the bubble of happily ever after. That's the way we all are. Can't change us can't change you.",0.9313,52
Ahhhhh I dont care,-0.3875,4
Alpha Sapphire I swear me Ed and the castle on the hill :),0.4215,13
Alpha Sapphire it is actually about me,0.0,7
Also he said once he has a kid he will stop music,-0.296,12
Am I the only one that thought Ed Sheeran was gay?😂,0.0,13
And how would you people know this? Do you know them personally?,0.0,14
Anime is so cringey...like they're ALL the same cringey shit.,-0.5574,13
Atta boy Ed!,0.0,4
Aww happy Ed Sheeran.,0.5719,5
Aww that’s so cute,0.5949,6
"Aww, I was gonna marry him 😫😩😭",0.0,10
"Aww, too bad she waited until he was worth over $50 million to  get with him tho. True love",0.6597,22
"Awww I think the song ""perfect"" was about her
Because they both were kids when they fell in love> the lyrics...",0.0,25
Awww congratulations!!!,0.6981,5
Awww how nice! Happy for the guy!,0.7955,9
Awww😩😩😍😍#foreveralone,0.0,6
Beautiful glad you found love,0.9022,5
BeeleeDatPleighboi 100 ..... and you know this how????,0.0,11
"BeeleeDatPleighboi 100 brush they dated in high school, she's not a gold digger lol",-0.3252,15
"Black Hippy I don’t know a lot about this but I’m assuming she moved on with her life while ed was out performing on street corners, I could be completely wrong but idk I feel like she would have stuck by him if it ‘true love’",-0.7036,53
CUTE!,0.5093,2
Can we just talk for a minute about how awesome her name is? 😆😂 Cherry 🍒 Seaborn 🌊. Like the name out of some adventure book,0.836,29
Catwow might be junior High? I know here where I’m from there’s high schools tht have 6th -12th grade on one school Bc the town is so small & where he’s from it’s a small town as well i dont know just a guess,0.2732,54
"Cherry's middle's name is Paean, and it means song of praise or triumph..Another Ed's song he wrote about her is 'How Would You Feel (Paean)'",0.5574,32
Childhood lol .,0.4215,3
Chur bro... bring her to dunners next time you down.,0.0,12
Classic! When the ugly best friend makes fame and fortune.... anything's possible...,0.807,15
