,sentiment,wordCount
*D U M B*,0.0,6
10 seconds really?,0.0,4
12.2s is shit even for motorcycles,-0.5574,7
"2,418 lbs. Maybe a bit more since I added the radiator. Not too bad considering the original car was about 2,300.",-0.296,24
"2.5 sec. Well, it definitely seems plausible if you have no roll cage to weigh you down. And I'm guessing there's no retro-fitted airbags so it's fine not to bother with a helmet because it wouldn't really increase your odds of survival if a speed wobble ever entered the events schedule. 

IF that thing fishtailed, I imagine it would tumble down the road like a craps dice only coming to rest finally in the local church cemetery at the edge of town...",0.5907,88
@ Fenett Gunond Jr Because it will be more fun to drive and it will irritate/annoy BEV fanboys. Automotive trolling.,0.5563,24
"@ abrakadabraalakazam No, that's a Chevy Chevette with a Corvette engine in it, not a really old RWD Accord with an LS V8 in it.",-0.296,28
A big RC car,0.0,4
Almost thought it was a 510.,0.0,7
"An Odyssey might be a good candidate for a Nissan Leaf battery pack since they are flat. There might be room to put them under the floor. I think you'd have to go front wheel drive though, rear wheel drive would be a big packaging issue in a minivan.",0.4404,53
"And it has 4 doors, so who cares",0.507,9
Arrest this man for speeding,-0.34,5
Awsome project btw!,0.0,4
Beautiful. Love the sound.,0.8442,6
"Bolink RC! I had one back in the late 80s in the early 90s! As an RC enthusiasts my on road cars were Bolink chassis and they looked and sounded exactly like that. That's amazing good job brother! I want one! 3 questions where do you race them, how long does the battery pack, last and does the guy turn his head when you make Corners? LOL",0.9485,75
Can you build a 90s crx with tesla goods. You'll be awesomer!,0.0,14
"Cool, but the fuck does a battery powered Honda tie in with a gasser?",-0.6249,16
Definitely needs a clever/punny name emblazoned in gold leaf across the doors.,0.4019,15
Don't 600cc bikes run like 10's and 11's?  lol,0.6486,14
Dope,0.0,1
Dude we need more on this please,0.4506,7
EarthDreams just kicked in yo!,0.0,6
Electric Highboy Accord? Well now I do believe I have seen just about everything.,0.2732,16
"Exact color -- ""Oslo Ivory"" haha. I've only seen one other one in my life. They are unicorns.",0.4588,24
FU** :-)),0.5859,5
FUCKING COOL,0.3804,2
Fanteslastic !,0.0,2
"From a guy that built a small block powered, dueced axled Geo Metro mud bogger, this car made me jizz a little in my pants.",-0.4404,28
Fuck everything else on the Trending page. THIS is the best video on there right now.,0.1779,18
Fuck your god.,-0.34,4
"Fucking awesome. Some people think electric cars are ruining car culture, I think this proves just the opposite!",0.5697,21
"Go for it, email me at teslonda@gmail.com if you need anything. Thanks!",0.4926,15
"Go for it, thank you!",0.4199,7
HEY! I have been looking for that car! I had the exact same one in High School back in the late 1990s. https://imgur.com/J92lwGA,0.0,26
Hahahaha,0.0,1
He built himself an electric bike why are you trying to take that away from him?,0.0,17
"Hey there, I'm a journalist for Inhabitat and we'd love to share the Teslonda on our site! Is it all right with you if we screenshot the video and include the images in an article?",0.7712,38
"Hi there, Journalist here from ETtoday(Taiwan news media)
we saw your video was interesting and would love to grant permission from you on sharing 
your video in our news media site.
We will mention your channel and source which links to you in our description.
feel free to ask me anything ! thank you and have a nice day.
ashe@ettoday.net",0.9642,67
Hi what is the miles range on this setup? Thanks,0.4404,11
Hillbillies drive mopars i think...,0.0,6
Holy fuck!,-0.5848,3
How do I buy one? What's your price?,0.0,10
How much does it all weigh?,0.0,7
How will kids say cars sound like when they don't say vroom anymore?,0.3612,14
I freaking love it!!!!,0.5526,7
I have so many questions,0.0,5
I have to question how much these guys know about cars if they think their Datsun 510 is a Honda Accord.,0.0,22
I like that this has been edited and still looks like this,0.6124,12
"I need more information about this car, it looks so awesome.",0.7384,13
"I needed room for the battery up front, so the original front suspension had to come out. Using a gasser style straight axle was easy, and it gives me good weight transfer for launch.",0.8511,38
I particularly love how you ended your comment. Too fucking hilarious.,0.8169,13
"I sounds like a toy car! ^^
Certainly has MUCH better performance, though! :D",0.9084,18
"I still can't stop giggling at this.   It's totally a datson with a honda logo huh, my dude.",-0.0572,21
"I think they plan to hustle unsuspecting hillbillies with thar mustangs:
https://www.youtube.com/watch?v=1Cp3CRmcAJU",0.0,13
I think we'll be able to get the dash to play Doom soon. Crysis might be a little bit more than our hardware can handle.,-0.0772,27
I think you meant oversized RC,0.0,6
"I think you overestimated Volt's electring range by 30% ... BUT ... Volt is using only half of the battery capacity to prolonge it's life, so you actually could get 60+ miles if not doing starts like these. ;)",-0.0811,43
I want this thing to win every green light.,0.6249,10
"I will be doing more videos very soon, unfortunately we got a lot of snow so I'm waiting for it to melt. Teslonda isn't the best winter car haha",-0.4672,31
I would like to do this with a vintage F100.,0.3612,11
"I'd be happy to, but I'm not cheap haha :) teslonda@gmail.com",-0.6237,12
I'd drive this Accord over ANY 2018 Accord ANY DAY OF THE WEEK. it's actually timeless with it's body style,0.0,21
I'd stick my balls in it,0.0,6
"I'll make a longer video soon. We're getting some snow on the roads now, but as soon as it warms up I'll be back out there testing.",0.3919,30
"I'm not 100% sure yet, I need to test more. The stock Chevy Vold does about 40-50 miles on electric power, but I'm a lot lighter (at least 1,300 lbs). I bet if I'm easy on it I could get 60 miles or so.",0.5218,52
If you’re going to waste your time doing this get a car that’s worth a shit,-0.6705,20
IncognitoTorpedo  ?,0.0,2
Is that the sounds from brakes or from the tesla motor?,0.0,12
Is this running on e85?,0.0,6
Is this street legal? Cool even if it wasn't,0.4215,10
It goes just like a Traxxas RC car hahahahahahah,0.3612,9
It sounds like a remote controlled car 😂,0.3612,8
It's a 1981 model. Last year of the first-generation Accord.,0.0,12
"It's from a P85. The ""D"" motors are actually a lot smaller, so if you only use one at a time you won't have as much power as the ""big"" drive unit. That being said, a dual motor version would be fun to do in the future.",0.5106,57
