,sentiment,wordCount
""" explain what hooked up means. C'mon "" awesome!😂😂😂",0.0,14
"""NOT!"" Shit, I don't know what's happening to me but I'm joining the ARMY.",-0.3802,19
"""Not"" 😂😂",0.0,5
*I'm still thinking what's the flavour of the tea...*,0.0,12
*J-Hope*=*Jake Paul*,0.0,8
"*Jin be like* Hello *clears throat* Hi my name is Jin, and *makes his trademark face of ''obviously!''* worldwide handsome. *we would know because he's always saying it X'D ever the modest one, Jin.*

I love these beautiful humans so much lmaoo MY HEART <3<3",0.9117,63
"0:17 when someone said ""I love you"" in korean language, V be like VSH00K along with the girl behind suga 😂😂😂 thats cute",0.8658,29
0:22 look at the girl in the bottom left corner 😂,0.0,11
"0:38 
Jungkook: Hi! Nice to meet you guys I’m Jungkook
Fan: hi daddy 
IM SCREAMING",0.2638,20
0:43😂😂😂😍😍,0.0,6
1:47 Jungkookies eyes looking off in the distance,0.0,8
3:36 oh jin,0.0,3
3:47 is my part I  like V a lot...,0.3612,10
7 beautiful talented boys who arw born to slay😊,0.802,10
"AHHHHHHHHH HHH





AHHHHHHHHH HHH BTSSSS !!",0.0,7
Acorn M dead🤤❤️,0.0,6
"Alex Vergara International superstars BTS, a group of rappers and singers from South Korea",0.0,15
"Alorah He probably just says Go on, or smth",0.0,10
Also RM's accent is so nice I am shaking,0.3925,9
And you should learn that your opinion is irrelevant to this.,0.0,12
"As so as the brought out friends I yelled "" THEY LOVE FRIENDS AS MUCH AS I DO I LOVE THEM MORE "" !!",0.9606,25
At least her gifts were alrightttttt. Missing bubble gum... 😧,-0.296,12
At least in Korea people who get plastic surgery end up looking 100000000 times better than Americans who look like walking ducks with butt implants.☕️☕️☕️,0.6597,33
At the start when they introduce thereselfs I cannot hear them cause everyone is screaming,-0.3818,15
BLACKPINK SHOULD VISIT ELLEN!,0.0,5
BTS  you are my only hope.,0.4404,7
BTS come to Finland,0.0,4
"BTS. Recently worldwide stars. Group of 7 people: Kim Seokjin, Min Yoongi, Jung Hoseok, Kim Namjoon, Park Jimin, Kim Taehyung, and Jeon Jungkook. Extremely down to earth once you learn more about them. Make music for themselves and their fans, not to please anyone. Love weird things and always put smile on people faces.",0.6172,68
Best song ever👍👌👌☺🎂,0.6369,8
Boy that sing bts,0.0,4
Bro i never thought that my death will come this early,-0.5994,11
Bts,0.0,1
"Carla Mae Panesa 
Yes he is 😊",0.4019,7
Cheesy or not doesnt matter. They are so much loved by millions of people around the world. Obbiously so many people do not agree with you,0.4807,28
"Chelsea Valentine Only RM is fluent, but the rest of them try really hard to say stuff in English",-0.2592,20
"Chrissy Cabusi They all can speak some, only Namjoon is fluent though",0.0,13
Cute ni taehyung !! 😂😍,0.555,7
Deb Chamberlain Their song is literally called Mic Drop so I dunno what bugs you,-0.2732,15
"Did anyone notice how shy and quietly Suga spoke? MY POOR HEART I'M GONNA DIE FROM THE CUTENESS OF ALL THESE BEAUTIFUL ANGELS I SWEAR!

This was literally the cutest introduction ever.

okay but like V's voice mahgawed 0:12

AND RM IS SUCH A GOOD LEADER I LEGIT HAD THE BIGGEST SMILE ON MY FACE JUST WATCHING THEM I cry oh my goodness",0.94,66
"Didn’t know they can speak English, SHOOK.",-0.2808,11
Do u think they were made in some illuminati lab to allure the public😍😍cos it’s not humanly possible to be so smexy😍❤️❤️,0.0,32
Does anybody know whats in Tae's ear,0.0,7
"Does anyone have a translation for when the interpreter is trying to explain ""hooked up""",0.0,17
Dude I’d pay to drink the leftovers on that mug Tae was drinking in,-0.1027,16
"Ellen: ""Explain what hooked up means. Come on.""
Me: ""LMAO ELLEN YOU'RE MY FAVORITE!!"" *DEAD INSIDE",0.7365,27
"Ellen:have u ever hooked with ur #ARMY?
Me:nope!they can't do that and even if they did 




WHAT ABOUT INTERNATIONAL #ARMYS??!!!?!?!?!?!??",0.0,42
Estan PUTÍSIMOS!!!,0.0,5
Excuse me they are Korean? No one needs to speak English in Korea bcz their native language is Korean duh?! Unless you can learn and be able to speak a foreign language by watching a tv show three times shut up,-0.372,44
God bless American tv for not white washing,0.5994,8
Greece here!🙋🙋,0.0,5
Haha thats bullshit. He was forced.,-0.5859,8
"Hahahahaha.what if jonnah hills is your interviewer............by the way ""rape monster"" is awesome",-0.1531,17
He learned English watching friends we’ve been watching Korean drama and the only thing we know is Annyeonghaseyo or Sarahangeyo,0.4767,22
"Hey guys hi hi 

Me:OMG",0.0,7
"How I found out my bias

This was the first video I watched ever of BTS and immediately looked at Suga and fell in love. Tell me about how you started liking your bias if you want to. Cheers ^_^",0.8591,44
I LUV PM AND SUGAI also like Jhope,0.3612,8
