,sentiment,wordCount
"""I do have an uncle named Cliff though"" 😂😂😂😂😂",0.0,13
"""I have an uncle named Cliff, though"" Lol",0.4215,11
"""Sean, I've been a survival expert for about 4, 5, maybe even 6 minutes now!"" 
Haha! I'm I the only one who saw that coming?!?!",0.6734,36
"""Yeah! We gotta walk bac-""
Cracked up so bad.",-0.6988,14
"""Yeah, I think I'd rather risk dying so..."" - Sean Fujiyoshi LOLOLZ",-0.2732,16
"""i have been a survival expert now for 4,5, maybe even 6 minutes now"" -Ryan Higa 2017",0.0,21
*FUCK THIS ROCK*,0.0,5
"*S C I E N C E , S E A N Y  B O Y*",0.0,18
*WELCOME BACK TO NAKED AND AFRAID.*,0.0,9
"*_I TOOK THE SKINS, RYAN! COME AND GET ME!!_*",0.0,16
*hey guys!!! will you subscribe to my channel? I create or you can say edit and upload parkour videos*,0.4545,25
.........,0.0,1
22k likes omg that's crazy congrats!,0.6239,7
"4, 5, maybe 6 -years-  minutes lmao",0.5994,11
=)),0.0,2
AMAZING!!!! do another one,0.0,7
Aaron Roberts I don’t know if they have the movie....,0.0,13
Aaron Roberts sucker,-0.5267,3
"Angry, hungry yes I'm hangry 😂",-0.1531,7
Anna Panarina,0.0,2
Anna Panarina   K,0.0,3
Anna Panarina I,0.0,3
Anna Panarina i,0.0,3
"Anna Panarina wow 22k likes in two months! 11k likes a month, man!!",0.8827,17
Anyone else notice how Ryan and Sean swap the same necklace throughout the video?,0.0,15
"Asian bear gylls 😂😂😂
 Your the best",0.6369,9
BRING BACK SKITZO!!!!!!!!!!!!,0.0,6
Best show ever,0.6369,3
But it's just a joke.,0.296,6
Can most DEFINITETLY do an ollie,0.0,6
Check out my vids please,0.3182,5
Comedy is dark for me too,0.3612,6
DEMONETIZED,0.0,1
DONYOU EVEN REALISE WHAT YOURE DOING TO US THAT ACCENT MAKES ME WANT TO CRY AND LAUGH AT THE SAME TIME,0.2023,21
"Dear Ryan

Smell POTATOES!!!!!!!!!!!!",0.5815,7
"Dear Ryan
Can you make a parody of a parody you have made",0.3818,13
"Dear Ryan  
What do you think about Logan Paul’s actions that were made in the suicide forest???",-0.533,22
Dear Ryan Higa could you do some sort of kind of trick shots with anything that you want and if you don't oh well if you can't decide on anything then please do the one that I said yes to earlier was just stick trick shots,0.6249,46
Dear Ryan can you do a loud house parody,0.3818,9
Dear Ryan can you play Fortnite,0.6124,6
Dear Ryan could you do stick trick shots,0.34,8
Dear Ryan revenge of the Illuminati,-0.2023,6
Dear Ryan what would you do during a zombie apocalypse,0.3818,10
"Dear Ryan,

Can you do a dude vs wild- mount everest",0.3818,13
"Dear Ryan,
Could you do a video about SWATTing?",0.3818,11
"Dear Ryan,
Please remake 'How to be a rapper'",0.5994,12
"Dear Ryan, 

Can you pretend to kill someone but actually cut vegetables.",-0.5994,14
"Dear Ryan, 
Can u shave ur head? It'll grow back 😂",0.3818,13
"Dear Ryan, Please Do youtube ReRyan  2017?? Please",0.7622,11
"Dear Ryan, can you die?",-0.3182,7
"Dear Ryan, can you do a few examples about 'The Mandela Effect'?

PLEASEEEE?",0.4515,18
"Dear Ryan, can you make a reaction video on Marcelito Pomoy's ""The Prayer"" Video?",0.3818,18
"Dear Ryan, can you make a video with pewdiepie",0.3818,10
"Dear Ryan, can youkiss sean's butt",0.3818,7
"Dear Ryan, how much wood did the woodchuck chuck?",0.3818,11
Dear rayan can you make a parody of the conjuring 3 ???,0.4836,14
Dear ryan can u make HOW TO BECOME A NINJA video again,0.3818,12
Dear ryan can you wear a lamp costume,0.3818,8
"Dear ryan, do mission Impossible !",0.4389,7
Don't throw the chicken away ;-;,0.0,8
Don’t worry Ryan.I like fried chicken’s skin too..It taste so freaking good,-0.2115,20
Dude I am revisiting all your videos now and the editing is crazy. It's actual amazing hahah the quality of your videos is so much higher than others. You deserve more recognition for sure! - Alex,0.6435,39
Dude it's really funny!😂😂😂,0.0,8
Dude vs wild is better than man vs wild 🙊😝,0.4404,11
Dude vs. Wild GOAT,0.0,5
"FINALLY a YouTuber who's ACTUALLY funny 
How the hell is this guy not THE most famous YouTube??!",-0.5191,20
"Finally another dude vs wild, have waited for years 😝😝",0.0,12
Fine,0.2023,1
Get some help Ryan!!!!!!!😱😱😱😱😱😱😵😵😵😵😵😵😵😵🙅,0.5951,14
Great vid,0.6249,2
"HOUSSE TOUR 
house tour
house tour 
house ssstousr 
house tour 
house tour
house tour 
house tour",0.0,16
He was most subscribed from 2009-2010. That was back when none of the most subscribed were corporations. I think he is still in the top 10 that aren't from companies.,0.2023,33
Hey Ryan you should make a parody of Shrek!!!!!!!!!!,0.0,12
Hi,0.0,1
His accent,0.0,2
How did you get a different account because I have one but I need another,0.0,15
How the fuck did this comment get pinned,-0.5423,8
How to play teehee give a tutorial of it,0.34,9
I ate the skin haha,0.4588,5
I didnt spot a difference,0.0,5
"I died when he said “like they say in France, adios amigos!¡”",-0.5983,17
I have an uncle named cliff so there's that 😂😂,0.0,11
I just noticed that he was gonna get some rocks for Sean to fall on. I have to start writing these tips down. You never know when you'll be stranded in the wild.,0.0,36
I knew he lived in  Nevada BECAUSE I DO TOO I SAW HIM,0.0,13
I like how he keeps switching from a Australian accent to a British one 😂😂,0.3612,16
