,sentiment,wordCount
+ashhiz Thanks for watching!! :),0.7568,8
+brittanywright That's the idea! :),0.5093,7
+cheyyaekel Same!!,0.0,5
+eyerolling Harley Quinn! <3,0.4926,6
+khairiyaeidan AGREED! It's so spot on! :),0.7705,10
+maddiemartinez Stay tuned! :),0.5093,6
"+melc Yes, she does! Thanks for watching!",0.7339,11
+spookyjim Thanks for sticking with us!! :),0.7568,10
+tamaracastromaldonado Thank you!! <3,0.717,7
????????????,0.0,3
ARIANA NEXT PLEASE !!,0.5599,5
Ashley Benson,0.0,2
Awful,-0.4588,1
"Be honest refinery29,  this gorgeous woman is cinderella IRL right ? 😍😍😍😍😍",0.8074,16
Can I have that make up artist for my wedding? 😍😍😍,0.0,14
Can we PLEASE get a Lady Gaga episode!!??,0.6094,12
Cr0ss0ver Studios Legit the first thing I was thinking...,0.0,10
DUA LIPA!!!,0.0,5
Definitely carrie underwood,0.4019,3
Girl you should totally cut your hair. Sooooo cute!!!!,-0.5516,13
Great idea +Aldana!! Stay tuned xoxo,0.8652,9
Her eyes really popped in the second look,0.0,8
Her eyesssssss,0.0,2
Her smile is so contagious haha,0.4741,6
I LOVE IT! 😊 Thank you for doing my request. It’s really considerate it and awesome of y’all to communicate with your audience.,0.9434,30
I love The make up!! The second look 😻😻,0.6988,12
I love it!!,0.6988,5
"I really appreciate that you put in the effort to find spot on color matches if you are going to do a video like this. The coloring of the beauty products, even the undertones, are near perfect matches. Well done.",0.9336,45
I see a little Debby Ryan in her,0.0,8
I think she looks more like Daisy Ridley 💗,0.4201,9
I want the Pan Am look,0.0772,6
I want to see her do Paris Hilton.,0.0772,9
"I was so sad to see her leave neighbours, Donna was my favourite. But she did so well for herself",-0.2148,22
If you ever need someone for a Kristen Stewart transformation.... Hmu,0.0,12
Jenna is perfection! Beauty and brains! And she pulls of Margo's look like it was made for her 😍😍😍 I'm crazy in love with the Wolf of Wall street look.,0.9244,35
Jenna is really beautiful...she looks like Charlize Theron,0.4144,10
KATE BOSWORTH,0.0,2
Karolin K YES thats all I see,0.5319,7
"Lexuz Salinas I’m not upset, I just think it’s stupid that they aren’t even trying hard for these vids. There’s youtubers who are doing better jobs and achieving better results.
I mean the makeup isn’t even that great as a regular makeup tutorial. Just overall shitty quality for refinery",0.5696,63
Love This! Thank you for posting all the products!,0.8065,11
Love the makeup!!!! And hair too 💖💖,0.7482,11
Make up artist is MUCH better than buzz-feeds!!! Xx 😆✨💛🌙,0.5826,16
OMG SHE IS MY FAVE ACTOR TO,0.4404,7
"Oh helll noooo , she does not look like her",-0.2755,10
Omg yes she is super cute,0.8625,6
Please do Emma Watson next!!,0.4374,7
