,sentiment,wordCount
"""Look at that beautiful vapor trail."" Really? Just vapor cause THEY say it is? Prove it!😏",0.6759,23
"""TALK ABOUT GULLIBLE FOOLS....!!!!"" why are you talking about yourself?",-0.6598,17
"""The curve of the earth"" Lol!! Yeah
Not everyone believes the Jesuit hypotheses and Government Outer Space program hollywood cinematography propaganda psyop.",0.555,27
"""hits another thrust set"" the footage was amazing though. good work but next time learn more about the rocket.",0.5187,23
"*2:13* *_Just like a shooting star ... in reverse_* – The News Guy, 2017
He's right.",0.3612,23
*WHAT WERE THOSE OTHER LIGHTS AND SPIRAL THING STILL GOING AFTER THE ROCKET HAD GONE? THAT WAS F WIERD AND NOT WHAT A ROCKET WOULD DO! MY UNCLE IS AN ENGINEER IN THE AIR FORCE AND HE BUILDS THEM. BLUE PRINT. THIS WASN'T WHAT THEY SAY IT WAS! NOT AT ALL. THIS WAS SOMETHING SHADY.*,0.0,64
2 tapes edited together. so what was it really.,0.0,11
"2016 called, they want their stupid troll back",-0.4767,9
2:40 reminds me of a Kamehameha fired,-0.5574,7
"3:07


Goku: Kamehamehaaaa!!! 
Vegeta: final flash!!!!",0.0,14
3:24 oh come on we know you wanted to say alien spaceship.,0.0,13
3:25 biggest vape circles ever. :p,0.25,7
3:28 when clouds can do better vape tricks than you,0.34,10
3:29 HOLY SHIT ITS DOING VAPE TRICKS,-0.7626,7
3:30 but what is that weird thing behind it,-0.2617,9
3:30 why it haoppening?,0.0,5
4:15 aliens hijacked another rocket... When u hardheaded devils gone learn to stop trying to put weapons in the sky smh. God not having it,-0.8402,27
"4:16 
Oh come on, it is not rocket science to not unders...wait.",0.0,16
:O so cool,0.1179,4
"A slow moving, but high tech firework . Does this look like something approaching the mandatory minimum escape velocity of 17,500 mph ?",0.6956,24
"Any one anyone wonder and wait for him to tell you what the pulsing thing that fell off was,?,,??????? Anyone ?? Oh then he says he knows nothing Dave michell take it away please cuz I don't know what more bs to spit out",0.504,52
Are we completely sure that it is what they say it's for.,0.3804,13
As a proud black woman I doing people a favor when they smell my vagina.  BLM.,0.7003,18
Astounding! God is beautiful!,0.855,6
"At 0:58 ,I watch this while ''Man of Steel-Terraforming'' soundtrack playing on the background  and it feel so EPIC",0.2023,24
At 4:18 you can see two smaller orbs manifest.,0.0,10
BIGGEST and TALLEST firework?,0.0,5
Bull shit what was the flashing thing like a wifi signal that fell off and why did it go so slow ?? Instead of rocketing off like well like a rocket???? Oh and why was there the same in Russia or Germany the other day ?? Elon has a Mobil launch pad???,0.7149,60
Bullshit and you dummies keep falling for it,-0.6597,8
"Bunch of zombies don't even recognize what is fake from real, don't you guys see that the beginning of the video is fake and then they insert the las part? , those that looks like 17000 miles in hr to you guys,  man is so sad to see how easy is to fool people this days,  The earth is flat, research,",-0.8267,67
But I thought the Earth was flat...,0.0,8
CiaX falcon,0.0,2
"Could anyone look at videos of this rocket taken from the various places of the US, as you can see the moon behind the trail, and figure out (triangulate?) the distance between them (and moon's distance from earth), to prove existing calculations by such obvious experiment? You can see moon appears in different place between the two trails at the end of each found video due to being shot from a different spot on the globe.",0.0,86
Damn,-0.4019,1
Damn it Carl! Wrong Galaxy!,-0.7494,7
David Adenuga I am no English person but I know how much fakery is going around because I am not evolved from a monkey,-0.1531,24
David Adenuga do you still think that rocket flew to space and moon and mars and what not while in reality nothing can go behind 34_55 miles up belt you try to cross you start burning in white flames which is a fire and nothing is capable to cross no human no jinn nothing,-0.7896,54
Did go any were,0.0,4
Disprove flat earth #1,0.0,5
Dudes on a bluescreen?,0.0,5
E eu achando qe era o homem de gelo 😥,0.0,10
Elon Musik deja d estar contaminando el ambiente cn tus cohetes Chafas.,0.0,13
"Elon doesn't only do this. He also makes electric cars (Tesla) and created SolarCity, a company dedicated to providing solar energy. He is concerned about the environment and is doing a lot more than most other wealthy folks to save it.",0.9017,47
En Rusia Wolgogrado hay montón como estos,0.0,7
Fake news,-0.4767,2
"Falcon 9 Heavy launch. Launch begins around 20:00
https://youtu.be/99llRhH71vA
WARNING DISCLAIMER:⛔⛔⛔
NOT RESPONSIBLE FOR ANY LOW IQ BRAIN CELLS LOST DUE TO EXCESSIVE THINKING.",-0.7154,30
Falcon right falcon this .l.,0.0,7
First day after no nut November be like:,0.0772,9
"Flatard... ""Good work with photoshop"".  Chemtrail... ""Now the government is cheming us from the space conspiracy""   Christian..  ""You know it's and optical illusion because of the firmament"". Science lover. "" Wow, what these smart people accomplish is truly amazing.""",0.9382,54
"Frankie . It’s exhausting to see people believe whatever they are told . Not discrediting so called science here. I’m merely pointing out the obvious . Just for a visual reference to something you might be able to relate distance to 17,500 mph is like going from LA to Wash DC in 6 minutes . The thing in the video is still very much in sight when the “satellites” are being deployed. Can you see anything smaller than a medium sized planet at that distance ?  No, of course not , can you see a 747 ( about same size as our SpaceX rocket) at 35,000 on a perfectly clear day cruising over the middle of Nevada for example ? It is invisible to the naked eye. You can hear it , but cannot see it. We were treated to a high tech prop. It was a rocket, but not doing what was stated.",0.4871,169
Funny how it doesn't go straight up??? It goes up then starts to curve tremendously.,0.4164,19
"Gaming HD 
1- the rocket takes a horizontal position to go into orbit with the earth
2- if the position was vertical the rocket will not explode, it will fall to the earth because the combustible will never be enough to counter the earth gravity force",0.0,49
Get the fuck outta here,-0.5423,5
Green screen???????,0.0,5
Harry Percy - I truly hope that your mental illness has prevented any women from procreating with you.,0.4939,19
I cannot even believe the amount of epic stupidity revealed by this comment thread. So all you airheads know....we humans have been launching rockets into earth's atmosphere since 1944. This is not alien technology. Just because your tiny mind doesn't understand doesn't make it a conspiracy. You are the people who we won't need when us intelligent human beings leave to colonize Mars and we will leave you on earth. IF YOU BELIEVE EARTH IS FLAT YOU SHOULD BE EUTHANIZED.,0.3561,88
I feel dumb,-0.5106,3
"I imagined ""Steven Hawkings Rocket to the future"" (Search it on youtube) while watching this.",0.0,20
I liked it when the reporter described the view of flying rocket as a shooting star in reverse.,0.4215,19
I live in a house.,0.0,6
I mean I think I sad a satellite or a spaceship takeoff from Boston Logan international airport because it went right up and it was loud like what you would hear from a rocket and it left a huge smoke trail this was back in like 2010 2013 era so if someone wants to correct me please do I would love to know what it was,0.8658,66
I saw it all the way from Eau Claire no Joke and it was daytime,0.0,15
I saw it all the way from arizona,0.0,8
I saw it in az,0.0,5
I saw it..,0.0,4
I still say it's Goku or Vegeta,0.0,7
I thought it crashed,0.0,4
I was near it I live in the city where they launched it,0.128,13
I work at SpaceX and was watching this in mission control and missing out on the awesomeness outside :(,-0.6249,19
