,sentiment,wordCount
"***DO YOU THINK THAT ALL AMERICANS WILL BE REQUIRED TO SPEAK RUSSIAN, BEFORE DJ TRUMP LEAVES OFFICE. I SAY IF TRUMP WANTS HIS WALL LET THE MEXICANS PAY FOR IT, LIKE HE PROMISED.*** ALL PRIEST LIE. WHY NOT TRUMP?",0.2732,51
"+ Horny Underaged Teen Girl

I guess you're sticking with stupidity as a form of self-defense, ::shrugs:: ok.",-0.1779,22
"+ Horny Underaged Teen Girl

Nope, I heard about it from every news agency in America hours after that dumb, Alex Jones worshipping, Conservative fuck stormed a D.C. pizza shop with a rifle.",-0.6369,40
"+Concrete Lightbulb
Did you hear that through the ""grapevine?"" ROFL",0.6633,14
"+Concrete Lightbulb
Wow he must have been really super hungry for pepperoni pizza huh. Lol. PIZZA! PIZZA! :D",0.9469,23
"+Jennifer Smith
Holy love of god you are stupid as shit. Lol",0.2732,14
2.130 views. 41 upvote 15 downvotes. FUCK YOU YOUTUBE ALOGRITHM : IM LOOKING AT YOU INTERN WHO GET SOME EXTRA $$$ FROM ANDY. i swear to god google will die,-0.8038,35
2k and trending.,0.0,4
"A Hacker *YEAH, DONALD TINY 👐 WOULD BE JEALOUS.*",0.0,13
AhHa! you're upset about that. hehehehehehe RAGE! RAGE!,-0.9208,12
And the opinion of random anonymous people are always so important. Let me guess swat? The special ed. of special ops.,0.7761,25
"Away She Flew you felt funnier, coz your female balls didn't had any decent point to add. But just being Ms.J the sissy one, had to make a lousy sly comment.",-0.2023,37
Because Google hate the Trump administration. Just like all other non-patriotic far left extremists. YouTube has been infiltrated by Hollywood.,-0.296,23
Because it's such a short video it probably has 100% retention.,0.0,13
Cecily plays Melania Trump so well she even has me second guessing,0.5777,12
"Concrete Lightbulb
U MAD BRO? RofLmfao :D",0.0258,8
"Damn YouTube, back at it again with the leftist propaganda.",-0.5719,12
"For fucks sake, go back to school and try not to drop out this time. Your grammar and spelling is just atrocious.",-0.3151,25
Hmm does someone like it when someone else makes fun of them?,0.7003,13
Horny Underaged Teen Girl what ever,0.0,6
How is this garbage on trending,0.0,6
How is this trending with only 8k?,0.0,8
How the hell is this trending,-0.6808,6
I just wasted 50 secs of my life watching this..... at least I got to see Cecily tho.,-0.4939,20
I think he needs glasses,0.0,5
