,sentiment,wordCount
"""I feel like no one complaining about the broom boy scene has ever seen a movie before.""

Well, that's kind of true. The over-saturation of Disney/Marvel movies has trained audience's brains to expect everything to be a set up for something else (like another film). The idea that an image can be there simply to evoke an idea or express a feeling or a theme is lost on modern audiences. Because I wouldn't call what Disney/Marvel does as being real film-making. People are just used to Marvel Studios' nonsense now. The fact that The Last Jedi felt like a real movie was a surprise and the main reason why I liked it.",0.8319,129
"""Let the past die"" JUST LIKE HOW THEY RETCONNED THE FORCE AWAKENS!!! OOOOHHH",-0.3701,18
"""Why do you have to justify yourself?"" 

So, does this mean that when the haters scream for 5 hours because their stupid asses forgot Luke has a history of suicide attempts while struggling with the darkside, that they're completely and utterly broken? 

Damn...I'm not sure I've got a counter argument to that one.",-0.9752,62
*Cough* Really?,0.0,5
"+DejaVoodooDoll ""I get that you prefer your movies as predictable as your milk toast"" Or maybe people just prefer something set-up gets payoff. Merely subverting expectations doesn't make something meritorious, especially when it's subversion for the sake of it. You can like that it was unexpected all you want, but don't pretend you're smarter than people who would've preferred the film actually payoff what was set-up prior. You just come off as a pretentious, condescending jackass.",-0.7471,86
"+Flynn42z the movie didn't fail, people failed because they wanted fan service and were sad when they didnt get it",0.5792,23
"+Marley James, I don't have a dog in either of those fights. I didn't care much for TFA and I'm not fond of fan theories. JJ's mystery box is what got fans talking in the first place. It's stupid and shows a man who doesn't know what he wants from a story, only that he wants people talking. Regardless, there are seeds planted. There's some set-up for Rey. The silly bit with Anakin's lightsaber calling to her is a good example. It implies there's something more to her, something we don't yet rightly know. Doesn't mean JJ knows where it's going, but it is there. This gets no payoff, the best we get is that she's a nobody. That's not really a payoff to the mystery, it's just a middle finger to fans that maybe wanted some answers. Snoke and Kylo have some set-up, there's little info we're given about how Snoke turned Kylo or why, yet that also goes without payoff. Snoke just dies and that's that. I dunno. Even as someone who wasn't invested in the sequel trilogy or the mystery box, these write offs of potential development seem pretty hackneyed, like Rian subverted expectations just to subvert them.",0.8426,228
"- Snoke was built up as a major character, some form of powerful dark side user who even Palpatine was potentially looking for. Disney have gone to loads of effort to build him up, his early and easy death seems like such a wasted character and such a let down, especially without any backstory he just seems like a plot device. As for the Emperor from the original trilogy, he seemed to play a much more darker role and his origins were fleshed out in the prequels and additional lore.

- Kylo Ren is not a scary villain, nor is the First Order and General Hux is a joke. Almost everyone seems to have forgotten their military training or leadership abilities or tactics/military doctrine seem to have gone out of the window since the end of the Galactic Civil War. Grand Moth Tarkin and Admiral Thrawn are good examples of methodical, disciplined and commanding leaders. Kylo Ren seems too much of a tantrum emo/scene kid for me to be able to consider him a threatening antagonist, especially when coupled with the First Order in general they seem like a non-threat given how much hardware and man-power they have lost in two movies for an organisation that does not hold nearly half as much resources the Empire did. Hux is a terrible commander, they don't follow any form of military common sense and in two movies they have lost a planet sized death star, a dreadnaught, many resurgent class battlecruisers and that mega class capital ship.... seriously what else have they got left to bring to the table at this point? ...

- Status Quo, I don't understand this one either really, all we know if that the ""resistance"" as it has been known has survived with seemingly less than 100 people and no ships besides the Millennium Falcon, but unless the First Order pull god knows what out of no where in the next movie I don't see what they have left to bring to the fight in the next film besides what ever star destroyers they have left.... However, what we do know is that this is supposed to be the birth of the second rebellion... this doesn't make sense within the already existing lore... The First Order was a group built up in the unknown regions, financed by weapon manufacturers and pro-imperialists, but they were not a serious territory holding power/faction worthy of note by the New Republic (which is why Leia formed the resistance private military group). During Star Killer's attack on the New Republic capital worlds only one of many Republic fleets was destroyed... so according to Disney canon, there are still Republic fleets out there, and the First Order have lost so much hardware and man-power fighting a small band of resistance fighters I'm not sure what this new ""rebellion"" is against. It is not stated anywhere that all remaining New Republic forces surrendered immediately to the First Order and all former Imperial and now New Republic territories have been ceded to the First Order without any form of resistance besides ""The Resistance"".... So from a story/plot side, this is not quite adding up.

- Rey, as far as a character backstory goes, she has none... it has been teased and talked about, hyped up more by the first film, actors and games... and the reveal is somewhat disappointing. Fair enough if she has nobodies for parents, but after all the hype, that was a disappointment for many. My problem with Rey is that she IS a Mary Sue. Almost everything she does is to help someone else, almost everything she does is better than pretty much everyone else, she does not really need help except for on two occasions, she has made no serious mistakes and ones she has made turned out to be a form of chaotic luck and worked out well in the end. She was able to hold her own against a (granted an injured) Kylo Ren in TFA using a lightsaber (FOR THE FIRST TIME EVER), she is also way too adept at using the force for a rookie. They have tried to change canon to explain her over-poweredness, even Anakin who is supposed to be a force being created through the force a lone took years to use such abilities. Yes you can use the force, but its more of a enhanced awareness, enhanced reactions and accidental powers. It takes time to learn to tame, to control which is why Jedi preferred to start training from young ages. Rey receives three lessons, if that, from Luke during TLJ and has somehow immediately fights and acts like a fully trained Jedi.

- Regarding Poe and the first fight in the film. Yes he disobeyed orders, yes lives were lost, but they took out a Dreadnaught which according to canon sources had roughly 200,000 crew on-board... on a military front this is a good trade and the risks were worth it. As for Admiral Holdo, considering that her and Poe are now seemingly the two most high ranking officers left, she shows no ability to even pull him to one side and explain the stakes, even if not giving away  her full intentions. Her treatment of him was not a display of good leadership forcing Poe to take action to try and save everyone, which obviously didn't work in the end.

- Rose... her decision to save Finn was selfish and her reason was completely idiotic given that by doing so directly puts the lives of everyone else they know at immediate risk.

- Luke, I hate how they have treated his character. This is the guy who against everyone's opinion and against all of the odds believed that there was good in his father, Darth Vader, so when he sense even a small amount of the dark side in Ben he nearly does a very, very  bad thing... given that Ben is Han and Leia's kid... and then despite his friend's lives being at risk, including his sister's and Han's death he refuses to help.... this is not what Luke stands for and I strongly believe that he should have survived until at least episode IX. Even Mark Hamil disagrees with how his character has been portrayed.

- Captain Phasma... better performance than in TFA, but still feels like a waste and seriously must now be dead.


To me Star Wars The Last Jedi was an enjoyable movie, visually. Great visuals, epic fight scenes..... but that's about it. To me the story is a problem as it contradicts a lot of what we already know, there are plot holes and Rey is still a Mary Sue.

JJ, Rian Jonson and Kathleen Kennedy say that disliking this movie makes us sexist. This is fundamentally false. None of us have a problem with the main character being female, none of us have a problem with Vice Admiral Holdo being female etc.. it's the way they are written, it's how good character development has been replaced by political agenda driven characters.

For example, Luke made mistakes, he struggled to learn the force and then when he did have his first lightsaber battle vs Vader, he lost, loosing both his hand and his weapon (which eventually turns up in TFA). He has to learn, adapt and overcome.",-0.991,1356
"... That isn't what people want in a villain.  Like at all.  Kylo Ren isn't a good villain because he isn't really very threatening to the protagonist, Rey.  Good villains are, in their relevant context, better than the protagonist in their competition.  The story comes through the protagonists trials/journey to overcome something they originally cannot.  The problem however, is that Rey had her whole hero arc in the 1st movie (very poor writing), and is now stronger than her main antagonist (Kylo).",-0.3119,99
"1 Snoke was lame, and killing him off was more interesting to you.
If he was lame, why did they put him in the movie at all?  You aren't setting your franchise up for success when your directors are ""fixing"" all the ""lame"" stuff that the previous director established.

Also, the Red Wedding comparison fails.  Game of Thrones his a huge universe with multiple characters and plot points, each one connected with the others however delicately, where one event happening to one of them has major ramifications for the rest of them.  Rob Stark's death effectively ended one plot point while launching several others.  Snoke's death was just thrown in because, OH WHATA TWIST!

You know what would have been a better twist?  If Kylo killed Rey.  I mean, she's portrayed as some invincible Mary Sue, so killing her would play with the expectations of the audience, right?  No, you don't have the same luxury that Game of Thrones has, because Game of Thrones has over ten times the number of important characters that Starwars does, and can afford to bump a few off to keep the story moving.  YOU DON'T KILL OFF YOUR MAIN BAD GUY IN ACT 2 JUST TO PROMOTE HIS SIDEKICK.",-0.9718,233
