,sentiment,wordCount
2:24:25,0.0,3
44:33 that sign is HILARIOUS !!!,0.6496,8
"And where are these better Canadian players?  If they are so great, why can't they win a game against the US??  Christine Sinclair is a great player, but how many more years will she be playing?   She is the best player on the Canadian roster today.",0.9443,53
"Canada played very well in the first game. This game too, they did well. But dominance of US team.... you got love! 
Why was there no commentators?",0.8828,33
Canadian coach disturb players yelling and braying continuously. there is no score board,-0.5994,14
Chris Radovan Crystal Dunn is the fastest runner in women's soccer and a one of the smartest defenders.,0.6486,19
"Chris Radovan I understand her lack of experience but I can't accept her inability to grow with the massive resources at her disposal (compared to other women national teams). 

Although my heart goes for the team, I am always attempted to rally for the opposing team on the basis of technique and finese on the ball. It makes me sad. I mean very sad. Sorry to bother you with my grievances on this issue. I feel sad for young talents like Pugh who may not realise their full if this trend persists into the future. Good to have such an insightful discussion. Thanks",-0.7396,113
"Did Christine Sinclair, Leon, Fleming,Nichelle score on the game. They all Canada good players. If each player have to score a goal like you said, How many goals for each side?. more than 10 goals?.#23 was defensive back player. She was not a forward or midfield. Her position was come up to support the attack but score goal is sometime happens. occasionally only. Did you see how good Leon played on her first game and how bad Leon played on this second game. #23 player for that purpose.",0.8025,106
Did anyone catch Christen Press taking off her boots and socks to change into flip flops right in the middle of the pitch? I think that's really a bit too much!That totally ruins my image of her. Too bad!,-0.865,44
"Do you know the rule of the off-side?. when Press already released the ball,  Elex was still above the Canada # 5 player. watch the play again.",0.34,32
Excellent ! Thank you so very much...beats the hell out of NFL.... go Girls !!!,0.3621,20
"First game, Us played so nice and soft. Canada used pressing game and physical played to hustle US players which interrupted their passing game and cut off their attack. Do you see the US fought for every inch on the field of this game. US team alway better than Canada team because it loaded with good players. In the second game, US players took control the field after 70 mins. Canada was totally in the defensive mode with all rookie sub.",0.7077,89
"Fleming is good on the ball but sometimes she plays too much with it. Without a doubt, she was responsible for the second goal conceded. From now on, play smarter and understand when/how to play the ball in different circumstances. Still young, don't waste your talent.",0.9239,55
GO CANADA 🇨🇦,0.0,4
