,sentiment,wordCount
*DEMI X BTS*,0.0,5
0:19 Marshmello,0.0,2
0:23 BTS TUS PATRONES,0.0,4
0:23 you could see BTS,0.0,5
0:24 J-Hopeeeee,0.0,2
0:24 Jhooooooppppeeeeeeee,0.0,2
"0:26
Did anyone see BTS sitting there! 
HEY ARMY WHERE U AT!!!!!!!!",0.0,16
0:27 Suga like GO GIRL,0.3612,5
"1. Demi is literally slaying this performance, she did a really amazing job. 
2. Bts is just fanboying to her and that's what make me proud
3. The reason it makes me proud is because I have literally been  watching her since sunny with a chance, and I really love her and her music. And I love bts as well and the fact that my two great people or peoples that I have look up to and just dancing out to one of them just makes my day.",0.9838,96
1:35 lol,0.4215,2
1:38  Jungkook spotted eating! 😂😂💗😂😄😂😄💞😄💞💥💗🔥💗💯💗🔥💥😄💞😄💞😘💥💗💯💯😍🔥😘💥😘💞😘🔥😍😍💯🔥😄💥😘💞,0.0,48
1:38 AAAWWW❤️❤️,0.0,6
1:39 *jungkook stuffs something in his mouth* GETS TRUNT UP * I die *,-0.5994,16
1:39 BTS!!!!!!!!!!!!!!,0.0,5
1:39 bts😍😍,0.0,4
1:40 CUANDO KOOKIE ESCUCHO DESPACITO REMIX AHRE,0.0,7
3:13 vish,0.0,2
3:14 crack,0.0,2
3:19 Jin 😂😂😂❤,0.0,6
3:19 Yes Tae get it,0.4019,5
A Demi é Fantástica,0.0,4
ARMY and a LOVATIC is lifeu😘,0.0,7
"AWWWW BTS AHÍ ATRAS :""3",0.0,7
Aaliyah's Fun Rocking Show Attube and no one is talking about him x_x,0.2732,13
"After watching film about her I wondered how could she ever doubt herself? She's the voice and so beautiful and sexy, she's the superstar! It's so great that finally she learned how to take care of herself and her gift and not to give a fuck about haters and manipulators. It's easy to relate to her, she seems very down to earth and very kind and smart. Go Demi!",0.9823,76
Ahahahha kookie. ...ONE LOVE BTS ....and demi too ...she's gorgeous,0.873,13
"Ahre se muere * Por el beso de Jin y por tanta hermosura 
# BTS",0.0,15
Alex Bennethum Dont call me a bitch head. Did I give you permission? Nope.,-0.5859,17
Anais Persephone it was photo shopped,0.0,6
Anyone have more info on that blonde back up dancer at 3:04? Lol.  She's cute,0.7003,17
At 0:01 did anybody notice it's marshmello,0.0,7
Aww did you see bts in the background,0.0,8
"BANGTAN BOYS (BTS) 😍😍😍
KOOKIE😍😍😍😍😘
J-Hope😍😍
JIMIN😍😍😍",0.0,20
BTS,0.0,1
BTS HAHAH,0.0,2
BTS are the real stars here. Love you Demi!,0.6696,11
BTS jamming to the music😍😍😍yeasss,0.0,9
