,sentiment,wordCount
"'
aww very cute happy baby cub hippo...
how old this cub hippo",0.8059,14
"'
sorry pooor baby hippo was afraid of mom hippo at 400 to 410...
what wrong",-0.5267,17
***AWWWWWW...she's so CUTE!! :))***,0.6818,15
*Dies due to cuteness overload*,0.5106,7
*What a precious baby!* ❤️,0.6114,9
.... Shes so fricking cute!!!! I can hardly stand it. lol,0.5725,15
0:34 man those are 2 big hippos,0.0,7
0:40 SOCORROOOOOO! 😍😍😍😂,0.0,7
1.35-47 peekaboo 😊,0.0,4
11 people are dead inside    lol,-0.3612,6
23 people have no soul.  Fiona is gorgeous. ❤❤❤❤❤,0.4215,13
<3,0.4404,1
Acceptance figure observer heaven duty dream adviser willing partly combination landing legislation.,0.8074,13
All of you do a fantastic job,0.5574,7
"And, this is why I disown people who say it's JUST an animal.",0.0,15
Angel,0.0,1
Anyone here ever eat hippo meat? Bet it's tough and hard to chew.,-0.2263,15
Are Hippos on the extinction list????,0.0,9
Are there a species of hippo that stays small forever? I want one,0.0772,14
Aren’t all animals just brilliant!,0.6239,8
Aww she’s so precious thank you for sharing,0.8839,10
Awww too cute...In love with this hippo cutie pie 😍😍,0.7717,13
Awwwwwww,0.0,1
Awwwwwww toooo cuteee for my eyessssss,0.0,6
Awwwww😍😍😍,0.0,4
Ayyyyyyyyyyy😂😂😂😂😂😂😂😂😂😂,0.0,4
Babies are babies regardless of species. Lovely !!,0.658,10
Beautiful baby 😍,0.5994,3
Beautiful.,0.5994,2
Can you imagine this level of care and attention  lavished upon Human children ...  Instead of their mothers & fathers face down in their phones ?  Or abandoned altogether ?,0.1431,30
Care team with you all handling her so much does this affect how the parents are with her because I remember when she was born you slowly introduced her to dad?,0.4939,32
Caregivers- thank you,0.3612,4
Ce qu’elle est mignonne ! ☺️,0.0,9
Come on!! How can you stop from kissing her??? How you do that oh my dear lord!!!????  I want that job!!!,0.819,35
Cool how the nostrils close.,0.3182,6
"Couldn't be any cuter! You all are her angels! Sleeping underwater like a big hippo, priceless!",-0.2681,20
Cute! But they seem like a rather clumsy inefficient creature :),0.8313,12
Cute😍😚😚,0.0,4
Damn the hippo have no SPACE !.,-0.636,8
"Definitely cute! However, I don't like zoos and would prefer to see this little one in the wild with her Mother. Both of whom I would love  to see free from human interaction.despite the odds. I don't care that you are an idiot and can't handle the truth.",0.6696,53
Do you know what heaven is? It’s love 😘,0.8176,12
Doesn't get much better than this...I had no idea hippos frolic and play this way.♡,-0.2973,19
