,sentiment,wordCount
"""Always fall as flat on your back as possible""
*Jumps in face first*
(Thank god you turned)",0.2732,23
"""I'm from the states"" they're called lab coats here too Dylan lol",0.4215,14
"""Its not a cloak its a lab coat""
""Oh sorry I'm from the states""

No, Cody, you're just a nerd",-0.5719,26
"""My mother was a horse and my father was Fabio"" DYLAN-- XDDD DED!",0.0,18
(GASP) DYLAN SPROUSE!!!!!,0.0,8
**shooting stars intensifies**,0.0,7
*YOU'LL HAVE TO FIND TWO NEW HOSTS*,0.0,9
*_The Slow Mo Guys THANK GOD THIS ISNT A YOUTUBE RED SERIES.  YOU GUYS SHOULD HAVE ONE THOUGH!_*,0.7475,23
02/25/2018,0.0,3
2:03 *Skyfall music plays*,0.0,6
2:06 Beautiful.,0.5994,3
2:25 looks like that scene in Harry Potter when dumbledore is killed,-0.4588,12
2:52 so fake bro,-0.5256,4
2:56 dat slap on da back,0.1531,6
"3:26, just continues on with his day",0.0,8
3:28 *When I trip on the stupidest little thing*,-0.5267,11
"3:28, I just love you guys lol",0.7906,8
3:29 😂,0.0,2
3:42 DAB POLICE,0.0,3
3:42 It looks like he's about to dab,0.3612,8
"4:03 OMG YOUR FACE IS JUST LIKE ""let's try it."" AND I'M OVER HERE LIKE "" YOU LOOK LIKE MY FRIEND KYLE",0.9278,25
4:37 You never know what the caption makers do lol,0.4215,10
4:44 that coat looks AWESOME,0.7034,5
546676613612643163163*35655555*568395583565*5658565355528*55585555556255*55*5523582585*52852246454351*,0.0,22
5:12 why does the stuntman look like a meme,0.3612,9
A little messed up the stuntman didn't get a lab coat. He saw Dylan get one and looked like he was either waiting for his or wondering why he did't get one.,0.101,34
Am I the only one that recognised Dylan as the kid from suite life on deck 😂,0.0,17
"And 4:53, ecksdee, XD",0.6739,6
"As someone that used to watch the The Suite Life as a child and now loves Roosterteeth, this is awesome",0.8316,21
"Blue jeans, a bright yellow wife beater, and super long hair



Interesting",0.8591,14
Botted subs?,0.0,3
CODY?,0.0,2
Can someone put a Chuck Norris sniping meme for Dan at 4:24? That'd be hilarious.,0.4019,17
Cole is better,0.4404,3
Coooooool,0.0,1
DYLAN😍😍😍😍,0.0,4
Dan gained weight??? What!?,0.593,9
Dan will be remembered for Science.,0.0,7
Did Dylan kick Dan in the nuts??,-0.3939,9
Didn't anyone else get scared when Kyle Weishaar fell from the sky?,-0.4404,13
Does Dylan have a tattoo look at his rib area around 0:48,0.0,12
Does anyone else remember when this was a channel not a show,0.0,12
Doesn’t this guy remember u of that kid from zack and Cody,0.0,14
"Dude, that stuntman looked devastated at the end when he didn't get a labcoat. I demand justice for stuntman!",-0.1336,22
Dylan Sprouse was not 'Ben' is F.R.I.E.N.D.S - His brother Cole was,0.0,26
Dylan and Cole sound so different 😍,0.0,7
Dylan got a gift but not the stunt instructor?,0.2382,10
Dylan is good at acting,0.4404,5
Dylan is so evil,-0.7661,4
Dylan looks like a 90's action star.,0.3612,10
Dylan looks like he belongs in an 80s dance movie,0.3612,10
"Dylan's pose...
mm",0.0,4
Dylan’s hand at 2:56 lol,0.7184,7
Even the simplest of jumps look awesome in slow motion.,0.6249,11
Everyone saying they had a crush on Dylan but tbh it’s all about Cole,-0.0772,16
"Excellent Description

_ Well, so so Dan and Gavin._",0.7003,12
"Excuse me, but... I am one of your fans and i want to know how you do this?
THE SUPER SLOW SHOW  S1 • E1 Part 1 (How do you tell youtube to write that?)",0.7645,41
Fake Gav,-0.4767,2
Fall from up there but whith an umbrella like marry popins,0.5023,11
"Feels too corporate now

Like comparing early mythbusters that was a fun lark to late discovery ruined mythbusters that felt like it was run by focus group testing",0.6369,28
"For me he'll always be Zack
ZACK AND CODY",0.0,9
Gav' s face though in slowmo,0.0,7
Get figure skaters in slomo!,0.0,6
Goping= James may,0.0,4
Great video!,0.6588,3
Hard to imagine that your fame started by jumping of a tree onto a ballon filled with water,0.3612,18
Has anyone made shooting stars memes with this yet?,0.0,10
Haven't seen Dylan spouse in ages whoa,0.0,7
He got Jacked since I saw him on the suite life,0.0,11
He looks familiar,0.0,3
He looks like a she👎,0.3612,6
He looks like he plays cody,0.5423,6
He played Zack in The Suite Life of Zack and Cody.,0.34,12
He was my second favorite in suit life of Zack and Cody and suit life on deck my first was mosby.,0.4588,22
"He's from the state, guys. Of course they call things cloaks. Everything is a cloak.",0.0,19
He's off Zachary and Cody,0.0,5
Here I am in your life....,0.0,7
"Hey, sweet thang! :D",0.8087,6
Hi,0.0,1
