,sentiment,wordCount
(((Guardian News))),0.0,8
+Yenpoxdevotchka his family loved it,0.5994,6
..the best version i heard..great performance,0.6369,9
@rob rob=lol. agreed.,0.2732,7
AH I missed the full Super Bowl performance!! What did you all think? Seems like Justin did a great job in this clip <3,0.915,27
"Aaron Petersen A vocal minority of people are mostly finding this disrespectful because Prince made it clear to his loved ones that he never wanted his likeness to be presented as a hologram. It was rumoured that Prince would appear as a hologram during the halftime show and one of his family members (or close friend, I forget) opposed the use of the hologram for the reason stated above. Justin Timberlake and other parties then consulted with the family and got their blessing for how they would pay tribute to Prince and his legacy on stage. The vocal minority internet complainers (not Princes family or friends) are upset because they think that a 2D projected image is still a hologram and thus going against Princes wishes. But they simply don’t know what a hologram is. So people are getting upset on behalf of Prince for no other reason in that they don’t understand what a word means.",0.7964,172
Am I missing something? How is that disrespectful?,-0.3736,10
American the beautiful,0.5994,3
Ann Chovey that would be worse lmao. Before he died he said he basically wouldnt want someone to use him as a hologram.,-0.4628,25
At Bz That's not what a cover is...,0.1027,9
At least he didnt rip the clothes off any women this time,0.0,12
Barnaby He disrespected him in life.,-0.4588,7
Because Prince said specifically that he did not want his image used after his death. He said if he's meant to do a duet he would be alive to do it. He even referred to it as demonic to manipulate a person after their death. He also considered it tormenting a persons soul in the afterlife.,-0.7523,60
Beethoven disagrees.,-0.3182,3
Bernice Jones What a sheep.,0.0,6
Best half time show in a long time! Love you Just In Timberlake and awesome tribute to prince!!!,0.94,22
Booty gang Warrior that's his guitar.........,0.0,7
Can we trade JT for Prince? :(,-0.0688,8
Can you not read? I mean you're typing words so I got to assume you can read. I guess you're just lazy.,-0.3612,25
Candi B3an So you're saying it's not disrespectful to obey someone's wish?,0.4019,13
Cause he's white? Cause that's the vibe I'm getting from that statement you just made. If so learn to not be racist.,0.4973,25
Class,0.0,1
Continue supporting illuminati and your going to wake up with a type of cancer you wont be getting rid of. Your game is over you maggots,-0.3612,27
Damn can we not fight about this?,-0.1321,8
"Daniel Bergeron Did you even read my comment?? Prince was very aware, thus the reason he made his wishes known, in hopes that people would respect them. Sadly they didn't",0.6199,35
Daniel Bergeron dissing prince back in 2007,0.0,7
Daniel Bergeron that’s what I’m sayin,0.0,10
David Martin idk how you could be worse than cold play,-0.2732,11
David Martin ok,0.296,3
Demonic 😂 there just lights lol,0.4215,6
Did Justin even meet the man ??? Wth IS this!?!? I do NOT give this content a passing grade. I actually *hate* this content!! 👎🏾,-0.7599,37
Didnt Prince WARN folks NOT TO DO THAT...before he died???,-0.7409,15
Dj Tripp Did you actually watch the half time show or did you watch a YouTube video this morning? Cause he used a lot of his own songs,0.0,29
EVIL,-0.6597,1
Elvis Was the Greatest Singer of all Time!,0.6696,9
"Emdontplayguitar 

Why JT dressed like he auditioning for Duck Dynasty?",0.6289,11
Emdontplayguitar Beyoncé is even shittier,-0.4767,5
Emdontplayguitar beyonce's song was wack but caused major controversy,0.0,9
Emdontplayguitar true,0.4215,2
Emdontplayguitar why?,0.0,3
Every half time shows sucked,-0.4588,5
"Everyone in this chat all I have to ask is did you guys do your research. Yes JT has done horrible things in the past especially towards prince. But if y’all didn’t know JT did this tribute out of RESPECT for prince an act of forgiveness. JT didn’t have to perform this but he did out of respect IN PRINCES HOME TOWN man. Why can’t y’all respect that? Is it wrong for someone to respect princes wishes and still sing his song for a Super Bowl? I don’t understand, I’m pretty sure Prince is looking down at JT in forgiveness. Start lookin at the bright side💯",0.9907,129
"Everyone is going hard on Justin, but remember Prince’s estate approved this. So if they were okay, then we should be ok. It’s not y’all money nor y’all platform. Oh well, get over it.",0.8834,49
"Exactly like I said ""no argument."" People avoid the point when they're wrong.",-0.6124,17
Exactly people seem to so called hate it yet they are rewatching it over and over lol.,-0.2911,18
Failsprout Gaming yo chill! U need to respect other people’s beliefs,0.5255,14
Feels like an episode of South Park.  Where was Tupac?,0.3612,12
Fox_tailx forgive JT for what exactly?,0.5766,7
Gay cowboys are back!,0.0,5
Get rid of teen pop for Superbowl halftime shows. Get in real artists like Metallica.,0.3612,17
"Great another ad hominem attack in an attempt invalidate the truth of what I'm saying. Even if I were the laziest person alive, that doesn't negate whether or not what I've said is true. If you disagree with me on something I've said, I invite you to be clear what exactly it is you disagree with, and provide a defeater to my claims. This is how a logical conversation would normally carry itself.",0.1531,80
Hard not to cry seeing that. I think Prince would of loved it. It was absolutely beautiful and done with nothing but love. Amazing.,-0.617,28
Hated it. Boring and forgettable.,-0.7579,7
He did though...,0.0,4
He is not the only one what about Iggy Azalea and Miley Cyrus? Are they not culture vultures as well?,0.5302,22
He lacks flavor...just a synthetic taste.,0.0,9
He sucks..,0.0,3
He's growing a beard? I had problem with facial hair they make itchy.Even a piece of my hair inside my clothes it's make me itchy.I feel hairy just looking at men with Beard.,-0.25,37
