,sentiment,wordCount
"""I'm a Module!"" t-shirts anyone? This could be the synth runner up to the guitarists ALL THE GAIN!",0.6924,23
"*this software gets brought to my attention*Nobody ever heard from me again, just calm notes floating among the clouds. :)",0.6486,25
+,0.0,1
...like me,0.0,3
"...one question ... how can i download the free plugins? i can klick on the button ""free"" and it turns red ... but ah ...hmmm where is the download knob?",0.3632,36
16:49 Would the VCO not run at a low-enough frequency?,0.0,11
">it's kinda of a boomer, I like to send near DC signals to my subscribers to see if they blow up a speaker or two xD 

j/k great vdeos",0.9142,33
"@Malsipots
Go away!
I liked it!",0.5242,8
"Ah, I see: from the source code, it uses oui-blendish, that’s why.",0.0,19
"Almost any sequencer from the plugins would work for this, as they all allow you to set the clock speed.",0.2263,22
"And this other one...
Autodafe Drum Kit for VCV Rack (free) contains:
Kick Module.
Snare Module.
Closed HiHats Module.
Open HiHats Module.
Claps Module.
Cymbals Module.
Ride Module.
Rim/Claves Module.
8-Channels Drum Mixer.

https://www.autodafe.net/virtual-instruments/vcv-rack-modules/autodafe-drum-kit-for-vcv-rack.html",0.0,51
Apparently VST plugin support is coming in a future update. Softube Modular is similar software that exists as a plugin. That costs around 80 bucks.,0.4019,28
"Around 5:40, what are you doing after you say, ""it's not really loud, is it?"" because I have the same (module) set up as you and I almost don't hear anything, even on 100% volume.",0.0,46
"Bro, do you even modular synth?",0.0,8
"By the way, Autodafe just released 2 more modules...
Autodafe Module Pack for VCV Rack (free) contains 11 modules:
LFO module with CV Input.
Simple but handy 1x8 and 2x8 Multiples
Clock Divider
8-Steps and 16-Steps Sequencers
8x16 Trigger Sequencer
Fixed Filter Bank
Foldback distortion.
Bitcrusher
Phaser

https://www.autodafe.net/virtual-instruments/vcv-rack-modules/autodafe-module-pack-for-vcv-rack.html",0.0,59
Can it output cv/midi to hardware? I saw a module that looked like it could.,0.3612,19
Can this be used as a DAW instrument?,0.0,9
Can you use the mouse wheel to turn a knob? That seems like it would be easier than trying to manager a circular drag.,0.5267,26
Can you use this software on the iPad?,0.0,9
"Clicks video
""I'm a module!""
Closes video",0.0,10
"Cool, thanks.",0.6369,4
"Damn it, another piece of software I never heard of, and now I have to install it, get high and spend days in it.... thank you :)",0.4215,31
Do you still have that old EF-303? Would love to see you play with it.,0.765,19
Don't mind that idiot. I enjoyed the video very much and it was also very informative of the basics.,0.7186,21
Download... but is not working on my MAC,0.0,9
