,sentiment,wordCount
""" He wanted to make the sauce available and nothing more...  Now let me tell you about TUNNELFREAKINGBEAR """,0.0,20
"""...his choice of using local products is.... to pay back the United States for being the only country that would grant him asylum when he was fleeing Vietnam.""

I just purchased a bottle and thought I'd try it out. So I'm sitting here eating this stuff for the first time while watching this video and thinking it's a little too hot and a little too spicy. Then Tran's comment came up about paying back the USA. That comment sold me. He obviously is a man that is grateful to this country and appreciates being here and is also a productive member of our society. Because of that and the fact that this stuff is pretty good tasting, Tran just got himself a life long customer.",0.946,137
"*we want Sriracha* !
Even more so for the humane attitude of the owner Mr. Tran",0.1511,19
"1:35 ""We started this because business""",0.0,8
"3, 2, 1, Dr. Tran!",0.0,10
5:14 One of many great examples of an IMMIGRANT humbly giving back to the country he loves (see Steve Chen & Jawed Karim).,0.8807,26
"6:30 ""20% per year fo many years"" Fo sho",0.0,12
6:34 *20% per year FO SHURE!*,0.0,10
6:34 fo many years 😂😂😂😂,0.0,7
9:39 *No Tear Gas Being Made Here*,0.0,9
@6:33 spelling mistake someone forgot to add r,-0.34,10
"A business model designed for longevity, not for massive profits at the expense of the product. I dig it.",-0.3412,22
A few years ago my parents were touring Germany with some friends and stopped to eat. As they sat at the table they looked at the condiments and found among them a bottle of this Sriracha sauce...... Where has YOUR sauce been today?,0.296,46
A man who simply wants everyone to enjoy his products instead of being very wealthy.  My utmost respect and admiration.,0.9117,22
After this man dies and his heirs inherits the company it will go the way of walmart and the like. Once honest businesses turned into capitalistic animals.,0.7003,29
Am I the only one that noticed the missing R in for at 6:30,-0.296,14
"Am from LA and we pronounce it: ""Loss An-jeh-liss"" instead of ""Loss an-gel-ee""",-0.5574,18
"Amazing, I'll make sure to only purchase the original from now on. Good Stuff!",0.8908,17
American Collaborator became rich. He probably deserved to be executed by firing squad.,0.296,15
"And one more fact, this sauce is on ISS at all times, one of a few sauces up thee",0.0,21
"Another example of an refugee who has contributed to the country that has become their home, it is a myth that refugees are burden on countries, they give a net benefit to the economy.",0.0258,37
Bonus fact: at 10:00 sriracha is spelt 'sirachi',0.5423,11
Bonus facts are at 8:40 if you want to skip the middle ad...,0.5859,15
Bought a bottle after watching this. Very good sauce.,0.4927,11
British v sauce dude,0.0,4
Chinese Zodiac!,0.0,3
"Comcast needs to watch this.
...
Oh wait, they can't.",0.0,12
"Communism sucks lol, it's amazing what one man who escaped a totalitarian hellhole can do",0.25,16
Cool guy I'm just not a fan of the sauce unfortunately,-0.2644,11
Crazy. I never imagined a sauce I carry more often than ketchup is produced by a small business.,-0.34,20
"Damn, you guys REALLY need an editor on those titles.  I counted at least four mistakes just in this video alone.",-0.7351,24
David Tran is my dad,0.0,5
Dr.Tran!!! Hes a REAL DOCTOR!!,0.0,10
Excellent sauce. I saw a picture of the astronauts on the International Space Station with a bottle of Sriracha sauce hanging on the wall. I thought that was pretty cool.,0.8481,33
Fascinating.  I actually have 2 bottles in my cabinet as I type this.,0.5423,15
Finally a businessman whose not a greedy fucker!,0.6904,9
Fucking japs,0.0,2
Fucking love this guy,0.6697,4
GENIUS !!,0.0,3
Gay,0.0,1
Glad he did not have the business mind of Kraft so his product did not turn out like Cheez Whiz,0.224,20
Go Sriracha!! Keep it straight,0.3578,7
"God bless Mr. Tran.  His is a story if a 'true' American Dream that if more should follow, America would be a better country.",0.8316,30
