,sentiment,wordCount
"""ALL men are evil"" 
This is basically the videos message, defamation. Anyone not disliking this should rethink their life choices",-0.5327,24
"""Crushing sense of powerlessness""
In a country where you can freely speak your mind about whatever, whoever and however you want? Yeah, sucks, dont it?",0.1926,32
"""I had to show people I was not lying!?!"" Yeah. It's called innocent until proven guilty. The basis for our justice system",0.4011,29
"""I know what men can do when they are angry"". like we are animals. like we are a wild bear, that wears a suit, who is only pretending to be civilized, but make us angry and we will harm rape and kill you. bullshit. you cant dehumanize me, then give two men a 5 second platform and tell my that the dehumanization isn't there. i am not a monster, i am a human with a y chromosome,  don't tell me i'm invalidating the experiences of sexual assault victims when i raise my voice about inequality. i am obviously not a woman, so i don't tell them what they do, what they are, because i don't know, i don't accuse them of being part of a group that controls society and holds men down, because that would. i'm not a part of the patriarchy, i don't rape, i don't murder, when i'm angry i have a conversation like a sensible human being. don't tell me what feminism thinks about men like i'm an idiot who cant watch the fucking video.",-0.9944,204
"""There was no where to report anything""",-0.296,9
"""There wasn't a place to speak out against this experience."" What about the police? Other then that this is a great video and I support this movement fully.",0.7783,33
"""Words like violence
Break the silence""",-0.3818,8
"""patriarchy""",0.0,3
"#533 people are giving thumps down,  are the people that never gone through this. Is not only women, men too are getting disrespected. And is time to stand up.",-0.1531,34
"#MeToo. These people are so inspiring, even in the face of hate.",-0.0216,15
#Notme,0.0,1
#metoo <3,0.4404,2
'Attention Seekers',0.0,4
"'So some people harassed and some other people got harassed. So what should we do for that? How 'bout censor and edit all the good movies that are involved in that? Yeah that might help! Society issues should be projected to art and it should get censored therefore.'

That is soe fucking stupid...",-0.7166,62
*AMERICAN MEN HAVE LONG HAD SOME PERVY SEX STUFF GOING SOUR IN THEIR HEADS. TIME TO PUT THEM OUT THERE ON BLAST. NO MEANS NO*,-0.296,29
"*DO NOT read the comments* , they are filled with ignorants and disgusting people!!
OH and btw, to all those ignorants, don't reply me, because I wont spoil my day by responding to shit ^_^",-0.8217,44
*THE POWER OF PATRIARCHY*,0.0,6
*WOOSH* that joke went so over your head its on the stratosphere now,0.296,15
*patriarchy*,0.0,3
"+Karasu
Really? Is Terry Crews, a man with a wife and 5 children, gay? Is Terry Crews, a 6ft3in tall/245lb heavy former football player, ""like a woman""? I can't believe you're assuming that they're gay just because they were sexual harassment victims. It's that homophobic, sexist mentality that paints men as ""weak and feminine"" because they were humiliated, harassed or raped that prevents so many men of suing and speaking out against the abuser when that happens to them.
EDIT: I also googled Blaise Lipman (the other man who appears in the video), and found no evidence of him being gay whatsoever.",-0.9746,125
"+Svartir Bjorn
Citation needed. As a feminist, I think all rapists are disgusting people who should rot in jail, regardless of their gender (and most feminists I know feel the same way).",-0.8271,39
"+Svartir Bjorn
Please, if you want to have a debate, let's be honest here. Let's try to comprehend what the people on the video are saying to avoid misunderstandings, because it's not productive to put words into someone else's mouth. She never, in any part of the video, said that it's all men who rape, or that all rapists are men or that you are all monsters. Yes, she said ""I know what men can do when they are angry"", but not ""I know what men WILL do when they are angry"", and thus, wan't being as deterministic as you suggested. Do you even know why she said that? Do you know her story? Do you know the context behind the phrase? If you don't, then it's pointless to act as if you understood it, when it seems like you didn't. And yes, sharing the story of men who where also victims proves that they are not being dehumanized. Actually, if you want to give me a convincing evidence of why the video is dehumanizing men, suit yourself, because this statement is clearly not enough and wasn't as ill intended and discriminatory as you were saying it was.
And in no way I'm telling you it's wrong to raise your voice about inequality (it's exactly what TIME is doing here, after all). But protesting in a youtube video that covers sexual harassment (of both men and women) isn't the best way to spread awareness about the problems men face in society. And please, are you really telling me that men don't hold most of the economical and political power in our society? You'd be lying if you said women share the same amount of influence. (Of course, after that, you could send me whichever articles on sexual determinism and dimorphism in humans, but honestly: don't even bother. Even if some of the biological differences between men and women could explain a disparity, simply saying ""biology"" isn't enough. You can't say that women are only 26% as worthy as men of being in STEM fields. You can't say that women are 20% as capable as men of being a politician. You can't say that women only deserve 4% of the positions as CEOs. Ignoring that there's sexism and systemic inequality towards women is bullshit).
You don't want me to act like you are ""too stupid to watch the video""? Fine, I won't. Then don't act like I'm too stupid to understand what that woman meant by that phrase. Don't act like I'm too stupid to understand the contradiction in your comment (you are saying ""don't generalize"", at the same time you are generalizing the feminists as ""men haters"" because of something you think a woman, that isn't even a feminist leader, said in a video). Don't act like I'm too stupid to understand that saying men hold most of the power in our society is discrimination, and not a fact.",-0.9786,566
0:04 Taylor!!!,0.0,5
0:04 is that Taylor swift?,0.2023,6
0:04 taylor swift,0.2023,3
"1:12 ""there wasnt a place for us to report  these experiences
abuse shelter?",-0.6369,15
"1:26 Love selma Blair , but just as she said it, she was always waiting for someone bigger (probably a man) to step up in her place and advocate for her. 
Grow some balls and don't blame ALL men for the time you decided to remain silent affecting other women as a direct consequence.",0.6315,59
1:39 and at this moment a meme was born,0.0,9
"1:40 Is bullshit about Patriarchy. Patriarchy had nothing to do with this - it was about money and abuse of power. Equally part of this video seems against politeness which seems weird to me. 

Other than my natural concerns about not coming out sooner and by extension potentially leaving others to become victims (and profiting), good video. I understand it is not easy to come fourth about this stuff. 

It both now makes sense and yet still seems hypocritical with the amount of grandstanding/soapboxing Hollywood has done recently. I'm still torn but am ultimately more sympathetic. I still believe that Hollywood fear mongers other communities for issues it has rather than these communities.",-0.7108,126
1:40 the part where this video lost all its credibility,-0.3182,10
1:40 wh3re Dolan dark used for meme,0.0,7
"1:43

*SOMEBODY TOUCHES MY SPAGET*
real shit",-0.5574,9
"1:43
aaaaaaaaaaaaaaaaAAAAAAAAAAAAAAHHHHHHHHHHHHHH",0.0,2
1:43 HAHAHAHA,0.0,2
"1:43 for the meme
1:58 she got big ass eyes",-0.5423,10
1:43 have you seen females when they get angry,-0.5106,9
1:44,0.0,1
2017 will be remembered as the year TIME went to shit,-0.5574,11
"3:34
bitch looks like a cave troll",-0.3182,7
3:35 - OMG! She created METOO?,0.3164,8
"A ""Determined, ballsy mothafucka"" nod has to go to the whacky Vegas shooter. That took some serious 'gotta-do-this' attitude.",-0.0772,26
"A lot of the things in this video are good but it's also filled with a lot of bullshit that ruined it for me. ""The power of the patriarchy"", ""And when I talked to other women they were furious too"" implying men don't give a damn when someone is sexually harassed. I could go on but I feel I would get too frustrated.",-0.9716,71
A man can now be accused of something that allegedly happened 20 - 30 years ago and lose everything no matter if he's guilty or not. Not to mention that the new definition of sexual abuse can mean anything from rape to simply looking at a woman the wrong way. Why don't you feminists simply make it illegal for a man to approach a woman. Then you can start approaching those 20% of most attractive men you all want to sleep with. That way everyone wins. Women and top men will get what they want. The rest of the guys will at least know they have no chance and can focus on other things in life.,-0.946,124
A massive Weeb You are disgusting.,-0.5267,7
AY YO! ITS DOOMFIST!!!!!!!!!!!,0.0,8
Ali Hassan how is speaking out abt assault/rape a liberal thing,0.0,13
All men are evil and should be fed to Xenu,-0.6597,10
"All of these women raped me as a child. Phew, it feels so good to finally get that off my chest. I've been afraid to speak up about it for so long. I'm such a brave victim. #MeToo",0.1132,43
