,sentiment,wordCount
"#50 ON TRENDING 12:18 P.M. Saturday morning January 20th, 2018.  Future Legend Coutinho",0.0,18
#50 in trending,0.0,3
#Visca'BARCA.. 🙏🙏🙏🙏👏👏👏👏👏👏👏👏👏👏👏,0.0,8
"0:01 i thought he was wearing earphone, loll..",0.0,10
20,0.0,1
7,0.0,1
"7 griezman
24 yerry mina
14 coutinho",0.0,7
97 madridistas le dieron dislike al vídeo 😂,-0.3818,8
:(,-0.4404,1
@Phil.coutinho,0.0,3
Allez les catalans,0.0,3
Another dude from Liverpool. Just what kind fans does Barca have?,0.5267,13
Average,0.0,1
BACKKK   FOR GOD ♥♥♥,0.4278,6
Barca,0.0,1
Barca you will sign me in 2022,0.0,7
Barça😆😍,0.0,3
Because he cannot play matches,-0.2584,5
Boris Johnson plz help me cross 1000 subs,0.4588,8
Brasil!,0.0,2
COUTINHO O MAGO😎,0.0,4
Can't wait for his debut!,0.0,6
Can't wait for ur deubut,0.0,5
Can't wait to more,0.0,4
Can't wait to see Coutinho debut.,0.0,7
Can't wait to see coutinho play at barca.,0.34,9
Can't wait 😳😍,0.0,4
Cant wait to see is debut,0.0,6
Come back to Liverpool,0.0,4
Cool,0.3182,1
Countinho Will play vs Espanyol,0.34,5
Countinho seems feeling boring in Barca,-0.2023,6
Coutinho,0.0,1
Coutinho & Suarez (Ex Liverpool Duo)♥,0.0,9
Coutinho Coutinho,0.0,2
Coutinho Messi love Best and Suàrez,0.8555,6
Coutinho Swamy ❤❤,0.0,4
Coutinho biolame plis,0.0,3
Coutinho e top,0.2023,3
Coutinho is a fucking shit/es una mierda,0.0,9
Coutinho is a right foot messi.,0.0,7
Coutinho one love💪,0.0,4
Coutinho should get #6 and Griezmann #7,0.0,9
Coutinho the Magician at a club he deserves,0.0,8
Coutinho welcome to Barcelona  :)))),0.4588,7
Coutinho ❤,0.0,2
Coutinho ❤👍👏👑♨🔝💯,0.0,8
Coutinho 🎩🔴🔵,0.0,4
Coutinho 👌,0.0,2
Coutinho 🔵🔴. Can't wait to see that boy play.,0.34,12
Coutinho 😍😘,0.0,3
Coutinho 🤙,0.0,2
Coutinho🤙🏻,0.0,3
Darn we won’t be fully healthy till about mid February,0.4576,12
Dawać go na boisko!:),0.0,6
Desde Argentina aguante Coutinho aguante Messi aguante el Barcelona,0.0,9
Dose anyone no when u start playing,-0.1027,7
Esperando el debut Dr coutunhio,0.0,5
Esta que se juega el crack,0.0,6
Este sim é jogador para o Barça!! Força,0.0,10
Eto 4e nai dobria vliza,0.0,5
FC COUTINHO,0.0,2
FORÇA BARÇA!!!,0.0,5
Felipe Coutinho joga pra Caralho o Barça ta fortão com a sua presença !,0.0,14
Força Barça ❤,0.0,3
"Futebol BR Haha lol KKK reference in Back.
""BAC'KKK'""",0.7003,13
Futebol BR help me cross 1000 subs plz,0.4588,8
GRIEZMAN??,0.0,3
Go coutinho,0.0,2
God Bless u Philippe,0.5994,4
Good luck Coutinho,0.7096,3
Good luck coutinho Liverpool did need you; but not no more.,0.6465,13
HES COMING😍🔥,0.0,4
He Looks so sexy in The Barca trainnnings dress ❣️,0.656,11
He can help with penalty kick,-0.0772,6
He is comming my bruddas...,0.0,6
He is learning da wei. De Barca wei.,0.0,10
He looks fit already,0.3612,4
He looks ready to join his teammates! 🔴🔵,0.6114,10
He so happy i wish he will be the greaster player in the world,0.7889,14
Him 😍,0.0,2
Holy crap who cares all this first time shit is getting out of hand why not do a first time for everyone stop wasting videos on this shit,-0.8176,28
I can't wait to see him play,0.34,7
I guess he should make his debut against espanyol In the second leg of cops del Rey,0.0,17
I hate when club buy a player for a lot of money and don’t play them right away,-0.3182,20
I hope one day ill be able to join a proffesional football club like your barca,0.5859,16
I hope so when he will play to dont injured like dembele 2 times,0.6649,14
I love Coutinho,0.6369,3
I love couthino,0.6369,3
I still can’t believe we got him,0.0,9
"I think he'll start training with the group next wednesday. Then, he'll make his debut against Alaves.",0.0,20
I was the 100th dislike,-0.3818,5
Injured Coutinho is still better than Gomes tho,0.0516,8
It is said he will play against alaves next weekend hope for the best Coutinho,0.8591,15
"Jogador que consegue jogar bem e fazer explorar as qualidades de quem joga ao seu entorno! 
Dribles eficientes inesperados, 
Joga bonito e para o time!! Não tem como não dar certo!
A semelhança com Iniesta não está só no estilo de jogo e visão, mas no caráter e humildade, não por menos que tem o respeito de todos na Premier Legue, treinadores, jogadores, torcedores!

#Little magic",-0.6776,77
Juega yaaaaa,0.0,2
Lets get it!!!!!,0.0,6
Love u coutinho 😉😘😘😘😘,0.6369,7
Magician,0.0,1
Man he turned shit since he left LFC,-0.5574,8
Mas é um mito msm,0.0,5
Next Week he is ready .,0.3612,6
O cara tá bem pra jogar,0.0,6
One of the best football fitness treatments ❤️💙,0.743,10
Only Barcelona💗💙👏👏👏👍👍⚽⚽⚽🔩🔩🔩,0.0,15
Oooooooouuuuuueeeeeee,0.0,1
POGBA was a better buy than COUTINHO and I thought Man United were stupid,0.3182,14
Phil come on fast. We need more Assists👏👏,0.0,11
Philippe coutinho you are welcome to the Barcelona squad,0.4588,9
Play him aginst esponyol,0.34,4
Puto amo,0.0,2
Ready💪💪💪💯,0.0,5
Really that is good,0.4877,4
Remember: no one is bigger than club,-0.296,8
Rima Melaty que linda,0.0,4
SEMANGAT COUTINHO ♥♥♥,0.0,5
"Saudações Vascaínas Coutinho!!.

Acompanho o trabalho desda época do (Vasco da Gama), teve de jogar muita bola para começar a ter o devido reconhecimento.
Sempre achei se tem um time onde ele pode evoluir ainda mais é no Barcelona, e tem futebol para elevar ainda mais o Nível do Barcelona, visão e leitura de jogo excepcional !",-0.4724,66
Será q ele estréia contra o betis?,0.0,8
Snake 🐍,0.0,2
Soñe con couthino que en un partido oficcial le accedierón sus Compañeros a tirar el penal y Lo FALLO HORRIBLE!!! :'V SOY BARCA!!♥,-0.7507,31
Sub to my channel pls need subs it is epiccon,0.0772,10
THE BEST!,0.6696,3
Te amo F.C. BARCELONA,0.0,7
"Tenemos que ganar al Espanyol la semana que viene para que Cou pueda jugar también copa, ademas de esta liga que la tenemos bastante encarrilada. VAMOS BARÇA.",0.0,30
Thats not all....there will come more for me,0.0,10
The beast is getting unleashed,0.0,5
The storm is comming!,0.0,5
Traitor,0.0,1
Tô ansioso pra estreia 🔥🔥🔥,0.0,7
U will get well soon boy!!,0.3987,8
Unbelievable Coutinho has chosen the slave role to serve Messi and Suarez the very same reason why Neymar left.,0.2023,20
VAMOS 🔥🔥,0.0,3
VS Betis debut???,0.0,6
Vamo coutinho,0.0,2
Vamos Couuuu,0.0,2
Very nice,0.4754,2
Visca barsa!!,0.0,4
"Visiten mi canal de Youtube, hablo sobre temas del Barcelona",0.0,11
Vídeos mais longos please,0.3182,4
Waiting for your debut 🙋,0.0,5
We love you COUTINHO❤️❤️❤️💪🏻💪🏻💪🏻😘😘😘,0.6369,19
We need Neymar he is better,0.4404,6
When Liverpool win the champions league this year! 😂,0.8172,10
When Phipple Coutinho Play First Match For FC Barcelona ?,0.34,10
When he is gonna comeback??,0.0,7
When he will back,0.0,4
When his debut,0.0,3
When is he going to play...?,0.0,8
When is he gonna play,0.34,5
When is he playing the next game,0.2023,7
When is his debut,0.0,4
When will he be able to play?,0.34,8
When will he make his debut?,0.0,7
When will he start playing?,0.2023,6
Who else is hyped from Coutinho's signing? Raise your hand.,0.4939,12
"Why Coutinho has to do this shitty basic skill training?
Just play him already, goddamn it.",-0.714,19
Why he don’t play in the game?,0.34,10
Will he play next match?,0.34,6
Yes ❤,0.4019,2
"You guys at Barca are lucky to have a talent like Coutinho, I 100% guarantee he wont flop for Barca unless he become injury prone. Wish he was still with us at Liverpool but he left on good terms with the fans because he always played hard for us no matter what.",0.8488,56
better than moneymar and penaldo,0.4404,5
countiho idolo,0.0,2
coutinho  vai se monstro,0.0,4
coutinho messe e suares meu deuz,0.0,6
coutinho 🖤welcome,0.0,3
fan coutinho like  :)),0.5859,5
hanks god for bless fifa and football as well and you know African the right play who is coming as me like ronaldo as and young play as coming from West African Ghana as call manaf shaibu as best 7 as well,0.9559,42
"https://www.facebook.com/DARK.TECHNO.N1/ 
like this",0.3612,3
lại bom xịt giống dembele thôi,0.0,6
my grandma can do better videos,0.4404,6
"que buena técnica, tiene el kbron sobresaliente, pero aún le veo falta de potencia",0.0,16
snake,0.0,1
so? am i supposed to be impressed?,0.5362,9
the illusion that players are good because they're brazilian only one RONALDINHO,0.4404,12
"the little magician is coming soon to brighten the cam panou ,..Hahahahah YESSSSSSSSSS",0.4404,15
umtiti cuando regresa ??,0.0,5
vamos crack grande coutinho  pura magia el magoo,0.0,8
weht number cotiniho,0.0772,3
what coutinho can play in champions league?,0.7003,8
when is his first match,0.0,5
Когда он выйдет на поле?,0.0,6
"Коутиньо ♥👌
👍👍👍",0.0,6
احسنت,0.0,1
اشتراك ولايك القناتي مردوده,0.0,4
اشتركو بقناتي وفعلو الجرس🔔,0.0,5
برشلونة افضل نادي بالتاريخ و ميسي الافضل في التاريخ,0.0,9
لاعب مجتهد ماشاء الله اتمنى ان يجتهد ديمبلي ان شاء الله,0.0,11
ممكن الاشتراك وارده فدوه 😍😍😍,0.0,7
نخلصهه اصابات من دمبلي الى كتيوني,0.0,6
هلا والله بالبطل,0.0,3
❤❤👍👏👏👏👏👏👏👏,0.0,6
🇧🇷🇧🇷🇧🇷🇧🇷,0.0,8
🐍,0.0,1
👍,0.0,1
👍🏼👏,0.0,3
"💙Barca💙
❤Coutinho❤",0.0,6
💜💚💚,0.0,3
💪🏽💪🏽💪🏽,0.0,6
💪💪💪💪,0.0,3
🔥🔥🔥🔥😍😍😍😍💪💪💪💪,0.0,9
😍😍,0.0,2
😍😍😍💪💪💪,0.0,6
😎👍👍😎👍😎👍😎👍😎,0.0,10
😚😚😚😚😚😚😚😚8😘,0.0,5
