,sentiment,wordCount
"""Im Democrat and support letting the immigrants come through legal or illegal. One of the many points myself and other democrats liked to use was ""They're not all bad"". Basically saying why should we send them all back if only a small minority commit a violent crime when here. But when it comes to guns they want to ban them all because of the actions of a few dumb ass people. That makes absolutely no sense. Wouldn't they also use ""Not all gun owners are bad"" in this situation?""
-Douglas Zavala.
P.S I am not a democrat, i was quoting a person who was.",-0.9694,122
1 less smart-ass little fucker running around.,-0.578,8
"2 Timothy 3; But realize this, that in the last days difficult times will come. For men will be lovers of self, lovers of money, boastful, arrogant, revilers, disobedient to parents, ungrateful, unholy, unloving, irreconcilable, malicious gossips, without self-control, brutal, haters of good, treacherous, reckless, conceited, lovers of pleasure rather than lovers of God.",0.9047,75
2 of my best friends go there,0.8074,7
"@0:42 ""all the students in the school are safe"" yeah ok think again brah",0.743,18
A 7th grader did this in Sierra vista az not to long ago. Sad these kids are killing them selves to this sad excuse of a world bullying etc.,-0.9406,31
A 7th trader has access to guns... lol US are y’all even real?,0.4215,17
"A fuckin time when kids are eating tiepods and don't Know what bathrooms they should use.
#lovemyNRA",0.0,18
ABC doesn't have any integrity.,-0.2924,6
"After every shooting, we need to be asking for all photo, video and document evidence.  We need to be asking who cleaned up the blood and tissue, who made the repairs afterwards?
We need to Know HOW the perps got the weapons and the chains of custody of each weapon used from manufacture to the time it got into the perps hands.",-0.6249,68
"Again..... OMG, stop kids please.... you matter,  your life matters!!! Remember, no one day is the same, if you're feeling a certain way today that doesn't mean you will feel the same way tomorrow....",-0.3561,44
"Ah classic internet, not able to understand a single joke or forgive a single mistake.",0.2263,17
"Alright, I've been severely clinically depressed (clinical depression is when you don't know why you're depressed) for nearly 6 years now and I have to say this. Whenever someone commits suicide, some people always call them selfish or don't understand why he did it. I'm not sure if this was due to depression or bullying but several suicides do occur because of this and it needs to stop. People are talking about how he needs a therapist and while although I agree, he needs more than that. He needs people to treat him like a person. It shouldn't take someone to be severely depressed or to shoot themselves in order for people to treat them with some common human decency. We shouldn't need tragedy's for people to start caring. And the fact that people just try to throw therapists at them instead of talking to them or helping them is just wrong. People don't commit suicide out of nowhere, it's a decision that takes them an extremely long time of pain and suffering to come to. 

Also, please understand that there's a reason why people don't tell you that they're depressed. It's because they don't know the outcome of how people will look at them or treat them.

Most importantly, people need to understand what depression is. Unlike what many people believe, depression isn't extreme sadness, it's an illness that makes you lose all hope and see everything that once made you happy suddenly feel bitter and painful. It destroys any passions or hobby's that you enjoyed and makes you completely unmotivated until you become too tired to even get out of bed. And anytime you try to go to sleep you just sit there staring at the ceiling and just asking your self the same questions and believing that you are nothing but a horrible person and that you will never amount to anything. For those of you who think that you may have depression, please check with a therapist to be sure. And to those of you who think that depression is cute/cool, or isn't real, or is something that isn't that important, please stop for a moment and educate yourselves. Depression is real, it kills thousands of people, and it is not something you want so stop treating it as such.",-0.9964,420
America is in a gun crISIS!!,-0.7955,8
America wtf again!?!!,-0.6884,7
America’s youth is fed up.,0.0,8
And da ting goes skraaat ka ka ka a ping poom poom,0.0,12
And the next thing that follows the suspect is confirmed white with mental issues but not called a terroist,-0.1531,19
Andy Saenz this country is creating a massive MONSTER O BOY,0.296,11
Another school shooting already? Oh wait...,0.0,8
Are they canceling other schools because some parents have kids that attended that school. Seriously that’s like the only reason they would be evacuating schools and canceling them.,0.2023,32
At lest he didn't shoot up the school,0.2584,8
"Because hospitals. 

I heard somewhere that he survived.",0.5106,10
"Because that 7th grader's parents might have a gun in their house to defend themselves against home invasions, and this kid is already wanted to end his life, so he stole the gun from his parents, snug it in his backpack, bring it to school, and end himself in the bathroom. So can you just stop for a second, think outside the box instead of blaming our country and the people in it for every shit that happened ?! Yeah, let me accuse your whole country of a crime because the citizens in it committed it, and let's see how you feel about that ? We work our asses off to invent some useful items, vehicles just for these ungrateful little son of bitches to insult us like a bunch of slaves while they're hiding behind their mommies' monitor, acting like a bunch of loudmouth keyboard-warriors.",-0.9622,160
Bet now schools are going to have school shooting drills.,0.0,11
Black gun lives matter,-0.3182,4
"CNN ""A white supremacist gave the boy a rigged gun, the gun went off and killed him. Trump supporters are killing without touching the trigger of the gun, it's time to ban guns before more white supremacist strike again!""",-0.9604,45
"Can people stop being stupid? I'm all for guns, but how does a 7th grader have access to a gun? Lock your fucking guns up; regardless of if your kid knows how to properly use them. Did he shoot himself to commit suicide or was it an accident? Seriously, why is this newer generation so incredibly depressed and fucked up in the head?",-0.9876,71
