,sentiment,wordCount
"""woahh she's blurry.... hey gurl""",0.0,8
#49 on trending,0.0,3
#50 on trending,0.0,3
#Colleen'scorner I was wondering how the actors in haters back off found out about the show and how did you choose the actors??? And when are you coming to new York?,-0.6322,35
#colleenscorner,0.0,1
** In weird sassy voice colleen does when she mocks mean comments ** Colleen how DARE you waste all that water for the shower while you were talking. There are people without water,-0.7579,36
47 on trending!!!!,0.0,6
8:05 I WAS THERE,0.0,5
8:42 😂😂😂 reaction is PRICELESS!! (please someone make into a gif or a meme),0.0,21
8:44 lol😂,0.0,4
:(,-0.4404,1
ALEXANDER HAMILTON,0.0,2
Alexander Hamilton in a red coat? Talk about alternate universe,0.0,11
Also I would love to see a third season of haters back off 😊loved the second season!!!! 💖💖💖,0.4885,24
Also happy birthday💜💜💜,0.5719,6
Are you still gonna go on tour because I booked tickets for New York NY for the date 4/8/18,0.0,21
"At 5:08, I got that poster from your show but I thought the names were printed on but I didn't know YOU ACTUALLY WROTE THE NAMES!!!",0.0,30
Babe I love you I would turn straight for you even tho you can’t turn straight cause I’m born gay but I know what I mean ❤️❤️❤️,0.5423,36
Boo,0.0,1
Boooooooooo,0.0,1
CAN YOU PLEASE BE MY NANNY,0.3182,6
COLLEEN *EFFING* BALLINGER... i love how you have so many musical theatre songs in your show #TheatreNerd,0.6369,20
"Chill out about the water LMAO, you people are ridiculous.",0.4824,12
Colleen i don't know if you have but can you post the melbourne show footage sorry AND HAPPY BDAY LOVE U,0.9393,21
Colleen is always talking about how much youtube sucks and everything which is totally true and obnoxious but GUESS WHO IS ON TRENDING COLLEEN!!!,-0.4042,27
Colleen rocks love ❤️ ya girly Vlogmas rocks!!!! Almost time for your brothers family Vlogmas too!!! Love you Ballingers each and everyone,0.8902,29
Colleen stop using your shoulder!!!!,-0.5216,8
Colleen u probably won't find this comment and it will probably get lost in the sea of comments but My dream is just to meet u colleen but I am so busy so I can't make it to ur Sydney show😞😞😞 I wish u the best and I hope u hav a great time in Sydney!!!!,0.9746,62
Colleen you shouldnt waste so much water. Water is precious here.,0.7212,13
Colleen! Stop thinking about it ending! This could last you years! It already has! Just enjoy it! ❤️,0.4885,24
"Colleen's moto is ""Spread Happiness""... please unsubscribe to her and never click on any of her videos if you are going to be nasty.... your negativity is unwanted :)",0.0258,33
