,sentiment,wordCount
"""Dennis, get it""

""...yeah I got it""",0.0,13
"""What did you do now, Jeb...""",0.0,10
#ReleaseTheMemo,0.0,1
*F A L C O N.  P A A A U U U N N N C H*,0.0,21
*dont spy on them  ( ͡° ͜ʖ ͡°)*,0.0,14
3 days https://www.space.com/37360-spacex-test-fires-rocket-photo.html,0.0,3
"3 weeks maybe, 6 weeks definitely",0.4019,7
8 down votes are jealous former Soviet N1 rocket engineers.,0.1613,11
<3 from Denmark,0.4404,3
Ad astra bois,0.0,3
"Ambient Morality - Falcon Heavy will launch ""in a week or so"" (Elon Time™).",0.0,20
And starving Africans could've eaten that Falcon Heavy...,-0.4215,9
And will get infinite miles on a single charge!,0.0,10
Anybody know the tonnage ie lift cap of this?,0.0,10
Are you sure? Seemed only about 6 seconds.,0.3182,10
Be nice if the people would stfu,0.4215,7
"Best view so far!  Well done!  Thanks!
Now we find out if there were problems, or if can they finally set a launch date.",0.825,29
Can someone explain to me why there is always a water tower RIGHT NEXT to every launch pad?,0.0,19
"Can you imagine if that things fails :( :( I hope not but imagine Elon Musk explaining to his insurance company what happened to his car... ""Let me get this straight?!?!?  Somehow your very expensive Tesla Roadster, first of it's kind, was in the nose cone of a rocket and it blew up!!!""  Geico should sponsor this launch...",0.666,72
Damn!!,-0.508,3
Dennis got it!,0.0,4
Dennis you got it !,0.0,5
Dennis you got it? YOU GOT IT!!!!!!!!!,0.0,11
Dff,0.0,1
Don't talk BS with rocket scientist in the room.,0.0,10
Eclipse I agree with you 100%.,0.3612,8
"Elon says it went fine! (Via twitter)  Launch ""in a week or so""",0.2714,18
Elon's the kinda guy who would still have a pager.,0.0,11
"Excellent thank you, I've been looking forward to this for .. well as long as everyone else :-)  My favourite bit, the comment ""Well I call that a success, the vehicle is still there"" My thoughts as well, firing this was a very big event :-)  Great job SpaceX",0.9661,55
Finally ... !!! MARS !!!,0.0,9
Finally!!!! I was waiting 18 days for this.,0.0,12
