,sentiment,wordCount
"""What can a defensive lineman do for your mother?""  Well, I think I saw a movie about pretty much that one time...",0.6597,27
+Ashton Landry she’s really fat tho,0.0,9
Adachi Selas she had two babies back to back. She's just now getting her baby fat off,0.0,18
Afghanis LCD.,0.0,3
All the fat people are against that comment.,0.0,9
"Always thought that it wouldn't be a great thing to have your name forever associated with painful hair removal... But it worked for the Kardashians too, so..",-0.7347,30
And yet there's a whole TV series dedicated to getting celebs drunk and making them recount historical events. Maybe I'm encouraging unhealthy drink habits in others purely for my own amusement and lack empathy for them and their families should they develop an addiction and become reckless drunks?! You should scold me for that instead. Go on...scold me.,-0.5983,65
Ashton Landry I can dig your attitude. Very positive. Thanks for responding with love. ☮️,0.9056,19
"At least Kelly is still pretty hot, Rebel is disgusting. Oh yeah, and that beached whale can't sing.",0.1027,22
"Baldwin, your tone seems to indicate that you are one of those kids who never got properly disciplined.",0.0,20
Blackarachnia Lavigne wouldn't have to say it if she wouldn't have gone all out on the food...,0.0,18
Boycott Streep.,-0.3182,3
"Bördy Bird Yes! PHAT and successful AF ! :) she released a phenomenal album, became a successful coach on the voice, her vocals have never sounded better and believe me she is just fine rolling in the dough. Negativity like this is not needed in our world today. You are entitled to your own opinion but just so you know after she had two children she struggled to lose weight and this is the best she’s looked in a long time. Large or small she is insanely talented. Catch a glimpse of your own self in the mirror before making such comments. Peace and love. Not hate.",0.9594,119
"C. Ö. .... yea she’s phat and successful AF! She recently released a phenomenal album, became a successful coach on the voice, her vocals have never sounded better and believe me she is just fine rolling in the dough. Negativity like this is not needed in our world today. You are entitled to your own opinion but just so you know after she had two children she struggled to lose weight and this is the best she’s looked in a long time. Large or small she is insanely talented. Catch a glimpse of your own self in the mirror before making such comments. Peace and love. Not hate.",0.9436,123
C. Ö. Stfu,0.0,5
Cheeky Death Metal Bloke I absolutely respect your opinion. Thanks for the respectful reply :) I assure you I’m not a member of her PR team or anything but always try to highlight the positives as we all have to ride this crazy roller coaster known as life! Hope all is well is your world. Cheers :),0.9761,62
Cheeky Death Metal Bloke and still fucking awesome! You are entitled to your own opinion but just so you know after she had two children she struggled to lose weight and this is the best she’s looked in a long time. Large or small she is insanely talented. Catch a glimpse of your own self in the mirror before making such comments. Peace and love. Not hate.,0.9215,75
Damn Kelly is soooo adorable and down to earth. I love her personality. ♥,0.6908,16
Damn she really let herself go,-0.4019,6
"Damn, I'm sorry man, that sucks.",-0.6705,9
Damn... Who ate kelly? Blonde Shrek up there,0.0,10
Delightful!,0.6239,2
"Demon Knight Dean
Are you just finishing off a 30 year sentence in the penitentiary?
Or have you had this small town MILF thing going since you were abused by a drunk Auntie in 1996?",-0.6966,37
Demon Knight Dean plot twist its the same person,0.0,9
Demon Knight Dean wrong,-0.4767,4
DethstruXioN ™ ppl who have to hit their kids didnt do a great job of discipline in the first place. your logic is flawed. you probably just have little pieces of crap for offspring,-0.6839,36
Did she try to sit down in a human-sized chair?,0.0,11
Drone Strike and still fucking awesome :),0.8004,7
Dude where? She’s looks amazing.,0.5859,9
E Long Me too.,0.0,5
E Long well she doesn’t look it. She looks super healthy to me. When people lose weight in their face it makes them look so different.,0.7184,31
"Em, she's a comma chameleon.",0.0,7
Eric Ryan chama chama chama chama chama chama chameleon..,0.0,10
Exactly!,0.0,2
F A T F U C K,0.0,7
Fat,0.0,1
Funny? I must have missed it.,0.1779,8
Get DOSH and Get CASH back on every purchase you make:  https://link.dosh.cash/Wv5XAmF1VK,0.0,13
God no. KC is much smarter than that dumbass. She just needs a red pill.,-0.1779,18
God she’s fucking annoying,-0.2247,6
