,sentiment,wordCount
*I LOVE THIS SO MUCH*,0.6369,7
0:10 your voice is so cute,0.5949,6
2 videos in 2 days YAAAAAYYY 💖💖💖😍😍 🌟love youuuu,0.0,14
AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHHHHHHHHH OLHA ESSE FEAT,0.0,4
"Adore your videos as always, you seriously aren't getting the amount of views you deserve. I also wanted to ask how you grew full eyebrows, mine are quite thick and well I'd like them to be as full as yours, any tips you can give in a future vid?",0.7759,54
Ahhhh I love parking lots by plums!!! Also I love your videos 💕💕,0.8827,17
"Amazing vlog again!! Loving your vibes together, so positive!
We explored a imaginary beach in Portugal for our vlog 😁",0.9348,24
"Aww, thank you!!! 😍",0.5229,8
Beautiful!!!,0.6981,4
Congrats on the music video gig!! Can’t wait to see it,0.6103,15
Damon and Jo are cool peeps and the blog was awesome,0.7506,11
Diana Chamomile you two are my favorites!! 🌹,0.5242,10
Eeeeeeeeee I love Damon and Jo. I like seeing you guys together.,0.7717,14
Good luck with the upcoming music video shoot! Your content is awesome. LoVE YouR vLOgs. ♡♡♡,0.92,21
Gosh I love the music you use so much!,0.6696,10
Hahaha you found a funny looking thing and gave her to figure it out 😂😂😂,0.7579,17
Hahahahahahaha the butt vibration gave me a much needed laugh today!,0.5983,12
Heyy. What fonts do you usually use in your videos ??? I love it,0.6946,17
Hola a tod@s,0.0,4
How did I miss this??  Jo looks so good in that dress,0.5425,14
I LOVE YOU GUYS,0.6369,4
"I came  across from Damon & Jo, and I'm wondering where your channel has been  all my life... I'm a metalhead who dabbles into a lot of the _soft grunge_ and indie music scenes, and I love the vibes your channel exudes.",0.6369,47
"I can watch your videos forever, you film beautifully🦋🌟",0.0,12
"I do really want to see more vlogs, I love ur style! 🖤",0.7479,15
I like your vlogs so much :),0.6983,7
I looove your taste in music <3,0.4404,7
I love Damon and Jo!!! Their personalities are always so effervescent!!!!,0.7482,17
I love Plums!!!!!!,0.7482,6
I love the style of your vlogs! so pretty ^^,0.8627,12
"I love this collab, i love both of your channels",0.8555,11
I love your make up on this vid!,0.6696,9
I love your videos but i wish they were longer or had more footage from those days,0.7311,17
"I love your vlogs soooo..YES, I WANT TO SEE MORE VLOGS! ♥",0.7597,16
I love your vlogs they're so aesthetically pleasing 💞💞😍❤️,0.835,13
I really love your fashion!!♡ I like every outfit in this video,0.8214,15
I watched your video because of Damon and Jo. You are so CUTE! Wow just WOW:),0.8794,19
I would love to see your everyday hair routine!!!,0.7249,12
"If you're a vlogger and you need good music for your vlogs, you can get good beats for free on my Youtube channel.",0.8442,25
It's from Paloma wool,0.0,4
It's like those jeans were MADE for it,0.3612,8
"Jo is brazilian! I love her. You should visit Brazil someday, Madelyn ❤️",0.6696,17
LaMadelynn you would fit perfectly in http://girlsofebay.tumblr.com/,0.7717,7
LaMadelynn you're welcome love💟🌙,0.4588,6
Legendas em português pls,0.0772,4
