,sentiment,wordCount
"""Feels like it hurts"" 😂😂😂",-0.1531,9
"""hellp"" 2:59",0.0,4
#GGGGARBAGE,0.0,1
"'She is busy feeling herself,wait, WHAT!' Got love christine",0.7177,15
***keeps rewatching cuz title is just amaze*** 😂😂😂,0.0,16
**describes good nail polish** “And its not from wish” lordie,0.4404,16
*HOLLOW*,0.0,3
*holo*,0.0,3
13:23 those are literally the same brushes I buy for painting a canvas with. Those probably aren’t really made for nail art just marketed as. (But eh still works),0.0,35
13:37 when the cat sneezes I died of laughter 😂😂😂😂😂🦄,-0.1027,13
14kth and 1,0.0,3
1:33 lol👌🏽👌🏽🤣😂,0.0,8
2:52 “ is it a glass of taco... yes it is !!!! 😂,0.5951,16
6:29 “Wow” lmao you sounded exactly like Owen Wilson 🦑,0.7506,12
7:05 wall-e sister,0.0,3
7:10 you’re supposed to soak your foot in hot water first before using,0.0,15
7:17 😂💀,0.0,3
8:23 those aren't for that they are for fake nails those are for so if u wanna take off the fake nails u can easily peel them off,-0.5859,29
"Aliexpress it's a good option too, there are a loooot of things there",0.4404,14
All that stuff is like $1 each on AliExpress.,0.3612,11
Am I the only one who thought that my dance part was so funny I watched over and over again,0.5777,20
Anyone else get a wish commercial on this,0.4019,8
Are the nails supposed to be so yellow under the polish? 😯,0.0,13
Aw she cares for Ben!!,0.555,7
Bake that shit for a minute,-0.5574,6
BbEEeEnnnN omg,0.0,2
Beeeeeeeeeeen!! ahahaha,0.0,4
Believe it or not Born Pretty stamping plates are great! They are actually Born Pretty! And I got some nail art decals that work for a $1 more variety than Amazon :),0.6588,35
Ben got you some ven-*tea*,0.0,9
Beyyyynnn,0.0,1
But is'nt it people buy things then sell it on wish so the born pretty polish must be bought from the real born pretty store then the people resold it ( conspiracy theory),0.7373,34
Buy more stuff from wish please,0.6444,6
Can you tell us where you get your nail polishes,0.0,10
Can you watch my vids,0.0,5
Christine don't get mad when they say hollow it means empty inside not holographic !!! ♠️,0.4027,19
