,sentiment,wordCount
"""If he dies, he dies""
Ivan Drago",0.0,10
#RIPJoel,0.0,1
*(Passed away)* My condolences to family and friends.,0.4767,13
+Minh Hongoc 👍,0.0,4
"+lrd lrd
I have my own beliefs where sexuality is concerned. But now isn't the time to even think about that. A bright a beautiful young person is no longer among the living. We all lose something when such a life is wiped away. May his family find peace in the loving grace of our Heavenly Father.",0.9524,63
20 person,0.0,2
21 Gun Salute for Joel Taylor! 😔 #ForeverDominating!,-0.4559,10
2nd,0.0,1
4 th,0.0,2
5th,0.0,1
:( 😢😢😢😢😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,-0.4404,7
Addict,0.0,1
All the people hating on this great man probably never even knew him. He's in a better place now.,0.5719,21
Alot of People Die on Cruises!  Very Strange,-0.7419,9
And how is this of any importance?,0.3612,8
And whose fault is that?,-0.4019,6
Andrew E Mean but same,0.0,5
Andrew E well you cared enough to write a comment so,0.5994,11
Another one bites the Drugs Dust,0.0,6
Anthony I know right! Dumb bimbo,-0.5562,7
As a fellow storm chaser I'm saddened by his death. Rest in peace Joel. I know you'll be chasing with us in spirit this season and seasons to come,-0.4767,31
Aviation&Coasters 19 how the hell do christians know that there’s a heaven and everything good is there? It’s science. How is heaven even possible. DARKNESS IS CORRECT,0.2885,36
Awww r.i.p,0.0,6
Ayeee man I watched that show 😭😭😭😭😭,0.0,9
"Back when I was a kid, I saw my dad watching the discovery channel watching Mythbusters and storm chasers. I love the crossover the two had and I hope he may rest in peace and my condolences to the family",0.891,42
Bad things alway happen on these ships!,-0.5848,8
"Bailey Vlogs lol! ,",0.4753,5
Bailey Vlogs lol! Shut up whore,-0.4199,7
Bailey Vlogs lol! You pray to a god that doesn't exist you moron,0.845,14
Before 50 views,0.0,3
Btw he was on an Atlantis cruise (gay men and women),0.0,13
Chuck Keough agreed.,0.2732,4
DIEDDIEDDIEDDIEDDEADDEADDEADDIED...DEAD,0.0,3
Dam gonna be hard for reed and the rest of the crew,-0.1027,12
Damn Rip,-0.4019,2
"Darin Andersen Well said, but I still like alcohol and weed is harmless for adults.",0.743,17
Darin Andersen wow.. it hit home. I never thought of that. Thanks buddy.,0.4404,17
Dasher Gaming215800 *you're,0.0,5
Death by perversion. Happens to Democrats all the time.,-0.7351,11
"DemolitionSynergizer I may not believe in God, but that doesn't mean you have to be rude to someone grieving someone who probably inspired them. Learn to be more considerate of people's feelings before acting like a complete jackass.",-0.1822,41
DemolitionSynergizer what did I ever do to u??,0.0,10
"Didn't know it was a gay cruise, that makes sense now.",0.0,13
Don't do drugs,0.0,3
Don't play with drugs,-0.2584,4
Doubt he was on a gay cruise with his family.,-0.3612,11
Drug Overdose,0.0,2
"Drugs
is
always
the CULPRIT! ;-(",0.0,7
"Drugs ain't the problem, it's the damn cruise ships",-0.1134,10
Dumb ass,-0.7783,2
Dumbassssssssssssassssssssssssssssssssssssssssssssss,0.0,1
Evan Francis good thig he died,-0.1779,6
Evan Francis rip your moms pussy,0.0,6
First,0.0,1
"First the teletubbies guy, now this",0.0,7
"First 😊, then 💀, now👻.
He dead",-0.6486,11
FueledXploration how do you know have you died.,-0.5574,9
Gay cruise,0.0,2
Gone too soon,0.0,3
Good,0.4404,1
Goodbye Joel. The storm chasing community will never be the same without you.,0.0,15
Hahaha everyone on your ass 😂😂,0.0258,7
Han So  How do you know what lies after death? Have you died?,-0.8924,15
"Han So Christianity is a religion, definition of “religion” having certain *BELIEFS*",0.2732,17
He DIED just like everyone else one day,-0.4278,8
"He dun diddydiddy DIED.

....HE BE DEAD",-0.8851,8
He took GHB. The most dangerous drug. His friends failed to take him to the Ships hospital. A needless and stupid waste of a life.,-0.8687,29
He went belly up.....too soon?,0.0,8
He's cute I'm very sorry for anyone who suffered from his loss Love and hugs your way,0.6494,17
Heard he was in Puerto Rico to give testimony against Hitlery (just kidding).,0.0,16
How much wood can a wood chuck chuck if a drug addict dies and everyone cares?!,0.0,18
How sad Joel is gone...It is a disease (addiction).,-0.4767,14
How unfortunate R.I.P,-0.4588,7
I bet he had balls made of steel.,0.0,9
I cant believe he is gone. I remember watching him on storm chasers. Rest In Peace Joel.,0.5423,20
I don't believe that his death was from drugs he was probably murdered by someone,-0.8519,15
I hope you read this and be respectful to others. It’s their life and you should not be worrying about them unless you want to be worrying about them and be angry for no reason. Be happy and positive around your environment.,0.9016,47
I just went on the Harmony of the seas in December... RIP,0.4019,13
I legit looked up to him...,0.0,7
I loved that show 😰,0.5994,5
I loved the show as a kid. Rip ❤️,0.5994,11
I read some articles and they said GHB was found and he was at a party so I bet someone put it in his drink. So he was carried to his cabin and was announced dead. I’m very sad. He was my inspiration to love tornadoes and to chase them. He would never to drugs. He has kids and a wife. We will miss him!!❤️❤️❤️,0.38,81
"I think the show ""Storm Chasers"" is CURSED!  One of the stars of the show, Matt Hughes, at 30 years of age committed suicide when he and his wife were having trouble.  Then, Tim Samaras, his 24-year-old son, and Carl Young were killed when a tornado made a sudden change in direction and trapped them.  And now, Joel Taylor dies in an apparent overdose/deadly drug combination.  The people on the show obviously had a dangerous profession, but the body count is getting ridiculous.",-0.9117,101
I thought the ship crashed 😔,0.0,6
I will miss him. ;c,-0.1531,7
I will pray for him.😭,0.3182,7
If his image is based on being wholesome then yes it does effect the way certain demographics of his fans look at this,0.5859,23
"If people want to pray for the man let them it’s their part of life: praying for others. Don’t just try to go all dissing at them, I know what your trying to say but putting other religions down like that is not correct. I don’t force you to pray or believe in any god but know your environment and respect others dude. Let people live their lives how they want to.",0.9432,84
