,sentiment,wordCount
"""Seriously, it doesn't get much better than the spork, you guys should just quit now.""

""To the science speedster, Triangle Bob. I spent a lot of fake money on this, so please don't get this dirty.""",-0.3642,47
#lit,0.0,1
*I AGREE* =D,0.5106,5
*Maroon* *5*,0.0,6
*extinct,0.0,2
0:19 IT FUCKING SCARE ME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,-0.7979,8
"1. Man
2. Dolphin
3. Women",0.0,9
1:05 We doggos are pretty smart. How do you think I managed to create this YouTube account?,0.7906,19
1:37 Any indians remember any sorry about this from their childhiod?,-0.0772,12
1:51 japan!,0.0,3
"496, *666* views


Aaaaaaaah",0.0,7
"A Trex Is The Smartest  
DINOSAUR",0.6124,6
A cat is smarter than your mom,0.4588,7
A crow stole my lunch today by UNZIPPING my bag,0.0,10
A parrot,0.0,2
"All animals,I really want to know which one is the smartest!",0.7082,14
At 2:30 how does that woman breathe if her snorkel's in the water,0.0,13
BEAVER,0.0,1
BEAVERS ARE SO SMART!!!!!😄😄,0.0,9
Bears,0.0,1
Bini the Bunny it is not a bunny but I did subscribe,0.0,12
Block is the smartest!!,0.3987,6
Blocko and triangle bob,0.0,4
Blockos are the smartest animal,0.6124,5
Blokos are the smartest,0.6124,4
Budgies,0.0,1
Bunnies.... no doubt :),-0.1779,5
Can u guys do like one where u cover the smartest dinosaur or is that to much,0.7579,17
Casual understanding? Try again.,0.2023,6
Cats,0.0,1
Cats are the smartest at waking me up to feed them,0.6124,11
Cats are the smartest because they can: https://www.youtube.com/watch?v=J---aiyznGQ,0.6124,9
Cats!,0.0,2
Cephalopod intelligence maybe?,0.4767,4
Cephalopods,0.0,1
Clickbait? I don't belive I was given an actual answer obv humans are the smartest in the way we rate what smart is but this video seemed a half made,0.5187,31
Cool but vary shallow. Would like to see a longer video more in depth maybe twice as long,0.5994,19
Could ready enforce blue activity rebel justify shape matter free oversee,0.6486,11
Cover Octopi!! They’re super smart,0.8011,9
Cover orcas pleased,0.4404,3
Cro:ME ME🐥🐥🐥🐥,0.0,7
Crows ate smaryes,0.0,3
"Crows belong to the group of birds called corvids, which include, but not limited to, crows, ravens, parrots and jays, ALL of which have phenomenal powers of memory, tool use and associational awareness to name a few. One Canadian college professor and some students caught and tagged several crows around campus while wearing caveman masks and then released them and didn't wear the mask again until several (I believe it was eight) years later. One day he wore the same mask and just walked around campus, not harassing ANY crows. They, including several birds that hadn't even been born yet at the time, started immediately to call out warning/predator calls upon seeing the mask. Parrots have also been shown to have tool use and bluejays can remember where up to 70% of the acorns they buried for winter where located months later.Basically, most social animals have higher intelligence than solitary, similar animals do is what was found in these studies.",0.8727,182
Crows even made grave when some one their family die,-0.7579,10
DO CATS,0.0,2
Definitely cat! 🐱,0.4574,4
Do a giraffe next!!! :),0.5962,8
Do a video on octopi intelligence!,0.5255,7
Do killer whale please,-0.4588,4
