,sentiment,wordCount
"""But Hillary""",0.0,4
"""I've known some of the most successful people in the world and and they're some of the most miserable people in the world, also, right,"" You and your daddy's cronies need to  redefine successful grease ball. Use you're daddy as the poster boy.",0.6901,50
"""My name's DT Jr! I look like Butthead! Duh India! Duh I think India is an ""emerging"" country which means I don't have a clue about emerging countries at all! Huhhuhhuhhuh!""",0.5673,40
**This guy needs to be the poorest of the poor.**,-0.5423,15
"*_Having traveled many times to India myself I totally agree with Donald Jr. Trump's in his assessment of the spirit of India's poor and dispossessed... I've thought about it much, I once thought it was the influence of Buddhism, or maybe even Hinduism but finally came to the conclusion it is was what Alexander the Great said about India in 326BC... ""I have met my match, the spirit of the Indian people  have no parallel, tomorrow we return to Greece.""_*",0.7267,93
"+Chris Butler It's little surprising that you got confused by my comment. I meant that “street dentist” must be hired by him, no??*

Unless it's some [ill-]attempt at ""joke.""",-0.2151,44
"+Chris Butler K. So you meant poor people loose their teeths more often and that's why they need to visit “street dentists.”

Yeah, I looked-up. They're across the Indian subcontinent.",-0.5367,38
+Not Russian Propaganda Agent Posing as Trump Voter Delhi* It ain't a mustard-sauce. 😑,-0.25,17
"+fayekhelmi asd,fklhadsflgkfjsahdfgl",0.0,5
"....wow, SO SO SO SO SO Wrong.....the Trump regime is Pure Poison here....so Vile, Corrupt, Selfish and Evil.....",-0.8934,27
...Hired by him??*,0.0,7
1v1 me on Minecraft m8,0.34,5
"A A 

Satisfied elitist!  Just love my expensive condo and my chance to get favors from a traitor president thru his son.",0.8832,24
"A number of posters here manifest something that they imagine out of hate. Delusion is a bad condition. It leads to schizophrenia and insanity. Donald trump, Jr. is a good person. He has not done anything against anyone. He is a good son and a good citizen of the US.",-0.4404,58
AFCA 1900  he is saving the USA???? By investing in other countries so he can make money and what about ivanka is she opening a sweat shop in Kansas?????,0.0,35
"All I know BlueBell22, is that no Trump supporters could devise such a clever poem.  All they know how to yell is, as Roger Stoned notes, FAKE NEWS.  Which is basically saying to everyone else ""I know it's true, but I don't want to believe because I want to continue living in my little dream world a little longer.""",0.3022,69
And why do they smile? That's what most people do when they see a clown!,0.4199,17
Anna Marcalleti  you are disgusting!!!,-0.6458,8
Anna Marcalleti learn to spell before wishing people to take your trolling seriously,0.0516,13
Anti Pattern Trump's whole family is dumb,-0.6808,7
