,sentiment,wordCount
*G*,0.0,3
*H*,0.0,3
*I*,0.0,3
*L*,0.0,3
*M*,0.0,3
*R*,0.0,3
*Y*,0.0,3
0:31 she look so beautiful what is she name,0.7177,9
1000만 됫으면 좋켓다ㅜ,0.0,3
1:30 holy shit that killed me,-0.8442,6
1:31 와....아린이 넘나상큼한것!!😍 입덕해부러따...... 근데 파트가 왜이리 없죠ㅠㅠㅠㅜ,0.0,14
2:06 '상상해봐 유~엔~미' 할때 유아가 추는 '더듬이춤?'이 인상적이네요 ^^,0.0,20
4월 컴백! 미라클 다시 한번 기적을 씁시다!,0.0,9
5 million views!! thank you!! this is by far the one which has so much views in such a short timing! ~~,0.5673,28
5 million 🎉,0.0,3
"5,000,000👏👏👏👏👏👏👏",0.0,6
"5,245,053",0.0,3
"5,422,488",0.0,3
500만이닷!,0.0,2
53초 존못 뭐 저런애가 있냐,0.0,5
5M GO ~,0.0,3
5M VIEWS GOOD JOB GUYS LETS KEEP GOINGGG <33 MAYBE WE CAN GET IT TO 7.5M VIEWS AND 100K LIKES BEFORE THEIR NEXT COMEBACK IN APRIL?? :),0.8892,31
5M yeayy,0.0,2
5M 😍😍,0.0,3
5M!!!!!! 😭😭😭❤❤,0.0,9
5m congratulation my girls,0.5994,4
5백만뷰 돌파🎉,0.0,3
ARIN so cute,0.5095,3
Agddrhkkkswt i lovethis song,0.0,4
Ai việt nam giơ tay,0.0,5
Almost 5 million views!!!,0.0,7
Almost 5 million!!! 🎆😍,0.0,8
Atsu Shiganamoto her forehead is brighter than my future,0.3818,9
Awwww i love it 😙😙❤❤,0.6369,8
BAEKHYUN TZUYU Arin 😊,0.0,4
BAEKHYUN TZUYU you're welcome 😊,0.4588,5
Beautiful😍,0.0,2
Binnie is so beautiful❤️,0.0,6
Binnie's waist Did you forget O? I can't see it,-0.2263,11
Binnie's waist they only said April but I'm hoping it's towards the end of April twice and EXO cbx are having comebacks the same month and I think it was rumored they were in the beginning of the month,0.5719,39
CG개 오지는데,0.0,2
"Cmon people, give more likes to the video",0.4754,9
Congratulations 5M! Finally:),0.636,5
Cumulus Humilis please don't compare with any groups. Let's just worked hard for our girls.,0.2263,17
Don't know that girl group but I love that song haha sounds like old school kpop :),0.9587,17
Even my brain has goosebumps * - *,0.0,8
Every day  OhMyGirl♥,0.0,4
F I G H T I N G 💖,0.0,9
"Fact:oh my girl gonna comeback again on April, and secret garden still on the chart.",0.0,19
Fighting!,-0.4199,2
Girl-Group Utt Aaaaah ❤️❤️❤️❤️❤️,0.0,13
"Guys lets make it 10million views before
March ends 👊🏻👊🏻👊🏻❤️",0.0,17
HAPPY 5 MILLION VIEWS MIRACLE!!! 😍😍😍,0.8966,11
Happy 5M <333,0.5719,4
"Happy 5M views miracle. We r really hard work this year. Thank you Miracle, THANK YOU OH MY GIRL FOR THIS ERA❤️❤️❤️❤️❤️
. 
. 
. 
. 
*sorry for my bad english",0.9159,42
Hope we get 6 million before April begin💕💜💖💞,0.4404,12
Hyojung 💗,0.0,2
I JUST REALIZE THIS SONG HAVE SWEET LYRICS WHICH SUIT OMG.. I FEEL SO BAD LISTENING THIS WITHOUT KNOWING WHAT ITS MEANS ALL THIS WHILE,-0.2006,26
I found this group by liar liar yesterday. I think I‘m gonna stan <3,-0.5719,17
I just started stanning! <3,0.4926,6
I love mimi🎈😄,0.6369,5
"I love the fact that secret garden still on a chart as of now
March 02. 2018
Melon-68
Genie-44
Bugs-26
Naver-85
Soribada-63
Mnet-no-in 😢
(C)twitter @Sonemiracle",0.6369,40
I love this song sm,0.6369,5
I love this song so much!! Oh my girl!! <3,0.8507,14
I thought the main idea of lyric resembles one of apink!,0.0,12
I'm eargarsm ;((,0.0,4
"I'm going to stream this everyday until it surpasses 12M(Liar Liar's views) with everyone streaming along too... It might be hard and it won't happen soon enough, but atleast let's try and try and give these girls what they deserve, or maybe more.

Lol I love them so much I don't even know what I'm doing😂",0.9033,64
I'm not really a fan of them but WTH i don't understand why this song only have 5m+ views bcs it's so coooooolllllll,-0.8068,24
I'm so excited for thier next comeback😍,0.4005,8
I've been sleeping on angels,0.0,5
IT'S ABOUT TIME TO RELEASE THE DANCE PRACTICE VERSION !! 😩 WM PLEASEE I'M DESPERATE,-0.5599,16
