,sentiment,wordCount
"""I never stated or implied that this bill screws everyone else.""
Of course not, because that'd hurt your argument. The Republican Party's there to cut taxes for the 1% and offset that loss in revenue by cutting from the social safety net, which ultimately, will hurt a whole lot of people while only benefiting the 1%. I'm sure you know this - you just won't admit it because then you'd lose the argument and expose your hatred of the poor. I understand.",-0.9089,94
"""I'm a grad student that's currently freaking out about that a little bit.""
*Solution: simple tax: 10% of income, no deductions. Everyone writes off $30k.*
*Also, other types of taxes need to be illegal.*
*FYI vlogbrothers: 10% of $99999 is more tax money than 10% of $99.*
*FYI quoting absudities like ""flat tax human income is 50%"", when the effective tax rate is 0%-14% is why people distrust Marxists.*",-0.296,104
"""Nothing is black and white.""
*That's a black and white statement, then when frame as black and white things are so.*
""I'm so sick of simplistic, polarized crap""
*A 10% income tax, no deductions allowed and everyone writes off $30k. Solved simply.*",-0.787,59
"""People who don't make any money, like retirees or disabled people""? Hey, lots of disabled people have good jobs. My wife uses a wheelchair and is a well-paid reference librarian. Good looking out for people who can't work, but ""disabled people"" was maybe not the best way to say it.",-0.2268,61
"""Rich douche bags avoiding their taxes"" is the underlying reason, whether those dbags are meat or non-meat based. See: fall of Roman empire (aka less money, mo' problems)",-0.0772,37
"""The bill does lower tax rates while removing deductions.""
It doesn't lower taxes for everyone. The House and certainly the Senate version would raise taxes for some poor and middle class people. Just be honest. Admit it's a giveaway for the rich and nothing more. I just want honesty.",0.7674,57
"""disabled to work"" people not ""physically or mentally disabled"" people, stop being hypersensitive",-0.296,18
"""that's not what we're here for!""  lmao",0.636,10
"""we do not have the second highest tax rate in the world.""
*The USA has the largest tax rate several times over. The US government  operational expense was $7 trillion in 2017. The US electronically printed $27 Trillion in 2016, taking that wealth from everything bought with dollars. Each tax payer owes $902,504 in unfunded liabilities.*
*The USA's total production is only $19 trillion in 2016.*
*Feel free to show ANY nation with less government than the USA. ROTFL at you.*",0.8964,102
#soyboy .,0.0,2
"*Hank humble bragging and virtue signaling.*

I would expect a more objective analysis from the creator of SciShow on how an economy actually works, rather than an ideologically biased, snapshot view of sections of the economy neglecting a multitude of interconnected factors.",-0.25,48
"*sings* “Rich douchbags, avoiding their taxes!  So we’ve got to make a lot of rules to keep them paying their taxes!” 🎶",-0.4559,31
"1:34 ""laughs in danish""",0.4939,6
"3:40, the exception to this is car insurance! I had a car totaled a month ago... Insurance paid me more than I paid for the car and it’s taxes,Insurance, and tag all combined. (Zero clue how I got that lucky...) and it was all nontaxable income according to the laws over the transaction.",0.0,66
5:10,0.0,1
">implying disabled people don't make money

funny, since i have spina bifida and yet literally just acquired a job 3 weeks ago (granted, my first job in 3 years so, yeah okay, fair... TO A DEGREE)",0.3896,44
"A flat tax is really the best option in my opinion. You shouldn't have to pay more just because you make more. If everybody pays 15%, then the rich payvmore, but not more percentage. Why would I want to be rich if I had to pay half of my money to the government?  Taxes should be easy enough you can do them on a postcard by yourself, not needing professional help.",0.9177,80
"Ah yes, so an inaccurate line in a song means all Americans are sheep. Ok 👍",0.5994,18
Also if they were simple companies like H&R block wouldn't have much of a reason to exist.,-0.1027,20
"Also, the entire need to file your taxes is redundant and stupid. Tax prep companies spend billions to make even more billions filling our your forms that the IRS already has filled out (because your employers have to file those W-2's as well).  The average people that just work a job and don't own a business should never have to pay a penny to file taxes, because everyone already has the information involved and someone just has to be told how much to cut a check for, usually from the government.  The rest of the people have accountants to tally up the deductions, withholdings and the like, and don't really need H&R Block and such.  So, once again, those with less are propping up those with more because we have less voice to be heard with.",-0.7066,156
And how is this trending,0.0,5
And that's not even getting into state taxes vs federal taxes because STATES!  And the cash flow back and forth between both because de-centralized government!  And that that laws between states can be different and the laws between your state and the federal laws sometimes are really weird because 'MURICA.,-0.3771,54
"And yeah, the most frustrating thing with taxes is how we're all encouraged to think about ""benefit scroungers"" as the crappy people, but it's actually the richest people and corporations using tax havens who are, while doing nothing illegal, still doing something highly unethical and much more detrimental to their country than a few hungry people lying about income so that they don't starve.",0.2638,71
"Anyone notice how Hank says that “everyone in the world” has to deal with the consequences of one guy avoiding his taxes, but it should be just the “everyone in the U.S.”
Oh us Americans and our bias...",-0.1779,47
"Are all liberals mentally ill, this is a serious question, this is a 40 year old man acting like that.",-0.1531,23
"As a current graduate student, I have nothing against the tax plan. It's my choice to be here and I don't expect a tax break. Nothing is free.  People are getting hysterical over a minor thing.  If this tax really affects you so much, maybe it's time to reconsider some of the choices you've made. 👍 responsibility",0.4939,64
"As a poor graduate student facing potentially significant financial hardship if that provision of the tax bill goes though, I would love it if you could address this (and other aspects of the bills) in depth.

PLEASE CONTACT YOUR CONGRESSMEN TO PROTEST THESE PROVISIONS.",0.2263,49
"As a soon to be grad student, this new tax bill terrifies me.",-0.5574,15
"As always, keep making those vegan and capital gains.",0.34,11
Because everything else is complicated too so why not.,0.0,10
Because fucking over the poor is something that needs alot of thought put into it.,-0.5209,16
Brilliant. Made it fun to learn about taxes. And I get it now.,0.7964,16
"But then you create a problem where so many people don't pay taxes because they don't make enough money, and so they see no downside in increases taxes, how do you solve that problem ?",-0.6876,37
"But why doesn't the IRS calculate our taxes for us and send us an itemized bill?  They have access to all the information and they have to do the math anyway.  Instead of the IRS checking our math, why don't they send us a bill and we check theirs?",0.0,53
"Can someone turn the ""Rich Doucebags"" thing into a gif?",0.5574,13
"Can we legitimately have US Tax law as a musical? I’m in Australia, so it doesn’t affect me directly, but it is exceptionally entertaining",0.6474,31
Can you do a video about student loans?? Or if it exists link that shiz,0.0,17
"Charles Darwin Dems don’t just want to raise taxes, and raising taxes=\=making them complicated. They’re complicated because corporations lobbied congressmen to make them that way in order to exploit loopholes.",-0.0258,40
Charles Darwin I’m asking the same thing. How the hell are you old enough to make a YouTube account but ignorant enough to have a minimal understanding of politics?,-0.6652,33
Check my tax refund back up plan>>>https://soundcloud.com/private-associate-group,0.0,11
"Cole Train Ignorance isn't free either. It is very costly. So is waste of human potential. Maybe you don't need the tax break, (or don't know that you do, yet) but some people do. And as a person who doesn't want to live in a country full of idiots, I will always support helping students.",0.2571,65
Colin Hobbs Or would force them to work harder or turn to charitable organizations that already currently exist. Next question?,0.4019,22
"Colin Hobbs With people having dramatically more money in their pocket it will create more opportunity for investment and expansion for not only businesses, but individuals looking to start a business. There's your jobs. As far as poor people, many ""poor people"" take government handouts when they don't really need them. I have qualified for welfare and food stamps multiply times in my life and did not take them out of pride, I survived. I also didn't say to cut all government spending, just dramatically cut a lot of it.",0.6472,101
Current Mood: Sliding down a twirly chair in utter annoyance with the current state of the government.,-0.3182,19
Dai Qibao [Citation Needed],0.0,6
Does everyone in your family talks in 2x speed?,0.0,10
Does this mean John has a punishment for missing a video? :O,-0.7603,14
Don't worry guys Trump will be simplifying the tax code it's not going to be complicated anymore,0.3412,17
Educational Videos are exempt from the limits.   Please subscribed to my youtube channel,0.4019,14
Even if you sing it was not make it less not fun.. hahaha,-0.394,14
Even just the little snippets were so catchy,0.0,8
False? Haha you're funny.,0.7096,6
Feel better John!,0.4926,4
"Form of slavery, let's have a tax of 100% and have the government just pay for living and house. Work should be voluntey not forced like slavery that people only just can afford to live by working.",-0.8917,41
GO TRUMP,0.0,2
"Get well soon, John! ....For your punishment... video... Does he get a punishment?

Also this may be the simplest explanation of taxes in America including the other ones you guys have come out with so thanks.",0.4466,43
Go to my channel to see me fighting my carpet in an epic battle! NOT CLICKBAIT,-0.6588,17
Great video! Loved it! But......... can you bring back cereal time? I really miss it. Thank you! Also I'm just going to keep commenting this on every video you guys upload from now on so for me to keep track I'm going to put a number at the end this is my second time commenting this request and thus (2),0.9011,68
Hank I just want to watch you jam on the guitar for like 10 minutes.,0.4215,16
Hank is the best person,0.6369,5
"Hank says: ""Everybody in the world."" @5:53, when he really means *The United States of America.* And if that doesn't prove that manifest destiny is a cult, and all Americans are indoctrinated via the public education system, I don't know what does.",0.3947,55
Hank sounded Italian on some of his songs here.,0.0,10
"Hank!  What do you think of the ""bad boss tax""?  Basically, if a large corporation, like Walmart for example, can afford to pay employees a living wage but choose not to, and as a result have employees on foodstamps or other forms of welfare, that company would then be liable for a tax to counteract the money the gov/taxpayers spend on subsidising the underpaid employees.",-0.2481,77
Hank! That was awesome man!,0.6892,7
"Hank, How about a VAT?",0.0,7
"Hank, are you being disingenuous or can you really not see any argument for lower corporate tax rates? You painted it as just rich corporation owners stuffing their pockets with extra revenue they get to keep as an outcome of lower taxes when in reality the overwhelming majority of that money is reinvested into the company to grow and expand it. If we were to take an extreme for instance, to paint this example, and tax corporations at 90% that wouldn't just mean that the corporation owner makes less money, it means the corporation is basically unable to grow any larger (and most likely will go out of business). You need capital to grow a company, and the government taking all your capital from a private company, that is forced by market demand to stay efficient or otherwise go out of business, and reinvesting it in what's often very inefficient government programs doesn't seem like a productive distribution of resources.",0.2023,174
"Hank, can you make a video talking about what they are trying to/have just done in Congress?",0.0,21
"Hank, could you do an analysis of the U.S. tax code?",0.0,16
"Hank, thank you for mentioning the grad school income tax! If people could call their senators to tell them to reject the House bill, it would keep me and the rest of the Engineering PhD workforce from moving to Europe or Asia! Also, SAVE US HANK",0.6505,51
"Hank, thank you very much for clarifying at 3:25. When you said people made money from selling stalks, I was a little confused at first. 😉",0.1263,30
"Hank, you made a mistake in your understanding of corporate taxes.  C-Corp profits do not flow through.  If you wish to withdraw money from a C-Corp you pay taxes on that dividend.  Currently, C-Corps are double taxed whereas LLC's, proprietorships, etc. only pay taxes on income once (at the individual level).  That's why Republicans want a lower tax rate.  It isn't a tax shelter.",0.128,77
Hank. I love you,0.6369,5
"Hank: When you mention excess money a corporation has being taxed as if it were income, you left something out.  It does get taxed as income while its in the hands of the corporation, then it is taxed AGAIN, also as income, when it is written out as a paycheck to an employee (even if that employee is the CEO/owner, and even if that CEO/owner is the sole employee), so it gets taxed twice.  Many corporations get around this by giving out their extra profits at the end of the year as dividends to their share holders, so it avoids the end-of-year income tax AND the payroll tax, because it is classified as capitol gains and taxed at a flat 15%.  When you hear of things like Warren Buffet paying less taxes than his secretary, this is why.  Most CEOs and high ups in large companies receive the bulk of their yearly income as dividends.  Obviously you had to simplify a lot of things otherwise this video would be hours long, but, that happens to be one I'm aware of.",0.6382,205
"Heard about you guys from The Hilarious World of Depression.  Glad I heard your story, glad to subscribe here - keep up the good fight!",0.68,28
"Help me get Hank to come back to his alma mater and speak at Graduation! 🎓 
https://www.change.org/p/ecosvpaa-eckerd-edu-commencement-speaker-2019?recruiter=724934330&utm_source=share_petition&utm_medium=copylink&utm_campaign=share_petition&utm_term=psf_combo_share_initial.combo_new_control_progress_110217winners",0.4574,18
"Hey buddy, how about we cut government spending dramatically? There's a concept.",-0.2732,15
"Hey guys, just wondering, are educational videos exempt from the time limit? ;)",0.3182,16
Hi Hank and fellow nerd fighters!! I started an Instagram with pictures of my cat peachesthecat5897. Please check it out for adorable and funny pictures! I would be so honored! Thanks 😊,0.9452,38
