,sentiment,wordCount
*Wink WInk Wink*,0.0,5
00:57 bassssssssssssss,0.0,2
0:16,0.0,1
0:27,0.0,1
1 song that's lit,0.0,4
1.25 speed,0.0,2
1.25 speed🤘🔥😈,0.0,5
1.5x speed does wonders haha,0.4588,6
1:02 is the best part,0.6369,5
1:57 had me lit,0.0,4
1:57 this is where you're able to multitask HARD AS FUCK,-0.7481,11
2:06 your welcome,0.4588,3
2:33 my fav part at the end,0.4588,7
Anyone notice that the sign lights up when you move your mouse over the video. Thought that was pretty clever.,0.7351,22
Anyone want stir fry,0.0772,4
Approved!,0.4753,2
Ay Ay!,0.0,3
Bro i love the beat sounds like a parrot,0.7717,9
"Bruh, Pharrell is a GOD for this production......",0.4278,10
"Cant wait for the tour i'm gonna meet the migos on March 14,16,31 April 28 May 1,3 and 18 sorry cant be there for the 19",-0.0772,28
Cook it up!,0.0,4
Copy catter,0.0,2
Curry chicken,0.0,2
Daamn this shit is dope as fuck 🔥🔥🔥 Train hard and party hard on it ! 💪🏼🍀🍀🔥🔊🎶🎵,-0.7574,26
Dance with my dog in the night time,0.0,8
Dance with my dog in the night time Trap nigga with them chicken like popeye's.,0.0516,16
"Dance with my dog,s in the night time",0.0,10
"Dance with my dogs in the night time 


That's what I would do",0.0,13
Dance with my dogs in the night time!,0.0,9
Dance with my dogs in the nighttime,0.0,7
Definition of this young blood music. Hot trash they sound like a broken recording repeating themselves like that 😂,0.2263,20
Didn't really like this song till I heard it at the strip club lmao. thanks to my girl Karma I now love this song ;) can still see her throwin that ass around to this song love you Karma <3,0.9346,41
Don't like the mingos but this track is dope with the Great production,0.7265,13
Every morning this is how I wake up,0.0,8
FUCKING LIT,0.0,2
Fav,0.4588,1
Finally a song that's not about drugs! Love it!,-0.6062,11
Fuck bro ti your version is 20 times better.,-0.1531,10
Fvkn hate rap now wtf is this shit foh,-0.9022,9
GET IT TAKE OFF 🤣🤣🤣🤣,0.0,7
Ganstas don't dance. We boogie!,0.0,7
Get you some quavo you so damn fine you could get this like its twisted. Like stir fry,0.4519,19
Got some go-go flavor.... DC,0.0,6
Gotta big onion booty make da world cry,-0.4767,8
Hi,0.0,1
I  LOVE it  SO much,0.7125,5
I LOVEEEE THISS SONGGGG !!!! Offset part though,0.0,10
I WANNA PLAY THIS IN A CHINESE RESTAURANT KITCHEN .I'D HAVE THAT BIH LIT,0.34,15
I actually want to stir fires now.lol,0.0772,7
I can hear fabolous and jada over this.,0.0,9
"I dont usually listen to this shit...

I turned on the radio for 15 minutes and heard this song, Miguel Skywalker, G -easy and Halsey Him and I, and these songs got so stuck in my head its not even funny...im not a "" fan "" yet but they're doing something right if you hear it once and can't get it out of your head. This is barley rap though, but it is catchy. At least Geasy had what you could call a verse",-0.0872,94
I feel like i know this song before it sounds like an other song what was it again,0.6124,18
I legit flip burgers for a living 40 hours a week and this has become my anthem,0.0,17
I like migos  song,0.3612,4
I love dicjk,0.6369,3
I love this shit,0.1531,4
I love this song,0.6369,4
I love this song ❤,0.6369,5
I love this song 💯🔥😍✌🏽,0.6369,9
"I showed this to my ramen...


Now it’s stir fry",0.0,13
I wasn’t feeling this song at first. Now is 🔥!,0.2003,14
I'm feeling like some wonton soup rite Now,0.4588,8
I've only come here to say the migos are trash jeez man,0.0,12
If u ever break the replay button I got u go to 0:00,0.0,13
Ik right this song is the best dude,0.6369,8
In my gym class at school they play this song like all the time lol and at my school they only play rap lmao,0.9186,24
In the kitchen wrist twisting like its stir fry🔥🔥,0.3612,11
"Introducing the new member of Migos.......


*Takeout.*",0.0,11
I’m a Jamaican,0.0,5
I’m eating stir fry,0.0,6
Just str,0.0,2
Karaoke music they smart some shit I would pull easy hook and easy to remember when they drunk,0.3612,18
L I T 🔥 🔥  💵 💵 💲 💲,0.0,9
Like it's stir fry 💯💯,0.3612,6
Listen to this while cleaning your house it actually makes it fun 😂,0.5106,13
Listen to whole song in 2x speed,0.0,7
Littt🤟🤟🤟🤟,0.0,4
Love it,0.6369,2
MIGOS THE BEST HIP HOP OF THE WORLD ...,0.7125,9
Man this song has really grown on me,0.0,8
Migos always Lit 🤘🤘🤘👍,0.0,7
Migos and offset look clean they trying to make that bread you feel🎤💰💸💰💰💸💸,0.4019,20
Migos are ninjas,0.0,3
Moosey Productions in a problem with it,-0.4019,7
My aunt and I dance to this song,0.0,8
"My black friends listen to this shit on the bus




Here I am now",-0.2846,14
My favorite song,0.4588,3
OOF,0.0,1
Offsect is lit,0.0,3
Offset,0.0,1
Offset had the best verse.,0.6369,6
Offset the worst migo,-0.6249,4
"Pharell Williams is the GOAT producer. The amount of hits this guy has produced is insane. From Grindin', what happened to that boy, Hollaback Girl, Drop it like its Hot, Milkshake, Southern Hospitality, Hot in Herre, Lookin' at me, Rock Your Body, Alright, Can I Have it like that, Havana, and now Stir Fry.",0.296,71
Pharell made this beat,0.0,4
Pharrell is a talented man.,0.5106,6
Popeye,0.0,1
QUAVO😍😍😍😍😍😍😍,0.0,4
Quavo is dope in this song,0.0,6
Quavo went in real talk 🔥🔥,0.0,7
SATURDAY MORNING CLEAN YOUR HOUSE MUSIC.LOL,0.4019,6
STIR[,0.0,2
Search Black Denero -Ain’t tryna do much (great weed song) you can thank me later...,0.3612,21
Should've came out in Halloween!,0.0,6
Showed this to my dollar now I got 100 racks,0.0,10
So catchy lmao,0.6344,3
Sounds like T.I shit to me,-0.2732,8
"Stir Fry

Migos

Woo, woo, woo, woo
Woo, woo, woo, woo

Dance with my dogs in the nighttime (wroof)
Trap nigga with the chickens like Popeye's (Popeye's)
Money changin' colors like tie-dye (tie-dye)
I'm just tryna get it, I ain't tryna die (whoa)
She got a big ol' onion booty, make the world cry (cry)
In the kitchen, wrist twistin' like a stir fry (whip it)
Hold them bands down (hey)
Hold your mans down (hey)
Who told you come around? (who?)
This that trap sound (trap)
Designer clothes (clothes), fashion shows (shows)
Trap, house (house), made of gold (gold)
Control the bag now (control it)
No need to brag now (no need)
Ayy, put the mask down (mask)
We livin' fast now (fast)
Finest hoes (finest), wrist froze (froze)
We can go (we can), coast to coast (coast)

Watchin' me whip up, still be real and famous
Dance with my dogs in the nighttime (yeah, woo, woo, woo, roof)
In the kitchen, wrist twistin' like a stir fry (whip it)
In the kitchen, wrist twistin' like a stir fry (whip it)
In the kitchen, wrist twistin' like a stir fry (whip it)
In the kitchen, wrist twistin' like a stir fry (whip it) (Offset)

Gon' whip it, intermission, let the birds fly (brrr)
I get money, tunnel vision through my third eye (money)
In that skillet, watch me flip it like it's Five Guys (flip it)
Look at my pilgrim, check out the ceiling, look at the blue sky (skrrt)
Icy Patek, check, yeah, boogers, they sit on my neck (ice)
I don't regret shit, yeah, I'm petty and I don't got a debt
You crawl 'fore you walk, you can ball every week
For my dogs 'hind the wall, we gon' ball when you free (ball)
Stop watchin' me, democracy, you wanna copy me (you watchin')
Life's Monopoly, go cop me some land and some property (property)
AP, Rolls, pink diamonds, whoa
Whip up the soda, diamonds off the Royce (hey)

Keep watchin' me whip up, still be real and famous
Dance with my dogs in the night time, yeah (wroof)
In the kitchen, wrist twistin' like a stir fry (whip it)
In the kitchen, wrist twistin' like a stir fry (whip it)
In the kitchen, wrist twistin' like a stir fry (whip it)
In the kitchen, wrist twistin' like a stir fry (wroof)
In the kitchen, wrist twistin' like a stir fry (whip it)
In the kitchen, wrist twistin' like a stir fry (whip it)
In the kitchen, wrist twistin' like a stir fry (whip it)
In the kitchen, wrist twistin' like a stir fry (whip it)

In the kitchen, curry chicken, call it stir fry
Takeoff, I'm the bird keeper, let the birds fly
Why's tryna take my prize?
You a dead guy
Of course, I gotta keep watch out through my bird eye
No casket, drop dead fresh and I got dead guys
Don't discriminate, ball players come in all sizes
Finger roll, post move or the pick and roll
They mad the way we win, they think we used a cheat code
Why you keep lookin' at me?
I feel like niggas got static
It must be the Patek, pockets blue cheese, I'm in the kitchen

In the kitchen, wrist twistin' like a stir fry (whip it)
In the kitchen, wrist twistin' like a stir fry (whip it)
In the kitchen, wrist twistin' like a stir fry (whip it)
In the kitchen, wrist twistin' like a stir fry (whip it)
Keep watchin' me whip up, still be real and famous
Dance with my dogs in the night time yeah (wroof)
In the kitchen, wrist twistin' like a stir fry (whip it)
In the kitchen, wrist twistin' like a stir fry (whip it)
In the kitchen, wrist twistin' like a stir fry (whip it)
In the kitchen, wrist twistin' like a stir fry (wroof)

Copied and pasted from Google 
Your welcome yeet",0.9977,880
Stir Fry😛,0.0,3
Stir fri I am stuck on this,-0.25,7
Stir fry,0.0,2
Stri fry stri fry,0.0,4
