,sentiment,wordCount
"""Clippit?!"" NO!!! The timeline has changed!!! What happened to Clippy?!",-0.6663,22
"""Collapsing in a pile of darkness"" 

You okay bro?",-0.3182,12
"""Divorce"" at 9:18 tho",0.0,6
"""JUST DO IT!!!"" Shia Labeuf",0.0,10
"""dogs don't talk like that""

sounds reasonable enough to me",-0.2755,12
$99 in 1995. That's $165 today.,0.0,10
+1 for Scuzz!  [Ko],0.0,8
...but can it run Doom?,-0.4019,7
2000th Like!,0.4199,3
4:40 my birthday,0.0,3
69 Fart Street,0.0,3
69 fart street,0.0,3
69 fart street X3,0.0,4
69 fart street.,0.0,4
"6:41
""How do i rotate text in Microsoft Bob""",0.0,11
8:01 A speaker?.... Hmmm where have i seen that before?,0.0,14
"A few of my work buddies installed Bob on a windows XP machine at work about ten years ago... They even made it the default shell. I don't remember it crashing like you explain and I think it was on that computer for a quite a while. So maybe the crashes really have something to do with the platform you had it on.

Extra oddities: While some of the assistants were the same on office 97, graphically office 2000 or 2003 versions of them looked more like the ones in Bob.",0.8091,98
"AAHHHHH
collapsing in a pile of darkness",-0.4939,7
"Actually, it doesn't sound like such a bad thing to use daily. It may not have been able to reach an adult audience because they thought it was more of a kid's application, but it's apparent that Microsoft put a lot of effort into this. It's a cool concept, but it just wasn't done well enough.",-0.2561,62
"Actually, upon finishing the video, I'm fairly certain it was preloaded on my family's first Windows 95 PC. Either way, I really enjoyed tooling around with it as a kid",0.6901,34
Am I the only one who does not mind Comic Sans when in the right context? And Clippy is a fond memory from my childhood...,0.4404,27
Anarchy Arcade is pretty much the modernized version of Bob (and definitely a little better).,0.7096,18
"And 2017, they came up with windows mixed reality home and that is wonderful.",0.5719,16
"And I love how they consistently misuse controls :
-Checkboxes instead of radio buttons.
-Radio buttons instead of action buttons.
-Modal dialogs instead of balloon help.
All bells and whistles, with no thought on actual usability or functionality.",0.6908,46
"And now, a Windows 3.1 Program Manager replacement that has the fury of it's own momentum. May steal all your creamed corn and pin the murders of local prom queens on the user.",-0.8979,36
"And thanks to Bob, then, we got a character on Undertale.",0.4404,14
Any chance on doin Kids Desk for MacOS?,0.25,9
"Any chance you'll make a video about the the Microsoft programs featuring McZee, like Fine Artist, Creative Writer, and 3D Movie Maker?",0.802,26
Apparently Packard Bell saw something good about Bob since they based their Navigator UX to mimic it until the year 2001,0.4404,21
As a kid I always loved when Clippy and this cat showed up,0.5994,13
