,sentiment,wordCount
"""Laserdisc won the format wars because DVDs replaced VHS"" -- That's retarded. DVDs aren't Laserdiscs!",-0.5983,20
"""My name is Digital Video Disc, you killed my father, prepare to die.""",-0.6705,18
"*Watches LTT video* ""BUY TUNNELBEAR RIGHT F*CKING NOW""
*Watches TIFO video* ""NO REALLY, BUY IT F*CKING NOW""",-0.4466,30
"0:05 disc, not disk. :)",-0.357,7
"11:06 What is ""laser vhs""? I can't find anything on it.",0.0,15
11:07 Laser VHS players? How'd that work on magnetic tapes?,0.0,12
"2:14
Braunmühl not Brühnmaul",0.0,4
"3:54  ""One listen, and Cosby was sold.""  (Bing... Cosby?)  :-D",0.6166,18
"6 seconds in. It's spelled ""Laserdisc"".. 🤦‍♂️",0.0,14
"A 14 minute video called ""How LaserDisc Ultimately Won the Format Wars"" that explains everything about LaserDisc except for HOW THEY WON THE FORMAT WARS",0.0516,27
A small error .. the LASER was invented as a practical device in 1960 .. not in 1958 ... although Albert Einstein did the theoretical work for it ... https://en.wikipedia.org/wiki/Laser ... [I studied this theory as part of a course I did in Quantum Statistical Mechanics ...]...,-0.4019,50
"ALSO, how the fuck do you read magnetic media with lasers?",-0.5423,13
"Ah if you take advice from any celebrity about what video format to buy, you should naturally listen to Rae Charles.",0.0,23
Also bizarre is that MiniDisc players were produced all the way up to 2013 despite near zero adoption outside of Japan.,-0.3182,22
Am i being  crazy or did we also have to flip a vhs?,-0.34,14
And now the optical disk is losing to web streaming and file download.,-0.3818,14
And now we have optical tape that can store over a gigabyte of data per inch.,0.0,17
"And now we're using little memory cards and USB thumbdrives.
Well... I am anyway. I'm honestly confused by disc formats' continued relevance. 


Ummm... what's there to stop tunnel bear from selling your info to the companies you're trying to hide from? It just seems like an extra step. I guess changing one's browsing location is neat.",0.5106,65
And you can get the unmolested Star Wars original trilogy on laser disc.,-0.3182,14
Anybody that likes laserdiscs should really check out a guy on YouTube called Culture Dog. Sam's channel is a real hidden gem on this site!,0.4753,27
Anytime there's a format Wars the porn industry will decide who's going to win,0.0516,14
Are you wearing Howard Moon's elbow patches?!,0.0,9
"As a kid I remember my cousins had a laserdisc player with one disc and we were never allowed to watch it. It wasn't even connected to the TV, the player was in a cabinet gathering dust. Good investment.",0.4404,43
"At the time, those laser disc players were the best thing on the market... Expensive as hell too.",-0.1027,21
"Back in the late 1990's I had a ATI TV Wonder card where I could record television shows and movies on my hard drive.
I also had one of the early CD-R drives so I burned my own CD's and could make Video CD's of these TV shows and movies.
Video CD's of course held much less data than DVD's so I have to put the recorded movies on several Video CD's.
Also I usually chose to record in lower resolution as a compromise so it wouldn't take too many Video CD's though it had to be adequately enjoyable watching it.",0.0772,107
"Before I watched the video, I thought it would be about how DiscoVision/Laserdisc won the war against RCA/Selectavision’s CED player, ended up being no mention to CED and instead how Laserdisc was the third wheel between VHS and Betamax",-0.34,47
Bonus Fact: The title is click bait. LaserDisc did not ultimately win the format wars.,-0.4891,18
Bonus fact: Blu-ray won the HD format war because the porn industry chose it. When a multi billion dollar industry chooses something it tends to win.,0.7964,29
But can I buy drugs with tunnelbear?,0.0,8
But what about CED?,0.0,5
"But your service provider can see everything... People. THERE US NO SUCH THING AS ""ANONYMOUS"" BROWSING...",-0.4466,21
Can you guys talk about how all the bees in England died in WWI?,-0.5574,15
Clickbait,0.0,1
Curtain embrace prison bridge tomorrow African recently insect.,-0.25,9
"Damn, I had this video playing in the background, to listen, while doing other things on my other screen, but I kept being distracted by how crisp and fast it was. 60FPS really is quite, different.",-0.5499,43
"Dear Simon,
I find your videos fascinating and entertaining. I am a native English speaker and a graduate student in Italian literature and culture in the United States. Over the years, I have noticed that I do not always remember in which language a given conversation has taken place and have several polyglot friends who experience the same phenomenon. I was hoping you could do a video on why we don't necessarily remember the language of a conversation while still remembering the content of said conversation.
Yours,
Laura Martell",0.9493,96
Did you get all of this information from Techmoan? Better cite him.,0.4404,14
"Does Black pepper make you sneeze and if not, where did that originate from?",0.0,16
"Er.... admittedly I know nothing about technology but don't you think VHS was preferred to LaserDisce because... it could RECORD video????????? What a wast of human life, this clip.",0.0,36
Frikken lasers!,0.0,3
Glad to see you are a fan of adding bass to your voice but damn bro.  Your voice got more bass attached than p-diddys latest album.  I have to turn my bass down just to make your words coherent.,-0.2263,42
"Goddamn that clickbait. Just be truthful and say ""How we lie like motherfuckers to get you assholes to click on our videos."" Going off the logic presented, we should just say how nothing ultimately won the format wars* *because entropy will cause the universe to ultimately degenerate into a sparse cold soup of elementary particles.",-0.6595,63
Going to give you credit for your TunnelBear plug. Way better than most cheesy ones but other YouTubers do,0.4118,20
"Great and informative video! .. Also just a note on the paid advertising in it, i think having it short and sweet like you've done in this video is a much better option than the lengthy promotions in previous videos, helps prevent viewer distraction in most cases. =)",0.9466,52
Great info. I would add a footnote that the US Army used magnetic audio media in WWII using wire instead of tape.,0.6249,24
"Great promotional transition @ 13:10! 

The record ability was a major issue for LD!  Someone mentioned porn, but sports and music events also played heavily for 80s videophiles!",0.8007,32
"Gregg sold his patents to MCA? I knew Adam Yauch was a Renaissance man, but that takes it to a whole 'nother level.",0.0,27
He's way off on prices of the machines and discs. There was also prior to laserdisc ones that used a needle to play movies. Laserdisc never won any format war. It was a niche market in North America. The players and movies were extremely expensive. DVD landed in every household once the players and discs became affordable. The main benefit of Laserdisc next to a superior picture quality was all the supplementary information you could get in special editions and letterboxed aspect ratios. Later on VHS offered the proper aspect ratios. DVD offered the supplementary materials and there was no reason to hold onto Laserdisc because picture quality was slightly better and no need to flip the disc sealed It's fate. It did linger for quite some time afterward in Japan though.,0.4421,142
"Here for the way Simon says ""YouChube.""",0.0,10
Hey VSauce!! Michael here,0.0,6
"Hey, I got a topic for you:  Why are magnetic disks disKs but optical ones are disCs?",0.0,20
How click baity of a title can you make ;-),0.25,10
How did the French decide where to incarcerate Napoleon and exactly how much security they would need?,0.34,18
How is Tunnel Bear different from using Tor Network?,0.0,10
"I am a huge fan of the way in which you present content. Your choices of content are usually at least somewhat intriguing by themselves, but would not garner nearly as much attention if they were not presented they that Simon does.

Simon just has this morgan-freeman like magnetism that makes everything he says interesting. I am always so excited when a new TIFO comes out.",0.9228,71
"I can sit on the couch and click a 8 minute Today I Found Out video and watch 6 hours of its videos. Bringing professionalism into the YouTube game. Many thanks, senpai",0.4404,35
I clicked on this video and I thought it was vsause I'm like wtf this isn't him,-0.3182,17
"I don't usually watch the subtitles, but I had them on here because I'd just come from another video where it was necessary.
Why does it look like the subtitles were for an earlier version of the script?",0.5023,41
I feel young. I never heard of LaserDisc.... But I have heard of BetaMax... probably all those spy-thrillers I watch on Netflix...,0.0,26
