,sentiment,wordCount
"""Coincidence the Matrix (movie) grew people as a crop, used for energy, and controlled their mind? Sound familiar? Wonder where they derived that idea from. Now comes the 'conspiracy' label. Deeper we go, the more unrealistic it all becomes. The end won't be for everyone. That choice, to know, will be yours."" Q",0.3527,71
"""Turn off your Va-Google.""",0.0,7
"""when you intentually go through a haunted house"" 😂😂😂😂😂",-0.4767,13
'Member when New Line used to make awesome movies?,0.6249,11
(Vagina jokes),0.0,4
*LUKE BENWARD IS SO HOT AND HE IS LITERALLY THE TOP REASON IMMA SEE THIS MOVIE*,0.2023,18
... another dumb female fantasy movie.... smh old fat ugly women goes back to college and be desirable doesnt make sense to me,-0.765,24
.........SpOoktacular!!! 🎃 🎃 🎃,0.0,8
:(,-0.4404,1
A PG-13 movie of Melissa McCarthy!,0.0,9
"A live action, gender bent version of An Extremely Goofy Movie?",0.0,13
ANOTHER MELISSA MACARTHY MOVIE IM SO HYPED,0.0,7
"After watching Feminist Ghostbusters, I would NOT pay to see this chick in ANYTHING. She'll never get another dime out of me.",-0.1027,25
Agnes Scott campus repsresent!!!,0.0,7
Ahahah this is so funny she’s old and in college ahahahahahah. Also she’s overweight and she gets in a lot of trouble and funny falls because of that ahahah hilarious. My god don’t you love that women are finally getting lead roles in movies that really make their image more positive and totally not stereotypical?!?!? 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0.9538,71
Alexandria Virginia ola,0.0,3
All her movie are the same characters this looks lame,-0.4215,10
And debby rayan?,0.0,4
"Any film with Melissa McCarthy in it, is worth giving it a look. She goes all in, and is funny as hell. 😆😂😌",0.1531,29
Are you finna see it? Are you trinna get tickets? Lol. Imma be there two 🤣🤣🤣,0.4871,21
Arrival elite alone avoid car clear annually.,-0.1531,8
Awesome can't wait not to see this.,0.6249,8
Awesome! Pretty much the same old people doing the same old BS.....can't wait to not see it,0.8221,20
"Back to School with Rodney Dangerfield rolling over in his grave, God rest his soul.",-0.128,17
Back to school with Rodney dangerfield girl version,0.0,8
Bert Kreischer?,0.0,3
Bomb,-0.4939,1
Camt wait to.see this,0.0,4
Can anyone tell me what the second song played is??,0.4137,12
Can someone stop this White Madea!,-0.3595,7
Can we stop pretending she is funny now?,0.2732,9
Can't wait to see this!! 😂,0.0,8
Can’t wait to see this 🤣🤣🤣,0.0,10
"Check this trailer out. Worthy of super bowl?
https://youtu.be/uCoGb9So6Jc",0.7783,11
Christina Aguilera's song at the begginig?,0.0,7
Definitely watching this!! Huge fan of Melissa's movies,0.7835,10
Defo gonna watch it while painting some new paintings :-) https://www.facebook.com/chromapaintings/,0.3182,11
Didn’t laugh once. Looks terrible,0.128,8
Doesnt look like the next spy tbh,0.3612,7
"Doesn’t seem funny, she isn’t all that funny here. Not wasting my money on this one",0.4767,22
Don't get what's up with the hate. This actually looks kind of funny,-0.2716,14
Dude she literally plays the same person in every movie.,0.25,11
Fat lady the movie. Hyuck hyuck hyuck!,0.0,9
For the love of god stop making her play the same roll,0.7579,12
Goddammit frank,0.0,2
Good to see warner brothers making original content.. not.,0.6369,11
Goofy did it first,0.0,4
Hasn't this movie been made before with Rodney Dangerfield?,0.0,10
