,sentiment,wordCount
*puts small eyed fish in Asian aquarium*,0.0,9
1 fish 2 fish red fish blue fish,0.0,8
3K for a fish??,0.0,6
A dwarf gourami tank is best,0.6369,6
A shork,0.0,2
Aaaa I want to get a tour but this was uploaded four months or something ago,0.0387,16
Abszee trainz 07,0.0,3
Abszee trainz 07 black moor! I love my two bubs :) be aware that black is the most common color for goldfish to lose so they may not stay black,0.6996,31
After my 2 parrot fish and 1 oscar died because me and my family went on a vacation for a week .. i stopped buying pet fish and just visits pet stores frequently and watch fishes.,-0.6705,37
Amanda Dorland thx,0.3612,3
Anyone know what that bubble/ filter in the beginning with the blue panda arowana is?,0.0,17
Are a wanna allowed in uk 🇬🇧,0.0,8
At home we have diamond gourami they are very beautiful you should try a tank with them,0.7645,17
"Barbs, rasbora and gourami !!! Nice Asian community tank that everyone can have",0.5684,16
"Beautiful flowerhorn. .i suggest you buy the cloan loach especially if they have the large one, great scavenger. .😊🤓",0.8402,23
"Benjamin Golding I'm not sure about cold water stocking but if you got a heater you could have a Betta, which are a great beginner fish (although you might already be experienced). Shrimp are also an option, my favourite being Cherry Shrimp. I'm not sure about cold water however as I only have tropical fish myself! Best of luck though!",0.9443,68
Betta is also an asian beauty,0.5859,6
Betta.,0.0,2
Big fish little fish 🐠 in a car board box,0.0,10
Blank2000 look back at his older/first videos and playlists and you'll see all of his DIY videos,0.0,20
Blood Red Arowana is the way to go!!! in Malaysia's Bukit Merah is where the origin is... alot of Breeder here for Blood Red Arowana or Super Red Arowana... Silver Arowana is very common here and cheap...,0.6981,43
Both,0.0,1
Bradley Phung that's plural for octopus,0.0,6
Buy a goonch catfish,0.0,4
Buy a pacu,0.0,3
Buy a turtle,0.0,3
Cade huh? Which video?,0.0,6
Can someone like give me like 10 grand so I can get one fish and a decent size aquarium...,0.7906,20
Can we use RO water for aquarium fishes?,0.0,9
Can you get a octopus,0.0,5
Can you get a red tail catfish?,0.0,8
Cause it come from another side of the world.... Flying first class yo,0.0,14
Cool,0.3182,1
Courtney Kidwell it could be the air stone,0.0,8
Crab,0.0,1
DarkBacon567 a Jack Dempsey,0.0,5
"Dear Joey. Please pass my condolences to Mathew and his Family, I am really sorry to hear about their loss.",0.2516,23
"Deine Mutter Here in the Philippines, we can buy it for less than a half of a US dollar😂",0.0,21
Dhaval Utekar I think he was going to setup one of his 120s as a saltwater aquarium?,0.0,18
Did you drop some books off for the fundraiser? Sign some and drop some off buddy!,-0.5411,18
Discus fish is amazing... you should get them. I have 1 albino platinum white red eyes,0.0,18
Dkdj,0.0,1
Do a gourami fish tank,0.0,5
Do a guppie fish tank,0.0,5
Do you eat fish..? Lol,0.4215,7
Do you have a shark,0.0,5
Don't make them fight plz I will cry,-0.1571,8
Dude I suggest you should by those black piranhas or that black Oscar but if I were you I would buy the piranhas because they are exotic fish but if you want to buy fishes that are easy to take care of are guppies the fancy ones,0.8625,47
Dude you do videos about fish why is your name the king of DIY?,0.0,15
Eh nova Scotia my guy,0.0,5
F,0.0,1
"Flowerhorns and all that crappy hydrid thing like ""pink neon fish"" and stuff are not popular in europe (thank god!).",-0.5753,26
Frank goes I go! Lol,0.4753,6
From NL,0.0,2
Get  a pignose turtle,0.0,4
Get a Bata fish my had the coler of the universe,0.0,11
Get a golden wonder killing like if u agree,-0.1027,9
Get a jellyfish,0.0,3
Get a nemo,0.0,3
Get a octopus for us,0.0,5
Get a red tail GIANT GOURAMI,0.0,6
Get large mouth bass,0.0,4
Get octopuses,0.0,2
Get pearl gourami,0.0,3
Get piranha,0.0,2
Get some coolie louches pleas I have 3 there my fauvret,0.0,11
Get some phiranas,0.0,3
Get some scary fish,-0.4939,4
"Get the angel fish, I had, I even named it back when I was 7 R.I.P Esmeralda (yes I assumed his/her gender)",0.0,32
Get the😍 piranha,0.0,4
Go with the Gourami Tank!!,0.0,7
Good choice!!!,0.5826,5
Gourami,0.0,1
Gourami fish are great I have one and it can be very fun to watch,0.8268,15
Gourami tank,0.0,2
Gouramis I’ve had multiple gouramis over the years and the dwarf powder blue ones have always had a Frank like personality when I have them,0.3612,27
Great video loved it I just subscribed,0.8402,7
Guppies are great!,0.6588,4
HERE IS WHAT I BOUGHT: https://www.youtube.com/watch?v=YTiYQwk7Bw0,0.0,7
Hay Logean poal I love your vevo songs,0.6369,8
"Hearing the price really hurts😂 for a molly fish that could cost $2!?

Geez!",0.0,19
Hey joey... Why not do some paradise gouramis and three spot or opaline,-0.5216,14
Hi hola,0.0,2
Ho,0.0,1
Holy you have a lot of fish😁,0.0,8
How about some puffer fish,0.0,5
How about some saltwater fish,0.0,5
"How about three smaller gurami tanks with three diffrent types for display? 
Blue, mozaik and kiss? Those have always been very beautiful to me! 
Also, hi Frank you are a stunning fish :)",0.9223,38
How many aquarium you have?,0.0,6
"How typical of Frank. Just an ugly guy, waiting for his super model girlfriend. 😂😂😂😂 love frank❤️ I'm behind on videos, so here I am.",0.7003,34
