,sentiment,wordCount
Don’t hate me people but I never like the unicorn of mermaid stuff at all 😂,-0.6143,18
Even my 7 year old daughter is over unicorns.....🦄🦄🦄,0.0,13
FYI PEEPS poop💩,0.368,4
"GET RID OF CABLE/SATELLITE 
TV NOW!
ONLY $20 A Month for 500 streaming channels on any device👇👇👇
http://setvnow.com/#nocabletv   
Get PAID💰💵 per referral Too
bit.ly/JoinSETVToday",0.0,33
Haha 💩,0.4588,2
I freaking love your accent Laura,0.34,6
I have that same pimple right now! 😂😭,0.0,10
I love them to but I am over them,0.3818,9
I love these kind of videos 💩,0.6369,7
"I neeed that setting spray, and YES that look is straight from the 80’s but that’s perfect, everything comes back 😈😂💖",0.8279,29
"I'm definitely OVER the unicorn/mermaid vibes.. I wasn't a huge fan when it was ""popular"" but I wasn't mad about it.. seeing stuff still come out really annoys me because I want to see a NEW trend! LOL &&&&& POOP",0.6939,49
It’s okay to be “over” unicorns just don’t shame those of us who aren’t 😜✌🏻💖,-0.296,26
I’m 46 and I love unicorns!,0.6696,9
I’m over it 😂😂😭😭😭😭😭😭😭🤷🏿‍♀️😂😂😂 unicorns are cute but sheesh your nails are cute,0.7184,27
"I’m super over unicorns too, like everything is so pretty but likeeee cmon can we get some variety",0.6964,21
"I’m with ya girl, over the uni-corn fairy poop dream land 🦄 💩",0.25,16
I’ve been in the unicorn bandwagon since 1998. I’ll never be done with it. I’ll ride the wave while I can.,0.0,30
Looking good.  I about pooped ...your too funny...have fun !,0.7574,14
Love this look def 80’s ... I’m over unicorns and rainbows unless your a little girl too! Poop 💩,0.6696,24
No body likes you,0.1531,4
POOP,0.0,1
Poo poo 💩,0.0,3
Poooop 💩 💩,0.0,3
Poop,0.0,1
Poop  ;),0.2263,2
Poop 💩,0.0,2
Poop 💩💕,0.0,3
Poop 💩💩,0.0,3
Poop!,0.0,2
Poop!!,0.0,3
Poop!!!! Lol 💩💩💩,0.6083,8
Poop-ski ✌🏼️✌🏼✌🏼,0.0,8
"Poop.
Oh btw, I so knew I wasn’t the only one who has the same love and talks about/too cats the same 😸💕 lol",0.7906,31
Poopppp 💩💩💩,0.0,4
Poop❤❤❤,0.0,4
Poop❤️,0.0,3
Poop💩,0.0,2
Poop💩💩,0.0,3
Poop💩💩💩💩,0.0,4
Super cute!! And poop,0.8168,6
THANKS GIRL,0.4404,2
The eyeshadow is goals!!!!! 😍😍😍😍,0.0,10
This collection is music festival heaven,0.7579,6
U should do a video on how you wash your brushes!!!!! That would be so cool because I have tried so many different ways but nothing gets all the makeup off of them??,0.5459,38
Unicorn POOP!,0.0,3
Unicorn poop 💩,0.0,3
Who makes your intro,0.0,4
Yaaas poop! 💖🐱💩💖🐱💩💖🐱💩💖🐱💩😘🐱💩💖🐱💩💖🐱💩💖🐱💩,0.0,27
how do you wash your brushes??,0.0,8
pooooop,0.0,1
pooop,0.0,1
poop,0.0,1
poop hahha,0.0,2
poop 💩,0.0,2
poop!,0.0,2
poop! ahahaha xxxxx,0.0,4
poop.,0.0,2
poop💩,0.0,2
❤️💩 love you Laura!!,0.6988,8
"🏠#1Legit Work At Home On Youtube  
http://bit.ly/1000ADayCapture
Become a Member  http://bit.ly/CheckoutTime
Watch Videos Below To See Value
http://bit.ly/MoneytatHome
http://bit.ly/ClaimMyBook
Get Rid of CABLE/Satellite TV $20 Bucks a month below
http://setvnow.com/#nocabletv",0.34,34
💩,0.0,1
💩 POOP,0.0,2
💩 poop,0.0,2
💩 💩 💩,0.0,3
💩lol,0.0,2
💩💋,0.0,2
💩💩,0.0,2
💩💩💩,0.0,3
💩💩💩💩,0.0,3
💩💩💩💩our little secret💩💩💩💩,0.0,9
💩💩💩💩poop,0.0,4
💩💩💩💩💩,0.0,3
💩💩💩💩💩💩,0.0,3
"💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩
POOOOOOOOOOOOOOP!!!!!
💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩",0.0,10
💩💩💩💩💩💩😋😍,0.0,5
💩😂,0.0,2
💩🦄🌈🍭🌼💩💩💩,0.0,8
😂😂😂💩💩💩,0.0,6
😪,0.0,1
🙌🏼,0.0,2
🦄💩,0.0,2
