,sentiment,wordCount
#DEMILOVATO BELLA,0.0,2
#echamelaculpa,0.0,1
#heryerdeyiz,0.0,1
*5.8M lIKES* cONGRATS,0.5267,6
*Like si te gusto el duo*,0.0,8
*hay fonsi huuuu*,0.0,5
-_-,0.0,3
...porque tu error sólo fue conocerme...VERETOUT VERETOUT VERETOUT,-0.4019,11
0:15😱💕,0.0,3
1 billion,0.0,2
1 billion for 3 month? Really amazing,0.624,8
1 billion😱😱,0.0,4
1 billon❤,0.0,3
1039873293,0.0,2
"1:04 LA MEJOR PARE, DEMI LOVATO ❤💞🎶",0.0,10
1B,0.0,1
1B Views? YAY!! CONGRATS,0.8705,7
1B in just 4 months.. 😱😱👏👏❤❤,0.0,12
1B views congrats!!,0.6103,5
1billion 🔥🔥🔥,0.0,4
2018????,0.0,4
418k dislike wtf?? Maybe no ear,-0.8385,8
4md to 1md,0.0,3
5.8M LIKE,0.3612,3
5.8M like AND md,0.3612,5
<3,0.4404,1
ANOTHER 1BILLION VIEW,0.0,3
Ada yang tau gk arti Lagi Ini???,0.0,10
Adamın attığı şarkı 1 milyar oluyor arkadaş,0.0,7
Adoro esta música,0.0,3
Aka 5idy hrptb,0.0,3
Already a billion...?,0.0,5
"Any Body Want YouTube 
Subscriber WHAT'S APP ME 7698054813",0.0772,9
Beauty foll 😍😍😍,0.5859,5
Best song ever! :),0.8172,5
Breakup song,0.0,2
Bune,0.0,1
Ce ki ne like pas ne save pas les musique,0.6908,10
Cool,0.3182,1
Dammmmmmmm,0.0,1
Demetria ahora se mete con este tipo después de la porquería de despacito!!!  Que DESESPERADA CON MAYUSCULA!!  A DONDE SE LE FUE LA DIGNIDAD!!!  PATÉTICA GORDA ATACA FLACAS!!!!,0.0,39
"Demi Lovato
is
so
BEAUTIFUL
😍😍😍
😘😘😘",0.785,11
Demi looking amazing,0.5859,3
Demi voice really fits this language 😍😍😍,0.0,9
Demi 😍❤ si sexy,0.5267,5
Des pa cito...,0.0,4
ECHAMELA A DENTRO,0.0,3
EeeT,0.0,1
English version baby put the blame on me😘,-0.34,9
Esa canción la canto yo en Mucical.ly,0.0,7
Esta cancion es increible,0.0,4
"Esta historia está muy interesante léelo te lo recomiendo 😉
https://youtu.be/szsDyfFL0M8",0.0,11
Every artists need Fonsi for BILLION views 😘,0.0,8
