,sentiment,wordCount
"""Thanks Dad""",0.4404,4
"$199,998 not bad",0.431,4
$199.998.00 at 7:46....you're welcome.,0.4588,10
$20 same as in town.,0.0,7
"$200,000 is an insult for that car.",-0.5106,9
"$3,000,000 and you can't afford a camera with a decent mic?",0.0,15
*monroe* from gta 5,0.0,6
2.5 million,0.0,2
2.75m for the car,0.0,5
200k,0.0,1
500k,0.0,1
"7:47

Thank me later",0.3612,4
"A point on your comment at the beginning of the video. Carmax does look at auction results to give you the estimated amount of money they're willing to pay for your car, but it has a cap so they cannot spend more than a certain amount of money regardless of the vehicles true value. They'll still buy it from you, but they're supposed to let you know that going elsewhere to sell your exotic will yield more money.",0.8647,83
ADD me on Snapchat! @hp_overload I add everyone back!! Y’all can talk to me 👋🏻,0.0,21
Ad for Carmax.,0.0,4
"All that muscle cars complete disappear next to this, over 40 years old ,Italian beauty.This car is drawn by hand by Giugiaro and  Marcello Gandini. I hate the CAD design of most modern cars, it hurts the eyes and has no emotion... Oh and hp_ did you ask the guy that made you the $200.000 offer if he was in need for mental care ? There are good treatments for guys like him !",0.2942,80
"Also, why do you all get so excited about autos, ffs, drive a proper manual and learn to drive, then come back to me.",-0.1739,29
Be a man and spell it out,0.0,7
Bitch ass clickbait motherfucker,-0.9169,4
Call carmax and ask if they have purchased a BJ100.,0.0,11
CarMax does YouTube commercials?,0.0,5
Carmax is a rip off when selling your car...,0.0,10
"Carmax is huge...  This car is 1 of 14 ever made?  How the Carmax corporation would not want to obtain this just for publicity purposes boggles my mind.  They had to know what this car was actually worth.  They should of offered like 2.5 million and put it in a showcase with a 3.5 million dollar price tag on it.  Not that they would be trying to make a  million, but to make a statement that they are CAR MAX!  No car too expensive for our company.  Plus being it is so rare I would guarantee in a world of todays millionaires and billionaires, this car would definitely sell.  Sorry Carmax, I am a little disappointed you would not at least try to make a reasonable offer and make a bold statement.",0.6447,144
Carmax is the GameStop of cars 😂😂,0.0,8
Carmax offered you 200K for a 3 Million dollar car and you're all smiles?   I would have been swearing up a  storm,0.2732,23
Christ CARMAX is the GameStop for cars probably buy the car for 200k then sell if for 5 million. much like bring in a rare copy of a game in great condition get $5 then GameStop sells it for a whole lot more Amazon does the same shit though.,0.6115,52
"Comes with a Lamborghini Miura, then sits in mustang and says “now THIS is a nice car”
Huh?",0.4215,22
"Congrats on the views.  Why waste their time and your time if your intentions were not to sell the car in the first place?  Do you just want some publicity and attention?  If Carmax actually bought the car, they would have other means of selling it on the private market other than putting it on display to try and make a profit don't you think?",0.6531,70
Consult morning counseling undertake surprise dark intelligence ally risk annually invest folk experiment.,0.4767,14
Content involving expensive products is not showing off,0.0,8
Corey Dennis ?,0.0,3
Corey Dennis you’re so angry and honestly I don’t like this word but you are so retarded 🤣,-0.8101,22
Daddy's car????,0.0,5
Definition of the word tool..,0.0,6
Does he really have to shit on his buddy like that every 5 minutes,-0.3321,14
Don’t see what part of this title was misleading... I suppose you could be illiterate but even then the picture is exactly what the video is... hm I supposed you could also be blind and you thought you clicked on season 3 of Dora the explorer. That sounds the most reasonable to me.,-0.5499,59
F I V E T H O U S A N D,0.0,12
"Fire In The Hole..!!
SharpensBest.com ..!
SharpensBest.com ..!
-- BOOM --  !!!!",-0.5526,21
Fk car max! I would of punched that weasel in the face! I can't stand car salesman or anyone in the car industry for that matter.,0.1739,29
Fuck i get annoyed just looking at this chubby fuck,-0.8625,10
Fuck this rich boy fag take some of that money and help others in need u 1% prick,-0.4019,19
Fucking pure CAR PORN lol hell YEAH baby.,0.0343,9
"Go build a car then make a video about it. Become a Legend, I have a hanger full of cars. The car that I still have in my garage is 1968 Dodge Dart Super Stock it's the last car  me and my dad built.",0.5994,48
"Guy rolls up in a $3 Million dollar Lamborghini and he's like ""omg a $50.000 mustang"" lol.",0.6486,22
HAHAHAHAH ya man it holds the top speed record🤣🤣,0.2023,11
"Haters will be jell. - it's possible to really dislike without hating and it's certainly possible to hate without being jealous. I do okay without help from my daddy. Someone like u, with your dead eyes and fucktarded voice, who have no idea how others live or how lucky u r to be in the position of having family to give u such wealth. - all u can do is try to show off on YouTube. Dickhead. I'd have more respect for you if u just hit a pipe and enjoyed yourself privately. Showing off about things you've been given is pathetic cancer boy.",-0.8322,114
Having worked at Carmax years ago it honestly was always cool when people brought in unique cars to get appraised; although this was well before everyone was filming it for youtube.,0.7506,33
He sounds like Nicholas Cage,0.3612,5
He's a Fagboy ARMO JEW hence the gay armo trap music and his JEW face,-0.3182,15
He's wasting their time for no reason. He has no intention of selling.,-0.7269,15
"Hello, beautiful car. Off course the offer would be borderline offensive. If you can, keep the car man. When you get older I can guarantee you will regret any sale.

Thanks for the peek ;)",0.5994,41
"Hey fun guy why don't you give me the Diablo, stop being a cheap asshole.",0.2732,17
Hey it's shitbricks lol!,0.4753,5
How did he even get that car?,0.0,8
How do u get all this money? My parents can’t even buy me an Xbox,0.0,18
"How does this doofus have a $3M car in a garage that looks like it belongs to a $200K house? As for Carmax, they were obviously in on the ""joke"". I'm guessing bro's daddy is a Sr. VP or something at Carmax. In the real world, they'd laugh in your face if you brought something like that in.",0.8225,69
How much will CarMax buy Bitcoin for! Hahaha,0.5983,9
How tho🤣🤣you clicked on the video saying I took a car to car max I did exactly that.. do you need medical attention or something? Boy you dumbbb,0.0,33
I bet they give u 1 mil,0.0,7
I can take it to goodwill they will give me a whole 1.99,0.0,13
I didn't buy my Prius from Carmax.,0.0,8
I don’t care about how many cars he has. I want to know what he does for a living so I can do it too,0.5423,28
"I enjoyed watching this  video  don't get why ppl got to be so salty  maybe if they spent half the time they do hating  ,working  maybe they wouldn't be worried about other ppl pocket,s",0.2235,37
I know bro it was hard not seeing this video get 5k likes super sad but I’ll through it 🤣🤣👌🏻,0.2732,25
"I love how youre freaking out about a gt350 when you own a very desirable $3,000,000 vintage lamborgihni",0.6115,21
I thought muscle cars were banned in the District Of Liberals California? Must be nice playing with toys you didn’t buy.,0.1531,25
"I thought that said ""Murca"" on the back xD",0.5859,11
I thought that speedometer was in MPH and I was like holy fucking shit,-0.3384,14
I wanna see someone take a 250 GTO to carmax :D,0.6166,11
I was boutta go off on you guys for not showing the price but not no more,0.3252,17
I would never pay 3 million for a car. Not worth it. Sucker born every min.,-0.2969,19
I'll give you £100 if you put new tyres on it.,0.0,13
If he sold it to car max they would have ended up selling it for way more than what they paid,0.0,21
"If you cant be smart, good looking or interesting, be rich! lol",0.6935,15
If you knew they weren't going to buy it then why make a stupid video like this?,-0.2263,18
If you pay me I’ll  take that relic other then that no thanks it’s not worth parting out,-0.0941,22
"If you seriously have people sitting around ""waiting"" for you to waste someone's time at their workplace, you sir are an idiot. And have idiot followers.",-0.8779,31
"If you would sell it... CARMAX would buy it! Because they made an offer, and yes they would sell it. It's so cheap they will sell it easy.",0.7088,33
"In response to quosmo1's comment, Yes...we would want that money...but, none of us in our right mind would go on the internet and start bragging about it!.",0.1511,38
Infernus,0.0,1
Interesting to see how corrupt these companies rip us off on a daily basis. Thank you! How about we take your car  for nearly $200k knowing that it will retail for 2.5million to a private party or beat the odds in an auction and get double. This is the realism of our society.... these companies are not for the people. It's for their pockets!! Business 101 buy it cheap and sell it for more.,0.8306,84
Is give 1$,0.0,4
"Is that really your car?....l don't think so....the fact that CarMax made
this ridiculous offer goes to show they are retards of the 3rd kind. 
Totally a bunch of retards work there....you should rename your video
retards that work at CarMax....",0.1343,50
Is this the dude who fd stiflers mom?,0.0,9
It's finch from American pie,0.0,5
It's only worth $3m because people are stupid.,-0.3612,10
Its worth 3mil???,0.3485,6
It’s 2018 bro what’s wrong with being gay,-0.4767,12
I’ll never sell it once I hopefully inherit it!!!!! It’s worth so much more than money to me I’d never sell it! Glad you have such an appreciation to it!,0.7641,41
Jeez mate your extremely fake and cant hide your superiority complex well,-0.4236,12
"Jesus of Nazareth is Lord.

First, American economy takes a big hit, store shelves go empty.

Next, Russia allies with China and North Korea.  Russia will launch nukes into NYC, Miami, Washington, San Francisco, Los Angeles, and Miami.

America will be conquered and divided.  Then comes the one world government with antichrist leader.  He will want control over all people.  Do not take the mark of the beast.
Jesus of Nazareth is Lord.",-0.128,90
"Kinda want to know whose driving there's 3 people total in the video and he's not driving it. I'm going to assume it's not ""yours"" so I'm not impressed",-0.4235,32
Kys,0.0,1
Lambo * stupid autocorrect,-0.5267,4
Lmao comments need to chill yea i dont like him either but until you get your bands up dont bash others for wanting to fuck around with their guap😂,-0.5934,30
Lmao it’s my dads car,0.5994,7
Lmao thankfully I’m not trying to impress anyone! It was my dads! I made a vid about it check it out,0.7076,25
Lol 5k you got 91K so car,0.4215,7
"Lol, nice little profit Carmax would have had there. Makes me wonder how much they lowball people on cars in general.
Moral of the story, don't sell your car to Carmax.",0.7512,36
Must be nice to be a spoiled little bitch,-0.1796,9
Must be nice to have money to buy that shit!,-0.2714,11
My neighbor is an engineer for Roush and he brings home a different gt350 every weekend.... i have an eargasm every weekend,0.0,23
Never give that car away. Wait 50 years and youll be richy richy,0.0,14
Nice carmax ad 👍🏻,0.4215,5
"Nice cars man :) I'm not super into cars, but I like the looks of various styles. Had a Mazda RX-8 but the engine was crap if you didn't baby it and wasn't good in cold weather.  Now got the Lexus CT 200H which suits me well. So as you can tell I just like styling more than vrooom :) Also,  ignore the haters, I don't know what makes people behave like that.  Jealousy isn't pretty and they should be out working instead of youtube commenting if they want to get what someone else has.",-0.4164,105
No it isnt. Its worth atleast 1.85-2 million,-0.434,10
No way in a million years a car like this is inspected on the ground in a parking lot. This whole video is fake IMHO.,-0.4215,27
Normally car max doesn’t like when people record them so I call video fake!! 👎🏽,-0.3501,20
Ok man DODGE is way better than ford daaaa an mustangs go in to crowds,0.6249,15
"Ooh, look what I've got!   I've got lots of money to play with cars nobody can afford!
Dude, nobody cares.  You only get laid, because women want your money!
Being rich is one thing. Being rich & rubbing people's noses in it is another thing altogether! 
Remember, you can't buy love or friends!",0.93,64
Orange is worth more?  I thought less.,0.2263,9
Other than your family is rich and u want everyone to know what is the point if this? Get daddy to spend some money on elocution lessons because u sound fucktarded.,0.5994,33
Parents money.com I mean......,0.0,5
"Pointless videos by guys with money who don't understand the cars they own.... memorizing some random facts and bits of info.  What a waste.  I can appreciate a guy like Leno who drives half decently on the track and fully comprehends the details of what he owns.  This on the contrary is just insulting.  Showboat video, I want my 1:15 seconds back that I wasted.",-0.5719,72
Probably more than what Richard Rawling would offer lol,0.4215,9
Punk with rich parents,0.5574,4
"Save you the time of watching video $199,998",0.4939,9
"Seems about right. Obviously they weren’t going to come even close to the value of the car, but carmax is no different than any other dealer. They lowball the hell out of people and offer basically kbb poor condition regardless of the vehicle’s condition. Then they offer “no haggle” prices that are no cheaper than any other dealer. Carmax is just another stealership.",-0.9562,75
Sellout,0.0,1
Skip to 7.46 .you dont need to see any other part of the video,0.0,15
Skip to the punchline at 7:47,0.0,6
Sometimes when you talk you sound just like penguin 🐧 of Gotham ahhahaha,0.3612,13
"Spoken with NY Italian accent: ""Best I can do is three hundred bucks. Take it or leave it"".",0.6124,23
Stealth marketing sucks. Be upfront and honest.,0.128,9
"Still trying to figure out what the point was? A public relations ad for carmax? Can I get a refund on my 8 minutes, lol",0.4871,28
Take it to the pawn stars they’ll give ya a good deal of £2,0.4404,17
That car is easily worth 3.5 million,0.5106,7
That car is rare!,0.0,5
"That car is worth waaaaayyyy more than 200,000       bro put it up for auction and rich people are going to pay millions of dollars",0.6249,24
That garage is pathetically sad.,-0.7096,6
"That gt350's drivers seat needs cleaned bad, look at it at the 3:28 mark",-0.5423,17
"That is 100,000 dollar car....",0.0,6
That is the ugliest lambs I have ever seen. It is also the only lambs I have seen ☹️,-0.5859,21
That’s one sweet Lambo😍 I just enjoyed looking at it,0.743,13
The 'little people' buy their cars at CarMax and that's why this is a funny video.,0.4404,19
The car is hot and only getting hotter and I dont think its for sale.  The colour is fantastic and the sound is perfect. Now I gotta get in my mini van and go to work.,0.8074,39
"The music tells me this:
You don't deserve any of this shit",-0.6428,13
There is only one of me so.im priceless baby,0.0,9
There’s no way that cars worth that much.,-0.0772,11
They could have just evened the offer to 200k!,0.0,10
They offered 200k,0.0,3
This Video is full of shit....!!! you can make the video in less than 1 min.,0.0,21
This dude f%&ked Stifflers mom.,0.0,9
This rich faggot can't get a haircut? Go crash that lambo into a tree.,-0.5423,16
This video would have been waaaaaaay better if you took the offer.,0.4404,13
Those carburetors sound all gunked up and I’d be willing to bet it’s cuz your channel is nothing but bullshit.....🤣,0.0,26
Try not to blast music from a gay night club over the sound of the car driving next time. Some us aren't privileged enough to ever drive in one and would rather hear the engine instead.,-0.3412,38
Try to sell this car for $3 million dollars and you wont be able to :],0.4939,17
Trying to sell your dads car.....,0.0,7
Ugliest Lambo Design in History. If I was Carmax I would trade the Shelby straight up for it and then ask for a check for 56K.,-0.4404,28
Ugly ass car only a micropenis would pay 3 mil for that junker,-0.802,13
Very cool . Great video . Lots of very jealous people out there . Mostly wine bags,0.5688,17
Watch my video of why the Miura is worth what it is.,0.2263,13
Well it got millions 5.6 million views where is your argument?,-0.1027,12
"Well you must workchard for you money, keep it up",0.2732,11
What a cunt,-0.4939,3
What country is your dad the king of?,0.0,9
What do you do for a living? And how did you get a car like that buddy?,0.4329,19
"What is it with these cars videos and the uploader ruining them with REALLY SHIT MUSIC.... and it's always some mega annoying sub rave horseshit. Haven't any of these guys got decent taste in music? And why play any music at all when you're sitting in a fucking Miura, the sound of that engine is better than any music!",-0.7228,64
What was the point of making a offer video if your not going to show the offer to us? Stupid shit,-0.7906,22
"What was the purpose of this video? 8 minutes and 32 precious seconds wasted from my life. I always know I'm going to be disappointed with a video that begins with a VERY white guy saying ""what-up guys"". Dick!",-0.7345,45
What's with that wackadoodle romper room music.Do you listen to that?That's horrible tunage. The Cars nice.,-0.1779,20
Where did u make the money to buy a Miura? Just kind of wondering.,0.0,16
Where’s Stiflers mom?,0.0,6
Who is this child and why does he have such a dope car??,0.0,15
Who will buy it a dumbass like you,-0.2732,8
Why someone selling cars there for 10% of real value? People are retards?,0.4137,16
Why would anybody take the money? It's worth 3 mill....,0.2263,12
"Why would they only offer that much?

Idiots....

Car max could have bought it for well over a million and easily doubled their mobey on the international market and shipped it off to Dubai for sale at auction...",0.5423,41
Wow I couldn’t afford to register it. Haha. Nice car man.,0.8625,16
"Wow lots of green eyed monsters out there, I love that car, looks in stunning order.",0.891,19
"Wow. Stay classy, bro.",0.7717,7
Wow. That car is so cool! If I had a 3 million dollar car I’d be scared to take it out of my driveway. LOL,0.8279,30
Y u accept,0.3818,3
YOU ARE A PIECE OF SHIT RICH KID,0.0,8
Yea you wanted 5k likes.. 93k likes.. Sorry man we didn't get 5k,-0.0772,15
You are something too but I can’t just make assumptions like you did. I have an education and maturity level higher than those of a child unlike you princess.,0.5023,33
"You don't think they had better things to do than look at a car you knew going into it that you weren't selling them? You have any idea how much time was wasted? Everyone from the people who talked to you, the people inside doing research, the ones making calls to find out info on your car....all their time wasted. 

Take the amount of people it took to give you the print out, multiply that by how many people who were involved, and that's the amount of manpower wasted. 

All for your ego.",-0.7941,104
"You said it wrong, its jag-you-a, not jag-wire",-0.4767,10
You should try a pawn shop. Some will pawn/buy titles to vehicles.,0.0,16
You were paid by CarMax for this video!,0.0,9
You're a FAGGOT JEW BOY THATS YOUR DADDY'S CARS YOU ONLY MAKE THESE VIDEOS TO TRY TO GET VIEWS SO YOU CAN MONOPOLIZE IT AND GET PAID BECAUSE YOU'RE CLEARLY A LAZY PIECE OF SHIT JEW-BOY WHO IS A FUCKING SPOILED BRAT AND HIS JEW DUMBASS PARENTS DIDN'T KNOW HOW TO INSTILL REAL MORELS AND VALUES INTO YOU,-0.9395,58
You're an idiot for wasting their time.,-0.7184,8
Your accent and mentality makes my balls itch,0.0,8
Your so awkward,-0.2247,3
Your wrong its 190000000000,-0.4767,5
