,sentiment,wordCount
"""jiff"" #triggered",0.0,4
#47 on trending lets go peachy fam,0.0,7
"1:23 ""I love creative spaces""

speaking of which. Is it ever coming back? 
or RIP ?",0.8156,20
44 ON TRENDING,0.0,3
"6:02 Yeah Android's had that for years, even before GBoard.",0.296,12
<3 expe,0.4404,2
Alien Acer you want vegen and bobs??,0.168,9
"Alright we get it, you android people are cool",0.5106,10
An app*,0.0,3
At 9:21 John sounds like Jorge of the Jungle.😁,0.3612,11
Awesome thanks Sarah I’ll try a few of these to get the most from my phone.,0.7906,19
Ayeee I saw what happened in the end whereJohn yelling in Johns videos,0.0,13
"BTW, your videos are boing. try to make better.",0.4404,12
"Been debating on getting some books but didn't know how to ingest lol. Phone feels alright for a couple pages but idk how long id read on it, MacBook Pro is just odd to read on, real books feels and look cool and nice around the house like trophies but been getting into minimalism and wanting less stuff around if not using it Kraig Adams style lol. May try the iPad its like a big phone, could be the answer:)",0.9612,86
Breather app is the best for photo shoots!!,0.6988,10
Buy the dip,0.0,3
Can you plz put links in video description!! Great video!! Keep up the awesome work,0.8926,19
Catandthefunk of she recorded it a few weeks ago 🤪,0.0,10
Come on bro it’s “AN APP” not “A APP” 🙄,0.0,16
Congratulations for being on Trending,0.5994,5
Cool cool cool ! Give u a virtual hug 🤙🏽,0.8516,11
Cool vid why you tryna act cool tho,0.5574,8
"Did you know that the app notes from iOS allows you to scan documents just like that and save them as a PDF? 🙂 I use it a lot, you just have to click the + button and click scan document 😊",0.6908,44
Dietschy on the trending page??? Whatttttt!!,0.0,11
Do you think all that crap is not available on Android for real? If it's available on iOS chances are 100000:1 it's available on Android.,-0.2023,27
Does anyone know what program/app you use to record your phone screen??,0.0,16
"Dropbox app has this built-in, too",0.0,7
Entirely Indifferent Anytime 👍,-0.2716,4
Finally something useful i almost unsubbed stop playing that crappy trap music beat crap,-0.7171,14
"From the looks of it, apps are WAY more optimized for iOS!",0.5551,14
Fun fact: the Notes app on iPhones now have an integrated scanning feature! Make a new note under you iCloud user —> click the plus bottom on the bottom —> click scan documents :),0.7644,38
Fyi you can force press anywhere on gboard to move around,0.2023,11
