,sentiment,wordCount
"""He's with Dakota. They're a couple. Got it?"" 😂😂😂😂",0.0,16
"*""Jamie Dornan is pretty gorgeous""* ❤️ No doubt he is...but it's about time to stop calling him scary for a role he did for a movie",-0.7096,33
"426 - I Shall See The King  1I shall see the King where the angels sing,I shall see the King some day, in the better land,On that golden strand,And with Him shall ever stay.Refrain:In His glory, I shall see the King,And forever endless praises sing;‘Twas on Calvary Jesus died for me;I shall see the King someday.2In the land of song, in the glory throng,Where there never comes a night,With my Lord once slain I shall ever reignIn the glory land of light.3I shall see the King, all my tributes bring,And shall look upon His face;Then my song shall be how He ransomed meAnd has kept me by His grace.",0.9432,148
"6:23 ""I'm not looking at her, she's annoying."" lol xD",0.765,14
Aaaah ! Finally she's here ❤️,0.0,7
"Abeer Bahakim  Gosh, wouldn't that be great?  I hope you do turn out like her!  We need more sweet and funny people in this world!",0.8461,29
All I can say 😂😂😂😂😂,0.0,7
Annie Hall is sure getting old!  But still very energetic and “cool” 😅,0.6989,16
"BRYCE COOKS THIS ,  wow she looks good for age . Most white people over 50 look like her , if I may say .",0.8481,25
Can I be friends with Diane Keaton ?????,0.6199,10
Chris Martin!? I don't get it...,0.0,9
Chris is beautiful <3 he has the most wonderful smile and eyes and seems like such a sweetheart,0.9656,18
Chris mayer is an average white dude.,0.0,8
"Chris noooo, Dakota noooo!!!😡
😝😝😝😝",0.0,12
D.O.P.E .......During Oppression People Evolve,0.0,12
Dakota johnson is too fucking young and gorgeous for chris martin honestly,0.8055,12
"Dear Friends, did you know that Lord Jesus Christ, the eternal Son of God, became man without ceasing to be God? Having been conceived of the Holy Spirit and born of a virgin, in order that He might reveal God and redeem sinful man. He accomplished this by voluntarily giving Himself as a sinless sacrifice on the cross, thereby satisfying God's righteous judgment against sin. After the accomplishment of that redemption and justification by His bodily resurrection from the grave, He ascended to the right hand of His Father, where He intercedes on behalf of those who trust Him. Give your life to our Lord and Savior Jesus Christ today. It will be the greatest decision you will ever make. ❤️❤️❤️      (Luke 1:34-35; John 1:1, 2, 14, 18; Romans 3:24-26; Romans 8:3).",0.9633,162
Diane Keaton is absolutely amazing and I will forever respect the hell out of her!,0.4376,16
Diane Keaton is awesome!!!,0.7163,7
Diane Keaton is my favorite actress,0.4588,6
Diane Keaton is the best most interesting guest on Ellen ever in all the years of Ellen's show. I cannot stop laughing at Keaton-- so entertaining and witty!,0.8882,32
Diane Keaton once said Woody Allen was sexy.  She's disgusting.,0.0,12
Diane Keaton should have her own segment everyday she's quite a character,0.0,12
"Diane and Kris Jenner should hang out, OTP",0.0,9
Diane could definitely handle 50 Shades. That shit was so boring & vanilla.,-0.5413,15
Diane is a fantastic human being! She just beams with an infectious enthusiasm that makes you smile!,0.8619,19
"Diane is either drunk or high on weed in this lol
But she's a great actress 😘💖💕",0.714,19
Diane is gorgeous and Chris Martin is a handsome man with an amazing personality. There's so much depth in him. I hope Dacota be THE ONE. He deserves to be loved. 💓💓💓,0.9571,38
"Diane is my fave, I love her so much",0.7964,10
Diane is such a cool girl.... i can't xDDD #loveher #dopeaf,0.3182,12
Diane is the best guest ever,0.6369,6
Diane keaton seems like her and Kathy Bates smoke together on weekends,0.3612,12
Diane she seems like cool people!!,0.658,8
Diane will always be one of my all time favorite actresses.,0.4588,12
Dianne looks Ridiculous!,-0.4199,4
Does the belt she always use is for medical reason i.e for her back? Or its just her favourite accessory?,0.0,24
Don't watch it diane,0.0,4
Ellen for president 2020!,0.0,5
Ellen my dear I love your personality or character! ! Whatever it is i want to be like u love u sooo much from UGANDA,0.937,26
Ellen u should put the cast from wonder on your show there soo amazing xx,0.5859,15
Ellen what happened to Gladys? How u to talk her yet?,0.0,13
"Ellen, get her and Chris to meet. I know he's with Dakota but give this wonderful woman some joy. She already brightens our screens when she comes to your show. Do IT!!",0.9524,38
