,sentiment,wordCount
"""He's dead! Omg! I DONT CARE.""
*falls asleep*",-0.7081,15
"""Hey Lou, do we start eating him now, or do we have to wait until we get hungry?""",0.0,23
"""Let us die together.""",-0.5994,7
"""Miaw who is gonna give me food now miaw""",0.0,11
"""really dude"" 😂",0.0,5
"""should i scare and call 911 or something hooman??""",-0.5514,13
01:30 got me.,0.0,4
0:13 como cuando se te mete el diablo,0.0,8
"1:24 cats are smart they know he's breathing lol, but maybe at first he/she panicked (but maybe not)",-0.3071,23
1:27 lol,0.4215,2
3-4 days and he'd eat you face.,0.0,8
":3 cats are like kids, they will follow what their parent did and he just wanted to do the same like you. Acting dead ^w^. the way he lied on his back with his paws closed together and his eyes closed, he really acted similar to dead cat. Smart kitty~",-0.296,59
A dog would've called to 911,0.0,6
"A few years ago while I was at school and my mum and brother were out too, my dad was at home and stepped on a nail which went right through his foot. He saw the blood and passed out on the floor in the living room. Apparently when he woke up, my cat was lying next to him looking really scared. I love animals. They're so intelligent.",0.4121,75
AWWWWWWWWWWWWW “my dude - we chillin”,0.0,8
Adorable,0.4939,1
"Animals aren't dumb, they can tell when you're still breathing and warm. Kitty probably just thinks you had a rough night ;)",0.6707,24
Animals can here your heart beat numbnuts😅😅,0.0,9
Animals can smell and hear you're alive bro...,0.3818,9
"Animals not stupid they sense death, but it would have been hilarious if the cat started chewing ur finders :D",0.8604,21
Anyway they can sense pulse and heartbeat that’s why he went to your back and sniffed it,0.0,19
"At first, he was clearly concerned, but then he checked and saw you're fine (cats can feel not only breath but also heartbeat), so he assumed you're just sleeping.",0.4678,35
At least he didn't try to eat you.,0.0,9
Awe,0.0,1
Aww. The cat looks sad :(,-0.7184,7
Awww,0.0,1
"Awww they worried about youuu! Mean daddy! 
Once he was sniffing you tho, I’m sure he could tell you were alive ...hence why he lies down to take a nap with you",-0.1739,38
Awwwww soo cute,0.4588,3
Awwwwww that at just earned u a sub and like xD,0.743,11
Bite him sparta,0.0,3
Can't remember where I read or heard this but a while ago I was told that house cats will realise when their owners have died (for real) and once the cat feed runs low ...... Well you get my drift.,-0.7096,43
"Cat: ""1:25 I can play dead too look camera""",-0.4404,12
Cat: yerrr bitch lemme invite the squad over to celebrate,0.128,11
Cats and kittens are so cute 🤗,0.5949,7
Cats are Intelligent but Dogs are Dumb,-0.5346,7
Cats are smart they can obviously smell your hormones and determine any danger. Kitty examined the emergency  checked your breathing gave many dude are you ok meows  and figured he is just randomly falling and lounging let me do the same.😂,-0.4019,44
Cats are the most useless animals. I'd rather have a freakin gator as a pet than a cat.,-0.4754,20
Cats are way too smart. They can sense human heartbeats and breathing.,0.4019,14
Cats can actually sense if someone is alive or not,0.3818,10
Cats can feel if you are alive pr dead,-0.4019,9
Cats do nothing lol,-0.3252,4
Cats have been found to eat the owners face when they die,-0.5994,12
Cats have better senses he can hear your heart beating he knows your not dead!,0.5624,16
Cats know when you die,-0.5994,5
Cute,0.4588,1
Cutest vid ever...awwww 😍,0.5859,6
For interesting facts and market research stats Join us over @WiseWorksww,0.5994,11
"Good job on staying still btw, also his meow is freaking adorable",0.5106,13
Guys it new he was alive... It thought he was sleeping so it laid down like normal cats......,0.3612,20
"Haha...Sparta was looking at the camera and thinking "" is that for real?"".",0.0,18
Hahahah,0.0,1
Hahahahahahahahahahaha Sparta already knows That you just sleep,0.0,8
"Hate Cats, Love Dogs :3",0.5859,7
He cared about you i dont know if he weows that much but he was meowing trying to wake you up and he was nudging you then he laid down next to you,0.2263,33
He felt the warm of your body.,0.2263,8
"He knows you're not dead...You don't SMELL dead, so he figured you decided to take an impromptu nap on the floor like any other reasonable cat would, and decided to join you.",0.7988,37
He must've known you weren't really dead. He didn't eat you.,0.566,13
He only payed down because he knew you were still alove,0.0,11
"He seemed genuinely concerned, but then just went ""blahh, oh well."" hahaha",0.7096,17
He thought you were sleeping xD,0.5859,6
He tried to resurect you with cuteness !,0.5562,8
Hehehee what did we expect ?! A cat calling the amulenc hehehee,0.0,13
"Hes on strike, im on strike.",-0.25,8
How long does the cat live in you're house?,0.0,10
I bet the cat can sense your heartbeat like daredevil,0.4588,10
I cried,-0.3818,2
I did this to my cat and she had no reaction. xD,0.3818,13
I fking cried,-0.3818,3
"I guess the cats hear heartbeat or breathing, so there is no way to play a trick on them",-0.0679,20
"I just love how the cat looks at the corpse and turn its head to the camera to be like: ""Ooooow, I get it !"" 😏",0.5093,30
I love it when he starts playing along XD,0.8893,9
I love u chello ur so cute loving  humans,0.9223,9
I noticed another cat he had 0:22,0.0,7
I think an animal would be able to sense if you were actually dead. So he probably assumed you were sleeping.,-0.6486,23
I think i heard the cat say papa,0.0,8
I tried it and she attacked my face. Little bastard.,-0.7357,12
I tried this on my kid and my son slapped me,0.0,11
"I used to babysit a friend's cat, and sometimes if he tried to get me up too early I would lay there pretending to be dead. He'd just bite my elbow and paw at my hair, or sneeze on me till I got up. He was nobody's fool.",-0.7783,53
"I was half expecting the cat to try and eat him, lol.",0.4215,14
I was waiting for him to move and scare the cat making it jump 10 feet in the air.,-0.4939,20
I would have liked if he peed on you,0.4215,9
"I'm waiting for the animal cruelty comments in here lol!

""HOW DARE YOU TOY WITH THAT CATS EMOTIONS FOR VIEWS! ANIMAL CRUELTY""",-0.8083,26
"If you die,😑Then no one Cares 😒😛😛😛",0.2023,13
In the beginning you could see the concern in his eyes!,0.0,12
It because that they can hear your Heartbeat! (They have 10 or 7 times more Senses than us people),0.0,22
Its like he hops on the counter to call 911,0.3612,10
Just play death too😂,-0.3612,5
Kam dhando karo kuch..aise video banate firte ho..,0.0,11
Katten!,0.0,2
Kitty heard your breathing and heartbeat bro.,0.0,8
Kitty is mirroring what you did. Cute,0.4588,8
LOL!,0.4753,2
Laughed so loud I snorted at work!! Excellent!!,0.8346,12
Let me sleep on it,0.0,5
