,sentiment,wordCount
#lovezach,0.0,1
#teamzach,0.0,1
"**turns on Bluetooth speaker and jams out to Why Don’t We’s Xmas music**
Mom: it’s almost March...
Me: But it’s Why Don’t We...
Mom: Okay then...",0.2263,46
*buhu*,0.0,3
"-1 Daniel
-2 Zach
-3 Corbyn
-4 Jack
-5 Jonah
-6 Jack
-7 Jonah
-8 Corbyn
-9 Zach
-10 Daniel
Last digit of your like is your Brother you flirt with 💘",0.3612,42
"0:46 Yes, yes you do!!!😂",0.7412,10
"1:39 Corbyn killed it ,i like when Corbyn has a gentle voice and i like how Zach sings a high and happy voice,I also like daniel ,jack and Jonah they have a low voice eccept for Jack ,Jack likes to try hard and sing with viberation.",0.836,52
2018,0.0,1
2018?,0.0,2
2018😗😗,0.0,3
2:08 to 2:11 ok i see you,0.296,7
< 3,0.0,2
All 5 of u can kiss me anytime,0.4215,8
All I need to bring me cheer is their voices that brighten up my day,0.7351,15
Anyone else notice they posted this on Beans birthday?!😋,0.0,12
"At first i dont remember all of the members names but now i remember XD jack, zach, corbyn, daniel, jonah",0.8074,24
Biggest fan !!!!!!!!!,0.5374,5
CORBYN is so cute...i love him ❤,0.6682,9
Can i kiss Zach Herron please 😍💕💕💋💋💋💋😍💕😘💋😘💋,0.6249,18
Can't stop hearing This song,0.2235,5
Cobyen. Is the best 👱,0.6369,6
Come to El Paso Texas,0.0,5
Coney and jonesh and jack and Daile and Zack l love you so much,0.6369,14
Cool song,0.3182,2
Corbyn is so cute and adorable and a cutey pie.😍😍😘😘🎅😏😏,0.8868,18
Corbyns birthday is my birthday shook I love you Corbyn  November 25 but I'm not born in 1999 or 1998 2008 see the difference,0.34,23
Corbyn❤️❤️❤️💕💕,0.0,9
DANG JONAH ❤️❤️❤️,0.0,8
DANIEL IS HELLA GOOD,0.4927,4
DANIEL WITH THE CUTE VOICE CRACK❤️❤️❤️💌💨💕💕💕,0.4588,17
Daniel Plays The Cello!!!😍😍😍❤️❤️❤️😭😭💖💖 ( who else loves Daniels smile and voice!!!💖💖),0.8544,34
Daniel always bring the song first like in these girls or something different and this song,0.3612,16
Daniel bloody SLAYED this <3 <3,0.4404,6
Daniel can hit the. High pitch his voice is so sweet😍😘💝🔥,0.0,16
Daniel can play any instrument lol,0.6369,6
Daniel is the best team Daniel,0.6369,6
Daniel ur so amazing at the cello. I play the viola!,0.8205,13
"Daniels voice always gives me chills 🔥🔥🔥and when jonah comes in second JESUS just gorgeouse ,Zack is just and Angel!!corbyns voice is just heaven 🔥Jack voice is just I dunno there are no words to explain it's too good 👍😍😍😍",0.6792,51
Daniels' smile is literally the most beautiful thing,0.7713,9
Daniel❤❤,0.0,3
Even though Christmas is over Im still listening to this song,0.0,11
Everyone like mine if you think Zach is the cutes he's my bf,0.6486,13
"Giving me ""if you leave me now"" vibes and I love it",0.7506,14
Happy birthday Corbyn is your birthday in that song November 25 is your birthday,0.5719,14
Happy birthday day corbyn  2018 today I posted really late and and my birthday is 4 days after yours,0.5719,19
I LOVE YOUU IM GOING TO MEET YOU AT SEATTLE AND HERE U SING💙💜💙💜💝💝💖💖,0.6369,22
I NEVER KNEW YOU COULD PLAY THE ---( IDK WHAT IT'S CALLED),0.25,16
I had to zach was at my school and we had a crush then I woke up and I notice zach is not in school,-0.1531,25
"I just noticed, this was made on CORBYNS BIRTHDAY!!! Happy late birthday lol. Mines on November 19",0.8114,22
I like all,0.3612,3
I literally had tears of joy fill my eyes AMAZING JOB THE VOICES ARE AMAZIING I only know one name Zach you guys are amazing,0.9049,25
I love  Zach,0.6369,3
I love  you  guys,0.6369,4
I love dainel and Jack,0.6369,5
"I love it and you are the best, .",0.8555,10
I love it when Daniel plays the cello❤️💕👏😭,0.7351,13
I love this song,0.6369,4
I love you,0.6369,3
I love you Dan,0.6369,4
I love you Daniel,0.6369,4
I love you guys,0.6369,4
I love you guys your so good at singing,0.8377,9
I love you zach,0.6369,4
I wanna see YOU ALL at EL PASO TEXAS,0.0,9
I will be the bow to your cello I play violin,0.34,11
I wish I could see why don’t we,0.4019,10
I wish i could go to LA so i could see them buy cant becaues i am 14,0.4019,18
I won't to meet u somuch.👤,0.0,8
I would let zack kiss me for christmas,0.4215,8
I'm 7,0.0,2
ILOVEYOU Zach,0.0,2
If you like Why Don't We ur mum gey,0.3612,9
Im falling in love with them,0.5574,6
In,0.0,1
In answer to your question boys yes you most definitely can kiss me this Christmas,0.8297,15
Is it just me or did the snow look fake,-0.4767,10
Is it weird that a am a boy and I love them (voice),0.5423,15
Is there something Daniel can’t do?😂,0.0,10
It looks like Jonah has lipstick,0.3612,6
I’m a big fan of you and your musically is that good,0.6369,14
I’m hottie,0.0,4
I’m real life,0.0,5
Jack #legend,0.0,2
Jack looks hella hot with a scarf😍😍😍,0.0,10
Jonah makes me heart melt. My baby.,0.0,9
Kiss you this Christmas,0.4215,4
Kiss your girlfriend to day WERES YOU BOYS GIRLFRIEND 😬,0.4215,10
LOVE IT,0.6369,2
Lakeview ave 1012 2apt,0.0,4
Lets not pretend like my baby Daniel isn't amazing,-0.5975,9
Love this song spend 12hours watching this,0.6369,7
Love ya guys❤,0.6369,4
M.I.A song,0.0,6
MA BABY DANNN❤️❤️❤️,0.0,9
"MY EARS ARE BLESSED😃😍😏
BY DANIELS AND ZACKS AND JACKS VOICE!!!!!!!",0.0,17
March 2018?,0.0,3
My daughter is in love!,0.6696,6
My fav part 2:07  like if you LOVEEEE DANIEL SEAVEY <3,0.8126,11
My fav part is 1:33-1:45. I’m to obsessed with Corbyn and Zach,0.3182,16
My fav part is from 0:25-2:19,0.4588,7
My mom is looking at me weird cuz im lip syncing and smiling like crazy lol,0.6369,16
