,sentiment,wordCount
"""Person who eats glue in class"" cough cough ""LIZZZA""",0.0,13
"""Something JP dosent see alot of"" xDDDDDDDDD",0.368,9
"""reminds me of that Jewish tradition""",0.0,8
#EarlyPotatoSquadXD,0.0,1
#PotayDoh,0.0,1
#Potaydoh,0.0,1
#davehax,0.0,1
*P o t a t o e s  a r e  d e l i c i o u s*,0.0,22
*Super long* ( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)💦💦,0.0,22
"*uses boxed mashed-potatoes POWDER * “no butter, no milk, keeping is super healthy” 😂",0.4019,19
0:37 giant Hershey lol,0.4215,4
0:57 that was davehax,0.0,4
11pm too and I ate play doh,0.34,7
12:58,0.0,1
12:58 pm,0.0,2
1:16 ME!,0.0,3
1:58 “no that was just weird”,0.0,8
1:59 Yes,0.4019,2
2 am,0.0,2
2:31 Forced comedy is not appreciated.,-0.4943,7
2:50-3:03 was about play doh,0.34,6
3:20 every emo kid including myself,0.0,6
3:26 THICC,0.0,2
6:35 i thought it was a dick,-0.5106,7
6:46 ...that.... :| totally didn't look like something else.... :|,-0.4894,13
6:46 it looks like a dick😂,0.3612,7
"6:47
Only people with dirty minds see it ._.",-0.4404,11
6:47 looks like a penis,0.3612,5
6:48 looks like a you know,0.3612,6
7000000000000.00000000000000,0.0,3
7:07 it doesn't count if you measure it from the balls,0.0,11
801 am,0.0,2
9:19 PM Philippines,0.0,3
Ahhh nothing beats videos of woman putting things in their wide open 👄s,0.0,14
Also when Julia mash the potatoes it looks like she’s making rolling ice cream.The spiral ones. xD,0.743,20
Am I the only one who thought that French fry JP  made looked like a dick when he bite it?,0.186,21
Am I the only that was like DAMN SHE ATE THAT LONG  FRY LIKE A PRO... then in my head I was like BET SHE GOT HELLA HEAD GAME...,0.5859,31
Am i the only person that noticed Julia got new teeth,0.0,11
And I hate arows,-0.5719,4
Are they a couple???,0.0,7
At 3:00 I have and also glue,0.0,7
At 6:48 the arrow looks like a donger,0.3612,8
At :25 does that say 600 million ??,0.0,10
Blitz Nimbus don’t rage u white Texas 7 year old,-0.5574,12
Blitz Nimbus stop swearing h,-0.4939,5
Can you make a pizza pot pie,0.0,7
"Congrats on making the ""List""",0.5267,7
Could you guys make Taco Bell fries please??,0.3939,10
DO GIANT MACARON!,0.0,4
Damn she said your dick is small!,-0.7424,8
DaveHax,0.0,1
DaveHax!,0.0,2
Did she call his dick small at the beginning,-0.5106,9
Did they change from HealthyJunkFood to HellthyJunkFood?,0.0,8
Do Taco Bell nacho fries pls,0.0772,6
Do you drive an evo lancer evolution10,0.0,8
Does no one realize that JP likes to make a arrow in every dough vid,0.4824,15
Eghrfof,0.0,1
Ewwwwwww play dough taste like really like salty how Ik? I've eaten it lol,0.8481,15
FRENCHIP,0.0,1
Fries are from Belgiqua.,0.0,5
Giant strawberry shortcake gangggg,0.0,4
Gloo is good,0.4404,3
"Have you see that when they tell you to subscribe when they click the subscribe button they have 680,000,000 Subscribers. Lol",0.4215,24
HellthyJunkFood,0.0,1
HellthyJunkFood 3/2/18 11:36,0.0,5
HellthyJunkFood I,0.0,2
"HellthyJunkFood India ,Odisha,9.30pm",0.0,7
HellthyJunkFood at my country it’s 8:25 AM!!,0.0,12
HellthyJunkFood is running out of ideas,0.0,6
HellthyJunkFood it is 11:am here,0.0,7
HellthyJunkFood jp won easy and simple(like if u agree),0.8126,12
HellthyJunkFood kkdkckkmd,0.0,2
HellthyJunkFood lmao I am in japan,0.5994,6
HellthyJunkFood make a giant big tasty or cheeseburger,0.0,8
HellthyJunkFood make a sculpture with potato flake paste and fry that up,0.0,12
HellthyJunkFood. Julia goolia 4 the win. Always,0.5859,9
How about FuNNel Vision there dad ate Play Dough,0.5423,9
How come Julia has to take those Over-Sexual bites? Can't JP do it?,-0.36,15
How mutch is for 1 long fry ?,0.0,8
I AM the one that eats Glue in my class ahhahhah it tastes like wood,0.3612,15
"I ATE PLAYDOH BEFORE PLEASE DONT ASK







WHAT DID I SAY!!!!",0.5374,14
I EATER PLATO,0.0,3
I LOVE YOUR CHANNEL!!!!!!!!!!!!!!,0.7482,7
I NEVER GOT THE NOTIFICATION,0.0,5
I ate Plato,0.0,3
"I ate Play-Doh.
I ate glue.
I ate that like button too.",0.3612,15
I ate a whole set when I was four 🤣🤣🤣🤣🤣,0.0,12
I ate play doh,0.34,4
I ate play doh and once glue,0.34,7
I ate play doh before,0.34,5
