,sentiment,wordCount
#CR7,0.0,1
#Cr7mito,0.0,1
#clearcr7fred,0.0,1
#cristiano foda,0.0,2
*Aee a Fera falou do Mengão!!!*,0.0,11
*Assisto esse vídeo todo santo dia e não me canso haha*,0.0,13
*ELE E CHEIROSO?*,0.0,6
*~aaaaaaaaa porra isso é CR7~*,0.0,9
12:38 a mulher levou um susto lá trás ksksksksks,0.0,9
12:40 olha o susto que a mulher toma kkkkkkkk,0.0,9
12:48 CR7 QUASE QUEBROU A COLUNA DO FRED KKKK,0.0,9
3:58 kkkkkkkkkkkkkkkkkkkkk,0.0,2
"6,2 mil que torcem para o Messi.",0.0,8
"A galera ainda fala mal do cristiano, a inveja e uma Bosta mesmo  Parabéns fred",0.0,16
"Achei que fosse o jogador Fred do Cruzeiro, igualzinho.",0.0,11
Acho que o cr7 e melhor que messi mas mano q cara bonito veiu eu sou hetero mas né jao,0.0,20
Adoro o cris,0.0,3
"Ae Fred Parabéns!! Cara vocês deviam entrevistar alguns caras da imprensa esportiva, tipo o Felipe Fassincani, o Mano Borges, Gustavo Villani ia ser massa!! Abraço",0.0,32
Ai ai queria muito conhecer o CR7 é meu sonho (--;,0.0,14
Ai e bom. Vio,0.0,5
"Aí é monstro velho 
Cr7",0.0,5
Barcelona 3 x 0 Chelsea - Melhores Momentos (Globo 60fps)  Liga dos Campeões 2018,0.0,16
Bora cr7,0.0,2
Brasileiro e não é bom de bola haha slc,0.4588,9
"Brasileiro, não sendo bom de bola? 
 ❤❤❤❤❤",0.0,11
C.ronaldo melhor jogador tmj,0.0,4
CARACA PARABENS MEU MANO FREDY.....FELIZ JUNTO COM VC EM CADA MOMENTO DESSE VIDEO!!,0.0,17
COM-PRO-ME-TI-MEN-TO!,0.0,2
CR7,0.0,1
CR7 E MONSTRO !!! HUMILDADE,0.0,7
CR7 SIMMMMMMMMMMMMMM,0.0,2
CR7 anda de chuteira em casa kkk,0.0,7
CR7 humildade de pessoa,0.0,4
"CR7 não é um cara, CR7 é o cara.
#melhordomundo",0.0,12
"CR7 é monstro, esse cara é muito humilde, tem que ser o melhor do mundo mais umas 5 vezes, simmmmmmm",0.0,23
"Cara fiquei imprecionado com a humildade do cristiano,e verdade dedicação e trabalho te faz subir na vida mas o que te mantei la e a humildade.",0.0,29
Cara q sorte do Cristiano Ronaldo estar do lado de uma entidade dessas te amo fredao💚,0.0,17
"Cara você é foda, você é um vencedor! Muito sucesso na tua vida.",0.0,16
Caramba eu queria ir Fred me leva por favor,0.4019,9
"Cesar Augusto melhor em fazer merda so se for,messi melhor da historia",0.0,14
Claro que ele tem mas um sonho ser melhor que o Messi kkk,0.0,13
Como alguém não gostou desse vídeo??????,0.0,9
Cr7 bom demais,0.0,3
Cr7 é foda ! 💙👏👏👏👏,0.0,8
Cris meu crhush te amo cris,0.0,6
Cristiano ronaldo em campo e fora e cr7 e nada mais,0.0,11
Cristiano é melhor jogador que o MESSIMÍDIA e NEYSISMADO!,0.0,10
"Cristiano ótima pessoa, sou fã do Messi mas Messi com certeza ainda é MELHOR dentro de Campo.",0.0,19
"Crlh Fred,porra man! Tu é louco man,o cara tá do lado de uma lenda dessa véi,sonho véi... cr7 cara te amo",0.0,29
