,sentiment,wordCount
3:09 you typed Jordan a second time. 2/10 inefficient,0.0,10
69 views 😳,0.0,3
"AP 02 just this one semester of college, i leave in 9 days",-0.0516,14
"AP 02 studying abroad but i leave pretty soon, spains awesome",0.8922,12
And I'm his Grandpa. Gtfo.,0.0,7
"As Lord Vader would say.....""Impressive.....Most Impressive""",0.5106,12
"Belize, you have Togo faster! Are you Ghana try again?",0.0,13
Can we have colab in the future,0.0,7
Can you still do the gummy reveiws,0.0,7
Cheating!!!,-0.6679,4
Congratulations! I really like your videos.,0.7897,8
Do you have to write the countries in specific order or just any way you like?,0.3612,17
Elis Williams-Huw Damn right my welsh amigo,-0.4019,7
Emet Cohen i promise thats not true,-0.0083,7
Emet Cohen no,-0.296,3
Even I cannot do that in 8 minutes.,0.0,9
Face Cam 👌🏻,0.0,4
False,0.0,1
Fuck all of u,-0.5423,4
Hey I can look at a list of countries and type fast too!!!,0.0,16
How can you be a geography intellectual and not recognize sealand,0.5106,11
"How come your over in Spain, must be pretty cool likes",0.8074,12
"I actually have a video of him at the age of 4 writing and drawing all the US states on a chalkboard in his basement. Trust me, I'm his uncle.",0.5106,33
"I always retype some tiny country in the middle east, USUALLY kuwait, sometimes lebanon or palestine. I also tend to retype some european countries a second time but that really varies on what ive already done",0.0,39
I can type 116WPM this is just my thing lmao,0.5994,10
"I didnt cheat, do you want me to upload a video of me typing it?? Ive known this shit since before I could walk or talk",-0.4272,29
I got 165 countries I’m 11,0.0,8
I like all your videos on YouTube,0.3612,7
I see coke on his nose,0.0,6
Ivan Ozaruk I see a faggot in his video,-0.6597,9
Joe was high during this,0.0,5
Looney tunes does it in less than 2 minutes ---> https://www.youtube.com/watch?v=Csff7XNA8wc,0.0,11
Martin hi 😍,0.0,3
Matt Muldoon Thanks!,0.4926,4
No you don't loser! you clearly were typing off a list,-0.2439,12
Sealand not real,0.0,3
Sexy hunk,0.5267,2
"Skyline I'll explain this here - i start with canada and sometimes work south, always continental north america first, then i either do the caribbean or south america. For the caribbean i do the big countries (cuba haiti bahamas jamaica) then do dominica grenada barbados and dominican republic, then i do the 3 saints and the 2 ands. I then go to france, get europe (microstates too), i go france monaco spain portugal andorra, move on to benelux and the british isles, then iceland, the germanic countries, then scandinavia, all of eastern europe, and usually end with russia turkey cyprus. I then go to asia, type all 7 stan countries, then southeast asia, east asia (china and the eastern countries) then indonesia, THEN i do the middle east. I then go to africa, usually northeast and the sahara (short country names), then west africa, then the gulf of guinea (long names like equatorial guinea and sao tome), then i do all of southern africa and then the african island nations. At this point i should be at 183 countries, otherwise i missed something, but then i do oceania and I'm done usually.",0.0387,229
So you could read countries before you could talk? Unlikely lol.,0.4215,13
Sorry for the reupload - I wanted my face to be in it,-0.0772,13
Sporcle :0000,0.0,3
Sporcle does it still count if he snorted three lines before this?,0.0,13
Thanks bb,0.4404,2
Thanks!,0.4926,2
The gamers 1984 probably when i get back,0.0,8
The typing sounds so satisfying! Great job on your accomplishment.,0.8603,12
"Vat19Nvjds Yeah but I meant that can you type any country there and it will be automatically placed in the right spot? I know that you use specific order to help memorizing, just wondering if the game lets you decide it.",0.631,45
Vat19Nvjds flase!,0.0,4
Vat19Nvjds make more gummy videos plz,0.144,7
Vat19Nvjds that’s lit am from uk so is that you doing that for like college or university,0.3612,20
Vat19Nvjds you are cool and awesome,0.7506,7
Wow. My fingers hurt just watching.,0.1027,8
"Yeah as long as its spelled completely and correctly itll automatically fill it in for you, although sometimes if youre not careful the green names of countries will cover up the orange question marks, so if you end up with like 196/197 countries sometimes you cant even see which one you missed",0.2631,54
Yeah dude spain made me sexier,0.296,6
You're nuts.,-0.3182,3
american education,0.0,2
btw still insane,-0.4019,3
fuckin coked out,0.0,3
keep up the good content:),0.4404,6
mad props man,-0.4939,3
"this guy just named every country in 3 minutes man, recognize that first lol",0.4215,15
very impressive man,0.5563,3
