,sentiment,wordCount
!claim,0.0,2
!claim !rewards !vieira 😂😂😂,0.6093,9
!rewards,0.5255,2
!vieira ... lul,0.0,4
#38 on trending,0.0,3
#buziEA,0.0,1
+ Dries Mertens a che minuti ce prinsipe,0.0,8
+Dries Mertens ok grazie,0.296,5
+FakeDiLegend aka Laziale a che minuto fanno vedere le partite o di fabio o di daniele,0.0,17
"1000 Subs Without Video Challenge I wouldn't mind being a Pro FIFA player, some of the prize money for winning competitions is in the millions 💰",0.7906,27
1000 Subs Without Video Challenge LOL you got burned by Dean Wilson hahaha,0.8143,13
1000 Subs Without Video Challenge yes..😂,0.0772,8
2 из 2 проиграл,0.0,4
3:10 sempre principe denuzzo non lo trovo,0.0,7
49:19,0.0,1
5 am go play ur fut champs until u get a real life,0.6369,13
5 th,0.0,2
6:29:43 он вылетел,0.0,5
7:12:00????????????????????????????????,0.0,6
8:42,0.0,2
A che ora domani?,0.0,5
Aggiungimi come contatto su YouTube. https://youtu.be/addme/xtK20P3gaRuSHNtwpIqfu5td3l3JHg,0.0,7
Ah ok grazie,0.296,3
Amz Its for money tho... And people grind for months to get to these tournaments. Plus its fun to watch,0.5106,22
And? they make money and it's not that bad being nerd nowadays cause it can make u more money then a average person if u were top 100 in one game u would try and compete for the money 100%,0.3506,42
Antonio Boselli non lo hanno fatto vedere,0.0,7
"Antonio Boselli non lo vedono,sono informati dalla persona che stanno con fabio",0.0,14
Are we getting rewards or fifa making us fool?,0.0516,10
Arjen Robben tja... Wa moet ge doen als als ge ni naar het echte WK kunt,0.0,17
Autogol? Why?,0.0,4
C'mon prinsipe,0.0,2
Can someone PLESE tell me if everyone gets the rewards at some point or if it’s like a lucky dip,0.8126,22
Como faz para conseguir as recompensas?,0.0,7
Could someone tell me what the rewards were please,0.6597,9
DJ Jofre hasta el 7 de febrero parece que darán los regalos,0.0,12
De give a me 1 milione di crediti,0.0,8
Dean Wilson stfu nerd go play ur fut chamo u have 40 games remaining,0.0516,14
DensterX certo,0.0,2
Devisu Carlo denuzzo le ha perse davvero tutte?,0.34,9
Dj pipo,0.0,2
Djekam Aicha yes,0.4019,3
DragonInferno99 Ω why?,0.0,5
Dries Mertens denuzzo sta messo male ma speriamo che non mollino daniele e fabio,0.0,14
"Drying paint is more exciting to watch*

It would be more exciting to watch paint dry*

There's not really any need to say both watching and watch.",0.7897,30
E ainda por cima coloca uns caras gagos pra narrar kkkkk,0.0,11
"EA needs to change many things in their next tournaments! 
They should make restrictions like:
-  Max Icons per team set to two (Like the Olympic Games) 
- max 90+ overrall players set to three 
- Games should also be played with normal squads, not only FUT 
- Emphasize on giving viewers tips on tactics / instructions / formations and others ( Most of the time they don't show formation screen or discuss anything apart from dribiling) 
- Work with picks and bans 
- Each player picks a team that can be banned or picked 
- Managers are useless in FUT this is wrong 
- Each player should get a transfer card that allows you to transfer your favorite player to another league you admire! (Example: I like David Villa, but He plays at MLS and is Spanish, I can`t use him at Calcio unless I have spanish or icons, so Every player should get for experience points or freely a card that allows up to 1 Favorite player transfer to any league you desire!) 

Conclusion: 
Games are really boring, players play basiclly the same, have the same players, most of them aren`t affordable, gameplay is very mainstream and monotonus, they don`t look at all as a football match!!! EA needs to keep the game real and make silver and gold players more commun, it would be much better and exciting to watch! Please Consider this We love FIFA but you need to make it worth watching... Only De Gea and Yashin used? this is boring!!!!! Needs to have changes!!!",0.9871,300
EAids! Where is my rewards!,0.5696,7
"Ea é um desastre total, uma empresa milionária que não consegue organizar decentemente uma etapa de jogos online. Muito bagunçado, confuso, desorganizado. Ninguém sabe nada o que acontece. Transmissão horrível! Tenha vergonha EA! Tenha vergonha!",0.0,44
Esta super bueno el video soy fan de FIFA 18 un like si les gusto,0.8271,15
Eu sou o melhorrr,0.0,4
Evan Michel I think they pick people at random,0.0,9
FCRN96 Like kante's shooting... Ridiculous,0.0,7
FIFA18 WORST GAME EVER,-0.6249,5
Fabio ne ha perse 2 su 2,0.34,7
Fate una carta speciale 90+ per astori che è morto il 4 merzo,0.0,14
"Ferdinando Panico ciao anche io porto fifa sul mio canale, che ne diresti di dargli un occhiata? Ti aspetto bro😊",0.0,23
Fhc,0.0,1
Fifa 18 Fifa UltimateTeam Personal Progress Pro camera is for Pro clubs not ultimate team,0.4215,15
Fifa desinstalado no puedo mas. Es mucha impotencia.  No me divierte ninguna faceta del juego. Es mal estar siempre. A mamarla . Solo deseo que los desarrolladores del juego mueran y sus putas familias sufran y mueran despues hijos de puta,-0.5267,45
Final Prinsipe Vs Gorilla like the last year,0.3612,8
Flavio De Marco hanno fatto vedere solo prinsipe,0.0,8
Flavio De Marco non lo fanno vedere,0.0,7
Forza italiani!!!,0.0,5
"G
  £",0.0,2
Game over Gorila puto,0.0,4
God isnt real lmao,-0.2607,4
Gorilla rules,0.0,2
Grazie mille,0.0,2
Great video,0.6249,2
HUP HOLLAND,0.0,2
"Ha, I see you've played knifey-spoony before.",0.5859,9
Harjá molnár gabó !!!!!!!!,0.0,6
Hashtag Ryan should have won Dtekz De Gea was on steroids 😒,0.5719,12
"Hi sinners,

The Bible says that Jesus Christ, who was the Son of God died on the cross for our sins, he was buried and on the third day he was raised from the dead by God. He was seen later on by many people. The word of God says if you believe this you will be saved and will go to heaven when you die.

Neither is there salvation in any other: for there is none other name under heaven given among men, whereby we must be saved. - Acts 4:12

https://www.youtube.com/watch?v=apBjEhATypE
https://www.youtube.com/watch?v=9-z9k_qUHOc&t=5s",0.264,103
Hola estube en twitch y viendo el directo comenrando y todo y no me dieron nada en ps3 ni en xbox one,-0.296,22
How come there not in pro camera mode if these are top flight gamers you would think it would be on separate consoles and screens in pro cam mode like the play though,0.6908,33
How did ps4 players play against xbox players????,0.5204,11
How do I link my twitch and psn accounts,0.0,9
How you did that? Spam the chat?,-0.4329,9
"I Am banned , my club got deletet, Thx ea",-0.128,11
I had watch the stream on twitch,0.0,7
I have got an untraidebel 25k pack,0.0,7
"I'm Ronny ciao anche io porto fifa sul mio canale, che ne diresti di dargli un occhiata? Ti aspetto bro😊",0.0,23
Icanmakemoneyonline.org,0.0,1
Ich wusste gar nicht das es soviele Deutschen E-Sportler gibt,0.0,10
Igor Lima exato,0.0,3
Italiani??? Mettete like,0.466,6
Itialn siiiiiiiiiiiiii,0.0,2
J amerais bien avoir vieira svp EA,0.0,7
Jari Berna_ Latka 5-0 Gorilla,0.0,6
Jay Look up the inconsistent triad my dude.,0.0,9
Kan iemand me tijd geven waar ze comentaar gaan geven tussen de 2 dani’s,0.0,16
Kde os BRs ?,0.0,4
KieronSFF the twitch chat was just cancer,-0.6597,7
Klumsy Kameleon Lol no,0.1531,4
Klumsy Kameleon why?,0.0,4
LONDONS BLUE go play ur weekend league i feel u and I hope u get a real LIFE😍😙,0.6486,20
Like last years final,0.3612,4
Lmao I want my viera or vieira,0.6369,7
Lol,0.4215,1
Ma Denuzzo che minuto gioca,0.0,5
Ma alcuni vedono Fabio sapete come si fa a vedere,0.0,10
Make a pro clubs team tournament not this,0.0,8
"Mamma mia che organizzazione di merda,ad un certo punto manco i server andavano,ea non ti smentisci mai!",-0.3595,22
Man582uel Tm chupame a pila,0.0,6
