,sentiment,wordCount
"""between steph, Harden, and Russell its gonna be about winning, and you have to reward it"" you didn't reward it last year....",0.8957,28
#LAforallstar,0.0,1
#imawarriorsfan but jalen you cant say they are 20-0 when he has a triple double...that is over the long haul..this is for 17-18,0.0,27
*Curry/Harden/Durant/Davis/Cousins don't even start that bs with Draymond or LA*,0.0,20
... Green after AD,0.0,4
2:58 to 3:01 “Jalen is being petty” dude Paul pierce was being so petty about IT😂😂😂😂,-0.3327,21
4 warriors starters and add either davis or cousins vs east .. lets ruin nba for 1 day pls haha,-0.128,20
ALL STAR HAS NOTHING TO DO WITH WINNING. Can jalen stfu with that narrative? Stars from the 12seed have made the all star game,0.6289,26
Adil Ariff and yet he's piping Molly.,0.0,8
Aldridge and Davis,0.0,3
All Jalen Rose does is consider winning,0.5267,7
All Star Game is ABOUT SHOWTIME!(especially the starting 5) Jalen can't grasp that concept!,0.0,19
Also No coach in the NBA going to start WB over Curry/Harden/KD Pierce cmon man.,-0.296,20
Anthony Davis and Lamarcus Aldridge are my picks for the front court.,0.0,13
BBB,0.0,1
Best player on the best team should be guaranteed pick (not necessarily starter). Otherwise record should not matter.,0.8529,22
"Best players in NBA right now

1.kd
2.anthony Davis
3.lebron james",0.6369,11
Blake Griffin is not getting any love,-0.5216,7
"Boogie and AD ain't winning shit ..T Mac love you man but stop hyping losers.."" Why are they so low in the west!""",-0.6162,28
"Boogie is just barely good enough to be a positive on the court, dude leads the league in both turnovers and personal fouls; he literally makes the most mistakes of any all star player, he's inconsistent on D and he's a notable hot head I'd say that AD, Alridge and Draymond are all better and more valuable than Boogie.",0.866,64
Broodie and AD?,0.0,4
Bruh take draymond out and put in KAT!!!,0.0,11
Can’t stand Jalen Rose. That man is such a cornball,0.0,13
Captains pick the team,0.0,4
Come on frontcourt is AD and Boogie,0.0,7
Creekr stay off them drugs,0.0,5
"Curry
Harden
Durant
Davis
KAT

Kylie
Oladipo
Lebron
Giannis
Embiid",0.0,10
"Curry
Harden
Kd
Anthony Davis 
Boogie cousins",0.0,7
Curry 4 mvp,0.0,3
"Curry Harden KD AD Boogie 
Westbrook Butler PG13 LMA KAT
Lillard Draymond.  
If only kawhi...",0.0,17
Curry defense funny as hell,-0.296,5
"Curry,harden,durant,davis,cousins....... Westbrook and draymond can come off the bench",0.0,18
Curry-Harden-Durant-Davis-Cousins Reserves - Westbrook-Thompson-Butler-Green-KAT-George-Aldridge,0.0,4
"Curry/Harden/Durant/Davis/ Cousins
Backup
Westbrook/Thompson & Booker/Paul George/Green/ Towns",0.0,22
Damian Lillard. Give the guy his due,0.0,8
"Damian lillard is averaging 25ppg 5reb and almost 7 assist a game. He should be an all-star. But I get it, the west is loaded with gaurds. But you can't say lillard isn't the most underrated player in the league right now.",0.0,47
"Damien Lillard finished FOURTH in player voting for all-star guards, behind Curry, Harden and Westbrook.  Damien Lillard is an All-Star PERIOD.  End of discussion.",0.0,29
Damn.... Jaylen must be drowning in Molly's pumpum to be talking out of his ass.,-0.5423,17
"Davis and Cousins, as 2 all stars and their team is still mediocre. Damn.
Steph-Harden-Butler-KD-Davis",-0.4019,18
Davis and LA to round out the starters.,0.0,9
Do not mention Lonzo until his team is in playoff contention 🙏ahem,0.0,13
"Doesnt matter who should be in the starting lineup. They dont fucking play DEFENSE anymore. LAME ass bitch.,",-0.8835,22
Donovan should be starting over Curry like seriously,0.2023,8
"Draymond Green are you serious,all star game is not about player stats It's about passion,highlights,nice dunks great shots.Draymond is good player but he is not all star player to be watch.",0.5423,38
Draymond Green is shitty Forreal💯💯💯,-0.5574,8
"Draymond and LA over AD and Cousins?!?


😂😂😂 buggin'",0.0,15
Draymond and LA over Boogie and AD? The fuck?,-0.594,11
Draymond as a starter?? Fuck off Jalen...,-0.594,10
Draymond green is NOT an all star whatsoever. Y'all let his ass sneak in last year..plz not again this year. Only all stars on the warriors are KD and steph.,-0.5423,35
Draymond not an all star you wouldn’t hear of him if he was on the suns,0.0,18
Draymond over AD and boogie??? LMAOOOOOOOOOOOOOOO,0.0,9
ESPN get your shit together on YouTube. You fools have sound problems on The Jump now the video skipping on this video. Do you have donkeys working the video room.,-0.8591,33
Fix ur audio ESPN,0.0,4
Front court starters should be KAT and AD,0.0,8
Funny how Jalen said you must reward winning when his argument for MVP last season didn’t include winning 🤔,0.8979,21
Gen Mac and their first four picks have to be from the starters pool,0.0,14
Gen Mac none of lebron’s teammates will get in,0.0,11
"Gen Mac they can only choose from people voted in, not anyone",0.0,13
Gen Mac u don't know what you're talking about,0.0,9
Gen Mac you obviously don't know how it works lmao,0.5994,10
Green is ASS compared to everyone on the list but yet they still want him to start lol SMH,-0.3645,19
Harden Westbrook Kd  Anthony,0.0,4
Harden deserves to be the leader. Draymond green doesnt deserve to start.,0.0,14
Harden steph kd Aldridge Davis (the west starters),0.0,10
He means their teammates for the ASG.,0.0,8
He's a defensive star and a triple double machine.,0.0258,10
"How is this even a debate?!! Last time I checked, players are bringing their TALENTs into the game, not their record! AD & Boogie are and have been the BEST and most exciting big men in basketball and being apart of that horrible franchise is punishment enough... 

AD & BOOGIE > all other big men",0.7651,62
"I agree with Jalen But I wouldn't put Dreymond as a starter only for the single reason of that it's gonna be basically the Warriors team lolol, that's too much abuse man. We have to give Boogie that spot just to not get the rest of the league and fans pissed at the Warriors 😂.",-0.7845,58
"I can roll with Aldridge, but Draymond shouldnt even be in the game.",0.0,15
I hate paul pierce,-0.5719,4
I just lost all respect for Jolene Rose and that irrelevant woman,0.2023,12
I liked this sehment,0.4215,4
I love these brothas all on set together. They're funny af lol,0.872,13
"I swear the average fan just looks at ppg, apg, and rpg when they try to make arguments for who is better. 

We have SO many advanced stats, and the standard trio is what they go with. 🤦‍♂️

A guy playing 45 mins a game, averaging 30/7/7 but has low efficiency, low +_, and low defensive efficiency is no where near as good as someone playing 34 mins a game, averaging 26/5/5, high efficiency, high +_, and high defensive rating. On top of that, the second player has a much better winning record.",0.964,117
I swear to God if Draymond is named a starter....,0.2263,11
I think they forgot to factor in that the all stars show minimal effort when playing it doesn’t really matter who they start,0.2944,25
I thought it was gonna be mixed not east and west..,0.0,12
I thought it was supposed to be the East vs West All-Stars not East vs Golden State,0.0,17
I thought they stop doing west vs east wtf,-0.7184,9
"I would like 2 see
PG Curry
SG Westbrook
SF Harden
PF Durant
C Davis",0.3612,15
"I'm a spurs guy but got to give Boogie & Mr Unibrow in the front court , they could defend , dribble & are very clutch as well , is like playing with big 1 & 2 gaurds .",0.8174,39
I'm with T-Mac,0.0,3
"If KAT and Jimmy don’t get in we’re gonna have problems, GO WOLVES LETSGETIT",-0.4019,19
If draymond green was not on the warriors you know damn well he wont be considered an all-star,-0.1531,18
If steph starts again this year I’m done with the nba,0.0,13
"If you let the captain choose the team,,... they will ended up choosing their own team mate,",0.0,21
Im a big draymond fan he aint no fucking allstar starter,0.4919,11
In other news the NBA suspended Rockets Azaila and Green so that the Warriors could beat them,-0.4767,17
It just just occurred to me. Lebron to the pelicans next year?,0.0,14
It should be the Warriors' BIG FOUR and Anthony Davis.,0.0,12
It’s sad that u can start 4 of the 5 starters of the warriors in the ALLSTAR game. And they are better than east allstars,-0.0516,28
I’m a warriors fan and Draymond Green is not an all-star,0.3182,13
I’m taking AD then LA Then Boogie Draymond isn’t someone you build around but Big numbers are nice and don’t mean shit without winnning in the NBA so you could still sneak The DPOY and LA in there,-0.296,44
"Jalen !!  really Draymond Green ! Ben Simmons has better stats than him. Ok!  let""s make a switch for Simmons on Warriors & Green on the 76ers ! If Green is an all star in the West then the West is as weak as the East",0.5216,51
Jalen Rose is a STRAIGHT HATER.,-0.2263,7
Jalen Rose is a moron,-0.4939,5
Jalen Rose is smoking dick.,-0.5106,6
Jalen come on man,0.0,4
Jalen is a fool,-0.4404,4
Jalen is stupid,-0.5267,3
Jalen needs to get outta here with Draymond and Lamarcus. There’s no way anyone would pick those guys over the Boogie and AD,-0.296,26
Jalen on crack stop sucking golden state dic*,-0.296,9
Jalen really doesn't understand.,0.0,5
Jalen rose is a retarx,0.0,5
Jalen rose needa stop talking before I fuck around and drop 81 on his asss,-0.7783,15
Jalen rose on crack,0.0,4
Jalen should of said so who would you start your team with Lebron or Jordan the right answer is Lebron then he should of said of so Lebron is better which isn’t true,0.7152,35
Jalen smoking crack,0.0,3
Jalen you trippin... It's boogie and AD,0.0,8
Jalen you tripping the starting 5 is easily Curry Harden Durant Davis Cousins/ Draymond isnt even close to being in that starting 5 and neither is Lamarcus Aldridge wtf is you talking about aint no person in they right mind picking either f them t start over AD or Cousins,-0.1311,51
"Jalen's statements is so disrespectful, and stupid how he can put draymond to a starters?!? im done(",-0.6503,22
"Jalen, just stop.",-0.296,5
Jalens an idiot,-0.5106,3
Jaylan rose always talking foolishness,-0.4215,5
Jimmy Butler bruh,0.0,3
Kat better be an all star cause he having a very similar season to aldridge,0.4404,15
Kawhi overrated. Shouldn’t be a starter,0.0,9
KipKemei Sambu right?,0.0,4
LA! Lets go!!,0.0,6
LONZO BALL EVERY DUNK this season. In my channel!!! 🙂🙂🙂🙂🙂🙂🙂🙂,0.0,16
LONZO BALL!!!!!,0.0,5
"Last year, was westbrook a lock for the starting 5? I can't remember if he was starting 5, or if he was robbed and Curry bum ass started over him even though WB was having an MVP sesaon.",-0.5423,42
