,sentiment,wordCount
""" Mir"" is the russian word for ' Peace. It can also refer to a Russian Spacestation. 
https://sv.wikipedia.org/wiki/Mir

I think what you might be looking for is a "" mirror"" .  [mir-er] 
Hope this helps! <3
/ Sweden",0.9117,45
"""So I literally think that--"" Is that proper english or my english just sucks?",-0.3612,19
#Canadians,0.0,1
$40 for a succulent glued to a plastic dinosaur?,0.0,11
$42 for a dino with a fake plant?!,-0.5255,11
((Ps the first dinosaur that wasn’t a triceratops is a styracosaurus)),0.0,17
"*Window Tint*

Use it for the iridescent mirror effect.

.",0.0,12
"A DIY channel that actually shows their 'less' successful DIY?

What kind of YouTube is this?
#OGDiyGoddess",0.6322,21
A throw pillow costing 38.00 is the real travesty here,-0.5719,10
A+ for the effort lol good try,0.6908,8
"Actually, your pillow and the Dino looked so much better",0.4902,11
Also I think the mirror coating is titanium dioxide,0.0,9
Always embroider with a hoop👍,0.0,6
Amazing job.  Thanks for showing your failures too.,0.5719,10
"Amazon has window tints that are iridescent and really clear and sticky, that would be perfect for this!",0.8217,20
And I'm obsessed with the dinosaure 😍 !!!!,-0.4344,10
Anthropologie please 💕🌱,0.3182,4
Are there people in the world that would actually pay 39 dollars for a neon dinosaur with a fake succulent on the back?,-0.5423,24
Buy irradiance window film on amazon and just apply with water so much better ;),0.722,15
"Can you DIY something like this? https://www.urbanoutfitters.com/en-gb/shop/clarice-velvet-floor-pillow?category=SEARCHRESULTS&color=061 
I really love it and would want something similar in my university dorm, but can't bring myself to justify the £100",0.6132,31
"Can you do 90's inspired DIYs?😭keep it up ladies, I love you❤",0.8126,19
Can you do Australian money aswell,0.0,6
Can you do this with Anthropologie lamp shades????????? (https://www.anthropologie.com/lighting-lamp-shades),0.0,14
Could someone please explain what a 'me-ear'' is😂😂😂. Coz what i saw was a mirror 'mi-rah',0.3182,25
"Cricut has “holographic” vinyl in the color Opal that essentially works as contact paper. It’s very reflective and has the exact iridescent tone you are looking for so I would recommend using that for the mirror instead. They sell it on eBay, amazon, Joann’s fabric store, and micheals craft store among other places I’m sure.",0.6983,69
Did anyone else see the joke version of this on Superdelux called Cheap Thrills?,0.5719,15
Do mooooore 😍😍😍,0.0,5
"Dollar tree has moss. 😛
And always use the 40% off coupons at Michael's that you can pull up on the app!",0.0,25
"FYI PVA/white glue/mod podge does dry between non porous objects it just takes a reeeaaaly long time, I glued 2 layers of clear acrylic together for something and it took 3 WEEKS to go completely clear",0.7739,41
"For that Dino: they actually have that Dino, in that color, in eraser form at target!! So you can just cut it and put the plant in without painting it first :)",0.3578,37
For the Dino succulent the d I y one looks better,0.4404,11
For the mirror get washable markers and mix the ink with water or get sharpie and mix with rubbing alcohol and apply on in a gradient of colours to get the look you want. 💖💖💖,0.0772,38
For the mirror maybe you guys could've done like a thin layer of resin that was colored to mimic the iridescent look?,0.3612,23
For the mirror you should try iridescent sticky film or spray mount.,0.0,13
"For the mirror, I would try taking the film, spraying mirror spray on the back, and covering the front with glass.",0.0,25
"For the mirror, you could try vinyl wrap for car lights. There are iridescent wraps.  I'm going to try it for my daughter's room.",0.0,28
Glass paint in some sort of metallic would probably have worked for the mirror!,0.0,15
"Great effort but the engineer in me begs that as a true BCR indicator to take into account the time spent to search online, go out out to various stores, fuel spent, labour involved etc. Ofcourse it's going to work out more expensive but the point of the show is DIY and you enjoy doing it, also you recycled somewhat too which are all equally important in determining it's value! (Lol sorry to be that person)",0.9402,84
Guess who is doing the pillow one,0.0,7
Her pillow was so good omg,0.5777,6
Hey +thesorrygirls the UO mirror was probably made with dichromatic (gives off that “iridescence”) film that is applied onto the glass— and I’m almost 100% sure you can buy the film and diy it.,0.2551,44
"Hey Sorry Girls. I saw these on Etsy & something similar at Anthropology & was wondering if you could D.I.Y. it better & Cheaper? And maybe have it Function as a Telephone (The one at Anthropology is just Decor) or function as something else entirely?! 

https://www.etsy.com/listing/476693781/pink-rotary-telephone-retro-up-cycled

https://www.etsy.com/listing/252192681/retro-phone-antique-phone-hand-decorated",0.5027,58
Hey girls ! It's super cool that you're giving the price it cost you to make those cuties !! Lots of love from France 😘,0.9507,26
"Hey guys i just wanted to say i like how you guys made your dupes.  I think there is like a spray you can get to spray on the glass to kind a give you that affect you could’ve also taken sprayed adhesive sprayed the actual paper and then laid it on top of the mirror. I know for a fact that there is irredesent  that’s sticky on the back that you could’ve used for that. I don’t know which craft store you went to in your neck of the woods but over here in the US I’ve seen stuff like that. Wish you guys the best, I do hope  you redo the mirror project because it is really cool",0.9775,135
"Hey guys! I love this video so much, and I want to make sure everyone can understand and enjoy it. That's why I wanted to let you know that your captions are a little off.

At about 0:27 the auto-captions say ""how chief we can make them far"" where they meant to say ""how cheap we can make them for"".

When you get a chance, could you fix that? That'll help the 360 million folks globally who rely on closed captions to understand videos. Thank you, and keep up the great work!",0.9688,106
Hey ladies!! Love the video and can't wait to give it a go ❤ I was wondering what your go to craft store is? Do you usually pick things up at Michaels?,0.7306,36
"Hey, this was neat. I'm excited to see more of these!!! :) Keep up the great work, guys!!",0.9317,26
Hi girls! I lived in Montreal some years ago and I miss there so much. Where do you live and how is the weather right now? I'm from Brazil.,-0.2244,33
Honestly the rhino yours looks so much better and is way more better like forget the the price obviously the price of yours is better but say they were the same price I would buy your guys,0.7632,37
Honestly thing your recreation of the dino looked way better,0.7096,10
Honestly your dino succulent looks wayyyyyy better than the store bought  $40 one,0.7096,14
How about using water on the mirror before you put the film?,0.0,13
How are you so on point with these????😍,0.0,12
I actually liked your dino better haha,0.8271,7
I can't believe they are charging $42 for that planter. Ridiculous. You guys made a very cute dupe!,-0.3132,22
I couldn't tell which is Which when you made the triceratop plant holder,0.0,13
I feel like spray paint would have been way eaiser on the dino,0.3612,13
I hate how canadian youtubers have to always explain the difference in canadian dollar vs usa dollar. I understand why they do it because i have american friends and they have to constantly be reminded of this. Get with it USA!,-0.2244,44
"I know this is seriously outdated, but it would be awesome if you recreated the heart of the ocean necklace from the titanic. Great job on recreating the Urban Outfitters decor items! :)",0.9534,36
I liiiiiiiiiike this vediooooooo u r always new and the best😍💖💖💖💖💖,0.0,15
"I like how you still included the mirror diy even though it didn't turn out perfect - it felt reassuring to know even ""pros"" have some issues creating sometimes",0.5271,31
I like so much this kind of videos. Thank you!,0.6476,12
"I like that the pillow isn't quite as smooth and perfect but yeah an embroidery hoop works wonders. They're also super easy to use. The dino was so cute! Lucky find. The mirror was actually alright, but I get that the original may have been manufactured that way so DIY'ing it may not have been the easiest thing.",0.9882,64
I like the Dino and the pillow u guys made better (sry mirror 😂),0.6597,16
I like the diy pillow better because it's more stylized,0.6597,10
I like these type of videos a lot. Thanks for sharing!,0.8172,13
I like your pillow dupe best,0.6369,6
I liked the Dino remake better,0.6908,6
I liked the look of the dinosaur before it was painted,0.4215,11
I love the Dino ❤️,0.6369,6
I love them they were so cute and way cheaper than the ones at urban,0.8429,15
I love this series!,0.6696,5
I love this series! The pillow and the dino turned out awesome!,0.8715,14
I love this!,0.6696,4
I love this! Can you all do Pottery Barn?,0.6696,11
"I love your work sorry girls but there make be an easier way to do this instead of wrapping paper use car lights vinyl. It comes sticking on the back in different colors and its 5.99-6.99 on amazon. It would be perfect for this for this diy. Link below 
https://www.amazon.com/Aumo-mate-Transparent-Chameleon-LightsTint-Accessories/dp/B00QGNMLW0/ref=sr_1_4?ie=UTF8&qid=1519081183&sr=8-4&keywords=car%2Blights%2Bvinyl&dpID=31yekN4HUwL&preST=_SY300_QL70_&dpSrc=srch&th=1",0.9224,54
I loved these crafts!  I would love to see you guys try crafts with felt.  specifically felt flowers/felt succulents or felt flower crowns!,0.8652,28
I loved your dino planter the best  it's very similar to urban outfitters. 👍,0.8442,15
I loveeee the dino! -roberts gf,0.0,8
I luv the Dino u guys crafted more plus it's cheaper!! So ya it's amazing like always👍🏻👍🏻😁😁,0.7991,25
I really cringed at the mirror part if only you knew,0.0,11
I swear I am having dejavu!!! I could have sworn I watched a video from you guys before where you guys made a dinosaur plant holder before. I guess not! I tried to find it but I guess maybe not??? Hahaha. Holy crap I’m losing my mind. Lol.,-0.56,61
I think for the mirror you you need a circle of clear glass then paint one side with some sort or mirror effect iridescent paint. Or maybe at least spray fix the film on a sheet of glass then add mirror paint over that. Mirrors are made from the backside.,0.3818,53
"I think it would be fun to see another ""what can you diy for no money"" or another dollar store challenge!",0.4003,24
I think the original is made with dichroic film,0.3182,9
I wonder how that mirror would look if you just poured sheer iridescent nail polish on it...,0.0,18
I wonder if chameleon color shifting vinyl for car headlights would give the right effect to the mirror.,0.0,19
I'm honestly just so shocked that that mirror and the stupid dinosaur thing cost nearly the same on urban outfitters... HOW!?,-0.5081,24
"Idk why but I was so stressed about her saying ""meer"" instead of ""mirror"" xD Loved the video!",0.816,23
Idk why they care about making it exact    similar is honestly good and the beauty of diy is you can customize to what you want. Definitely making the dinosaurs but tweeting them a little.,0.8047,36
If you could find everything at the dollar store for the dino planter it would be super cheap!,0.636,19
"Im not sure if this would work but maybe for the mirror use some glass with the irridescent film and thos mirror effect spray paints, idk",-0.2688,27
Iove the pillow and dinosaur x,0.0,6
I’m excited to try the Dino planter with other toys like turtles 🐢,0.5994,15
I’m thinking that maybe one could use like a heat gun or something and melt the plastic to the mirror? But idk just a thought...,-0.0772,29
Just found your channel! Love it! 💜💜💜,0.6988,11
Keep doing these!!!,0.0,6
LOOOOVE THIS,0.0,2
