,sentiment,wordCount
"*Can I get 1 subscriber*
Please 😫",0.3182,9
*This girl is ruining her career*,-0.25,8
*YASSS GURL!*,0.0,5
*eh no yuas! Hey! Curçê! Finger! Jusn puppet*,-0.5216,14
*this song Illuminati!*,0.0,6
...,0.0,1
...I think I’m on the weird side of YouTube again,-0.1779,13
0:12 😂,0.0,2
0:14 the middle’s girl’s face tho LOL 😂 😂 😂,0.5473,14
1 hot dog app 2 Katty parry twerking,0.0,8
1018????,0.0,4
1:04 illuminati confirmed,0.0,3
1:21 lumnatiati dress,0.0,3
1:55 lol,0.4215,2
2018,0.0,1
2018!!,0.0,3
2018😙,0.0,2
4:24 at philipinas,0.0,3
69 million views 😏,0.0,4
69 million views(͡° ͜ʖ ͡°),0.0,11
"69,326,315 +620k",0.0,5
69M views,0.0,2
AFFINITY,0.0,1
Aguanta realesa,0.0,2
"Ailoominati shit,fak!",0.0,5
Algum brasileiro kkkkkkk,0.0,3
"Amado o clipe, e a música 💕",0.0,8
Amei porque me espelho nela sou desidida e determinada isso é um imsemtivo para mim AMEI MUUUUUUITO,0.0,17
And now Taylor and Katy,0.0,5
Anyone that says the eye is illuminati it could be but me having egyptian in me it's also egypt,0.0,19
Bitch...!!,0.0,4
California girls where unforgettable Daisy dukes bikinis on top🍒🍓,0.0,11
"Camila Ramirez, 🤦",0.0,4
Cocktail party and the country will have to yb59 you need a hand in hand with,0.8442,16
Damn this song was released as the 4th single like 3 months ago and it couldn't even chart...,-0.0516,19
"Don’t disrespect Joan of Arc like that, Katy",-0.0772,11
Dị thậc đọ,0.0,3
Efchil 8oneye choftha fihyetiyy y5y normalll inty lebsa nta3 masouniyya ye hemla,0.0,13
"Entertainer, 🤦",0.3818,3
"Esa música inspira agente a seguir nosos sonho,nosos corações e isso é maravilhoso",0.0,15
Esto demuestra ke las mujeres somos libres,0.0,7
"Finally! A video that reminds us that when women stuff themselves with fattening foods or have a little extra weight on them it's progressive and empowering, but when men do it they're probably rapists.",-0.8043,37
Follow me plz,0.0772,3
For def illuminati confirmed,0.0,4
"For the Taylor Swift's fans.
If I hate an artist or music the only thing that i do is don't view her video. It's strange see you here, because you are not so hater as you think.",-0.3744,41
Funny video,0.4404,2
Go Katy Perry fuck tayler swift,-0.4019,6
Good,0.4404,1
Good  song😍😗😘😊😋😄😆😂😁😀,0.4404,12
HI I'M JIHAN I'M FROM IRAQ I LOVE THIS SONG,0.6369,10
Hate the haters,-0.7845,3
Hey hey hey you thing I am a little babay,0.0,10
Hey. Hey. Hey,0.0,5
Heyy💙💙💙,0.0,4
How this only get 69M why Dark Horse 2.2B?,0.0,11
I LOVE it,0.7125,3
I Love  this song!!😍😍😍😍😍,0.6988,9
I Love girl power,0.6369,4
I been doing research about celebs illuminati for school.I started w Katy perry music videos.So far almost every video I found illuminati symbolism.and I just started.I tried telling myself that when looking to hard for something your mind will translate everything into what you want to see.But unfortunately I was wrong.shits all real and if u think about it.Its terrifying my eyes are open.,-0.7351,69
I came here for *takis*,0.0,7
I found the second Miranda Sings at 0:13,0.0,8
I like Katty perry,0.3612,4
I love the cringe Katy Perry 😂,0.6369,7
I love to join this party with my jeans and sweatshirt for some takis,0.8599,14
I love you,0.6369,3
I love you Katy Perry,0.6369,5
I love you katy Perry,0.6369,5
I love your Video 💜💙💚💛💟💖💗,0.6369,11
If u hate this video then why are u here? Go fuck urself,-0.802,14
Il y a que des personnes connues de la France,0.0,10
IlluminatI Warrior?,0.0,3
Illuminati Bots .,0.0,3
Iluminatti iluminatti,0.0,2
Is math related to science?,0.0,6
It's not soooo 👍👍👍👍,0.0,6
Its not a single. Just a music video.,0.0,10
"I´m just can imagine to eclipsa butterfly living with his mewman husband shastakan , the hight comission of magic and all people who living in the mewny king´s castle :v",0.0,35
"Josef Barbosa, ❤",0.0,4
Just what happend,0.0,3
Justice,0.5267,1
Jwird ysnye hesxir jexj urdnj yu jjjjhcfyv takis,0.0,8
Katty is real iluninatti 😒,0.0,5
Katty perry  t invito ami cumpleaños  plis por favor  pero no creo q vengas porque  vivo en estados unidos y yo siempre t eh querido conocer pero no creo q vengas 😭😟😭😭😢😢😢😭🤧😳,-0.1779,41
"Katy
K kitty 
a adorable 
t then tall hair - now long hair 
y yes for illuminati",0.7096,17
"Katy Perry can you please make a video with this song 
Song:-

WE WERE, USE TO BE FRIENDS IN THE PAST....
NOW, WE ARE MORE THAN WHAT WE ARE... 

TELL ME 
OH BOY TELL ME 
PLEASE TELL ME , WHAT'S HAPPENING, WITH ME....

AM I IN TRUE LOVE............ WITH YOU..x2",0.9135,61
Katy Perry has become the new lady Gaga,0.0,8
"Katy Perry, Please read this..!
I think, you should Stop ur Business as Idol. Why? Because MAYBE ur Fans become a Haters cuz ur SONG. After u Stop ur Business as Idol, then u can singing again with ur new SUPER AMAZING Song. Katy, im ur Fans since i was 5 years old, im 10 years. I love you katy! I loveee ur song! So Please Read This!!",0.9265,84
Katy Perry😘😚😚,0.0,5
Katy me lembrou Marina Rui Barbosa kkkkk,0.0,7
Katy perry is the best singer,0.6369,6
Katy you finally made a funny one,0.4404,7
Katy 😍😍,0.0,3
"Katy, your such a deviant I'm not surprised if your just like the rest of the wealthy.. a pedophile as well. our leaders and singers actors judges lawyers and doctors are all pedo's its not a secret. the whole world knows... next time u want to mouth rape an idol winner don't show how big of a slut you are and don't.",-0.354,68
Kety love you💓❤❤❤❤💕💋💋💙💗💚💛💜💝💟❤💘❤💓💔💕💖💗💙💚💛💜💝💗💟,0.6369,32
Kuputer ulang2,0.0,3
Love you,0.6369,2
Love 😙😗,0.6369,3
M::::,0.0,3
March 2018,0.0,2
Menuda caca,0.0,2
Miga sua lokaaaa i Love youuuuu,0.6369,6
"Miga, sua loka",0.0,4
"Millions of people from all walks of life have committed themselves to the Illuminati’s global work for the betterment of the human species. By forgoing all divisions of religious, geographical, or political beliefs, followers of Illuminatiam strive to form a planet where all people, in all places, can live in Abundance.Whatsapp the official +13188003095Weblandinitiation@gmail.com",0.2732,63
Music video is dumb,-0.5106,4
My idol Katy Perry,0.0,4
Napoleon coffee? She could have called it Tsar bucks,0.0,10
Nice,0.4215,1
No,-0.296,1
No entiendo ni pío,-0.296,4
"No soul, equivalent of a circus show in 19th century, singing can be omitted or replaced without any difference",-0.296,21
Nope.,0.0,2
"Not just women’s, everyone’s rights.",0.0,11
OMG 😘😘,0.0,3
"Oh, She's imitating to Juana de arco also she have the same hair.",0.0,15
"Ok kids, remember that takis are part of royalty",0.296,10
Omg,0.0,1
Omg this aint he-men song what a scam,-0.5719,8
"Oneida Padilla, no, is Fake.",-0.6486,8
Oooooooooooooooooooo fuming about it it,-0.5719,5
Ops Hehe,0.0,2
"PS: My comment will be deleted fast. EU made new law that everything what is not licking asses of others, especially SJW and muslims have to be by law deleted in 60 minutes or Google end up front of court for hate.
That's stuff. :D
I think that everybody can picture state of totality. And how this fight for equality is actually war against equality. It's just silent war and conquering way.
I feel free as contract. Which can be changed and I can be only informed about it.
Base rights? Well, depends if you have rights for them.",-0.7242,112
Please subscribe channels help me a lot,0.6124,7
Product placement out of place every 30 seconds.  Such a pitty.,0.0,13
Que buena esta cancion,0.0,4
Que legal,0.128,2
Qwow,0.0,1
Rock Lee,0.0,2
"SUPER IS, Enfia à Taylor, no teu cú.",0.5319,11
Secretly u love it,0.6369,4
Selam türkiya,0.0,2
She is in the illuminate group,0.0,6
She looks like xtina in her best time dirrty,0.7717,9
She tried to copy Madonna's custome on mtv 1990 vogue,0.0,10
"Sigit Nugraha, 🤦",0.0,4
Sou fã número 1 da katy Perry sou fã dela hoje amanhã e sempre.,0.0,15
"Subcribe me,music and fingerstyle thanks you",0.4404,8
"Swaggin Everywhere, 🤦",0.0,4
TAKIS LOL,0.4215,2
THE ILLUMINATI ARE YOU SERIOUS??😨😨😨😨 OH SHIT,-0.6072,12
Takis,0.0,1
Takis xD,0.5859,2
Taylor swift is Best Taylor has More style,0.7184,8
Terrible,-0.4767,1
The eye = illuminati,0.0,4
This is my favourite song in the world,0.0,8
This is totally #WomensRights She's just trying to stand out and speek up for Women Rights,0.0,16
This reminds me at melanie martinez😁,0.0,7
This song is so underappreciated. 😢 💔,0.0,8
This video is so inspiring it says that women aren't just hair and makeup and people shouldn't treat women like they are,0.064,22
This video scared the shit outofme,0.2732,6
U SUCK U MOTHER FUCKER SON OF A BITCH,-0.9001,9
Viet Nam,0.0,2
WHY ARE THESE ALL SO WIERD,0.0,6
WHY WHY WHY WHY WHY WHY THE MEMES KATY KM PLZ +FML,0.0772,13
WTF!!??!??!,0.0,9
Well that was.... interesting,0.5859,5
What if fashion never changed and we still dress this way,0.0,11
"What's up , for who that ""Hey Hey Hey "" say (de) ?",0.0,16
When I'm going to by something and I see this down the hallway,0.0,13
When she snaps out of this weird ass phase she’s gonna look back and be like wtf was I doing just like miley,-0.634,25
Who saw humpty dumpty in there wearing a dress,0.0,9
Why did you rape ben glaze?! You support patriarchy rape culture! Did he not win because he rebuffed your sexual advance?,-0.9138,25
