,sentiment,wordCount
""" I feel like I'm barely hanging on."" Wow Adam is so real, really I'd love to hang around him .",0.8889,24
"""I'm not a witch""
""Then why do you dress like one?""

Kylo is taking fashion tips from Loki.",0.5588,24
"""Is your basement leakey"" lol thats what she said",0.4215,11
"""No, I gotta go to the bathroom..."" I'm DYING hahaha",0.5574,14
"""No...Gotta go to the bathroom""
""Im done"" LOL",0.5473,14
"""Where are you Kylo Ren?""
""Here I am""
""Can you believe who my parents turned out to be?? Isn't it shocking??""
""No I gotta go to the bathroom""
""I'll wait""
...
""I'm done""
""You left your c-""
""On three, let's say who my parents were. 1, 2, 3"" 
""Stephen Colbert""
*Rey and Kylo Make out sesh
*Kylo takes a nap with his cape as a blanket
SCENE
love this deleted scene from The Last Jedi",0.7934,105
"""You didn't bring a clip""
""But I brought these""",0.0,13
"""enthenhegoesinthethingand he takes a nap""",0.0,7
"""you didnt bring a clip""

""but i brought these""",0.0,13
"'I am barely hanging on'

Same, let's get married",0.0,12
"(Says bad joke)
Shit...Umm 
(Shows shoes)
""Hahahhahaha""
Sore!",-0.7424,17
"(Stephen says something)
Adam: *Sure*",0.0,10
*Action figures,0.0,3
*Driver,0.0,2
*NOSE NOSE NOSE*,0.0,5
*bUt sTaR wArS iSn'T aN iNdiE mOviE*,-0.5574,9
0:53 That's the Loki in public look.,0.0,8
10 minutes of listening to that voice felt like 2,0.3612,10
"2:40 When Stephen thought Adam was in ""Midnight Express"" instead of Logan Lucky.",0.4215,16
3:43 I love how you can hear Stephen wheezing in the background lmao,0.8442,13
"4:20 ""Here I am"" it's just flat out funny",0.4404,11
"4:25 Rey: WHERE ARE YOU KYLO REN?!

Kylo Ren: Here I am.",0.0,17
4:32 Deleted Scenes,0.0,3
5:03 it is now canon,0.0,5
ADAM KYLO REN😂😘😘😍😍😍😍😍😍😍😍😍😍😍 DARK SIDE,0.0,11
AHHHHH I LOVE ADAM DRIVER SOOO MUCH!!,0.6988,9
"Adam Driver is going to win an Oscar someday. Maybe all the Oscars. I have so much trouble reconciling the same guy playing stoic, yet contradictory emo, Kylo Ren and that crazy Adam Sackler on Girls.  Whoever cast him would have had to look very hard to find bits of Kylo Ren in the Sackler character. Hints are in Girls, but it's so fleeting on the stoic part. It's more obvious when Sackler gets angry and throws things around. Season 2 episode 10 shows a pre-cursor to light saber skills as he whacks his boat apart with a long piece of lumber.",-0.7496,112
"Adam Driver seems like such a purposeful, no-nonsense person. Perhaps even calculating? But his shyness and hesitation in every response is so cute. And he is so honest, almost to a fault. Haha",0.8187,39
"Adam driver: *breathes* 
Fans: OMG HE IS SO HOT I CAN'T",0.0,15
"Adam is a great actor, and he plays Kylo really well.",0.8173,13
Adam is one cool guy,0.3182,5
Adam is so awesome. Makes the other newbies look like crap. Just saying.,0.7304,16
Adam looks like John Wick.,0.3612,6
"Adam seems more comfortable around Stephen Colbert, his wry humour shines!",0.7897,13
Adam would make a good Snape,0.4404,6
"Adam's casual voice with an action figure. ""I have to go to the bathroom""",0.2023,17
"Adam's voice is so dark, deep and mysterious. I could listen to him talking for hours",0.0,18
Ahhhh!!! 😂😂❤️❤️ HE IS MY BABY 😍😍😘😘❤️❤️,0.0,22
"All I can think about:





A REALLY WIDE BOI",0.0,10
Am I the only one that wanted to be that rey doll?,0.0,13
Anyone think of spaceballs when they are playing with the dolls lmao,0.6908,12
Be still my heart 😍😍 he’s everything. Swoon worthy.,0.4404,14
"Ben Smolo. Dear, dear Ben Smolo",0.6369,8
"Best actor and the best character among the new ones, by far",0.8555,13
Best actor since disney buy it !,0.6696,7
Bloody shoes,-0.4404,2
Bloody shoes....I'll stop.,-0.6249,6
DID THEY PLAY HIM IN WITH TORO Y MOI?!?!!?,0.5881,15
Daisy Ridley loves him so much,0.5719,6
Does anyone see a Keanu Reeves resemblance?,0.0,8
Dude I get teenage/young adult Snape vibes from Adam.,0.0,12
FUCK ME. FUCK ME. FUCK ME. FUCK ME. FUCK ME.,-0.9552,15
First Order has Loboutins!,0.0,5
He can be so awkward but extremely adorable! IM IN LOVE,0.9242,12
He is so awkward. It's adorable.,0.3286,8
He is soo awkwar. I love it!!!,0.7249,11
He lied to us- it's fucking shit. Ryan has managed to piss off the fans more the George even could,-0.8479,22
"He looks SO much older on the show, might be because of the mustache. He looks 40 on the show with the mustache and 20 on Star Wars without the mustache.",-0.5574,34
He looks kinda sad,-0.4228,4
"He would also be great as a Marvel superhero character.  He is so sexy,  his body and his voice are so masculine.     #REYLO",0.9055,26
He's so awkward it's adorable,0.3758,5
He's so not into it lol,-0.3252,6
"He's the star of the ST, best written and acted character",0.6369,12
