,sentiment,wordCount
#love,0.0,1
#thissongshouldgetmoreviews,0.0,1
"*Calls YouTube* 
Me: Hello, is this YouTube?
Youtube: Yes, what's your problem?
Me: I think I broke the replay button...",-0.4871,30
*I N T E N S E*,0.0,9
*My Drug*,0.0,4
*This song is my aesthetic*,0.0,7
*a e s t h e t i c*,0.0,11
0:00 you're welcome😊😊,0.0,5
0:01,0.0,1
"0:54, I've heard a similar bg bass  Can't figure out which one :/",-0.34,14
;),0.2263,1
<3,0.4404,1
A E S T H E T I C I’m livingggg,0.0,13
AHHHH. Is perfect.,0.5719,5
AHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,0.0,1
Aesthetic  💫,0.0,2
Ah youtube. My replay button broke,-0.4215,7
Always been a fan since valley girls,0.3182,7
Amo💕,0.0,2
AnXieTy,-0.1779,1
"Anxiety is fkkng horrible, but not this one;
This is fkkng beautiful.",0.5789,15
Anxiety💪,0.0,2
Anyone else thinks FRND is cute and he has a captivating voice 😍😍😍,0.4588,15
"Are we all just gonna sit here and ignore the fact that the last few balloons is literally hinting ""Bella""?",-0.3612,23
BR?!❤⚘,0.0,5
BUTIFULLLL MAKE MORE OF THISSSS!!!🔥🔥🔥❤ ITS FREAKING SICK BROO!!❤❤🔥🔥,-0.8057,22
Been watching u grow for like a year not much but ur growing sooo big!,0.4753,16
Biggest biggest fan,0.3182,3
"Blackbear can do anything, but he can't make bad songs. Wow!",0.8825,14
Blackbear deserves 5million subs to be honest😂,0.0,8
Blackbear deserves more than what he gets ! 💞,0.0,9
Blackbear is my favorite singer/ rapper of all time. No doubt,-0.1779,13
Blackbear is so pretty in pink😍😍😍,0.6269,9
Blackbear tô apaixonada,0.0,3
Blackbear x Marshmellow would be great,0.6249,6
Blackbear your not great or epic ! YOUR LEGENDARY!,-0.5964,10
Blackbear❤,0.0,2
"Blackpink




Kpop fans should know",0.0,5
C U T E S O N G,0.0,8
Can you make a song but with the chainsmokers PLEASE blackbear ;D;,0.6186,13
Collab with Post Malone,0.0,4
Continue you are awsome,0.0,4
"Creo que está canción habla sobre la ansiedad a las Drogas,etc",0.0,13
DO MORE AUSTHETIC,0.0,3
Damn great video and blackbear my man,0.34,7
Did this video almost give anyone a seizure or is it just me?,0.0,14
Did u get a lisp whiles shooting this song,0.0,9
Do re mi and THIS SONG is my FAVORITE,0.5766,9
Dude where are the view and likes 🤧 this is lit 🔥,0.4215,12
Eres autentico...seguro lo sabes....,0.0,7
FRND😍😭😍,0.0,4
For those people who disliked this. Please get some mental help then some back to me when you have some sense of mind.,0.3869,25
Fuck those 1k dislikes. Blackbear you are fucking amazing👏🏽👏🏽👏🏽,-0.7351,16
G O L D,0.0,4
G-Easy is that you?,0.0,5
Ghe,0.0,1
He makes me feel better💪😊 in every song i luv u blackbeard❤❤❤❤,0.0,17
He went from Mansionz Green to DD Orange to Cybersex Pink in 1 year lmao,0.5994,15
Hey black bear I make music vids with my toys can I have your permission to use your song thank you if yes,0.6369,23
I been watching him for ages and I’m so proud he’s getting such a big artist,0.6113,20
I can't be the only one who hears the same beats from botdf Frankenstein+ the bride can I?,0.0,20
"I can't eat i can't sleep i get anxiety when ur not here with me i get anxiety....i can't eat i can't sleep don't know why u can't see you give me you give me give anxiety......




Why did u cheat on me Daniel why!!!!!!!",-0.5647,51
"I feel like a mom when I see him grow as an artist :,) keep killing it booboo ❤️",-0.4404,22
"I have anxiety

Am I cool now?",0.1531,8
I have this on loop for reasons. ;),0.2263,9
"I heard this at rebel and I was like ""yeS BLACKBEAR""",0.5574,13
"I just found him, and wtf this is sounds great 😂",0.0772,12
I just noticed this came out on my birthday and I love this song,0.6369,14
I love black bear,0.6369,4
I love his voice 😍😍,0.6369,6
"I love the song no doubt, but this music video is all over the place.",0.0644,17
I love you rio,0.6369,4
I love your music ahhh,0.6369,5
I want anxiety,-0.1027,3
I want idfc music video >:v,0.0772,8
I'm horny,0.0,2
I'm so happy for you Matthew! You've come so far.,0.6468,12
"I'm so happy to see you becoming more successful & gaining the recognition you deserve, kings only!",0.9092,19
Idfc if they have swearing in them the song r just to good,0.2263,13
Idk how I feel about bear getting bigger like I’m rlly happy for him but he isn’t our little secret anymore,0.4404,25
"If you guys get a chance, check out my friends music! You might like it you never know ✌🏻

https://open.spotify.com/artist/5LEpp8upd5JmSLP8E4Bl1I?si=rDPnRLK5QY6bcUlcqsz54A",0.784,23
Is it a boy or girl,0.0,6
Is there an “Up In This” live video out there?,0.0,13
It’s sounds really good with 1.25 speed,0.4927,9
JoJo FAB. (FT Remy Ma),0.5766,8
LOOOOOVVVVEEEEE,0.0,1
Lil peep X Blackbear needs to happen,0.0,7
Lillian Lo damn that made me think. So basically someone is saying this about him then? If so then damn that's smart,-0.4019,24
Lol,0.4215,1
Lol unless you really suffer with anxiety then you'd understand how fucked up anxiety really is,-0.8526,16
"Lol, I can't believe what passes for music these days. It's pretty hilarious.",0.8271,16
"Lol,k",0.0,3
Love his music,0.6369,3
Love the pink 💕,0.6369,4
Love this song To my crush 🙂☺️,0.5574,9
Luv u blackbear ❤,0.0,4
Mano que música foda,0.0,4
Mary Thorns true,0.4215,3
Mason Upton it depends on who it is and how close u are with ur crush,-0.1531,16
More songs like idfc pls,0.4728,5
