,sentiment,wordCount
#3DG forever 😍,0.0,3
*ADAM NEEDS TO COME BACK*,0.0,7
+18 v-ideos ♥  http://vovecokoyo.blogspot.bg/twfnncgncbh2k3t,0.0,5
+18 vide-os ♥  http://herijayaga.blogspot.ru/o2g32hhoeft8bqm,0.0,5
...🖤🖤🖤🖤🖤🖤🖤,0.0,4
"1
2
3
FUCK YOU",-0.5423,5
"1 Thing
2 Say
3 Days sharting
4 ever it seems like
5 Alive what happened to that drink
6 Teen I smoked a lot of weed
7 Eleven I stole a lot of 40's
8 Teen I had a friend try to suck me off/male
9 Oclock last night I grabbed my cock
10 Was how many videos it took me to cum",0.5859,68
1 Thing 2 say 3 Days Grace 4 ever!!! I love that motto!!!,0.8469,19
"1 thing
2 say
3 days grace
4 ever",0.4215,9
"1 thing
2 say 
3 days grace 
4 ever",0.4215,9
2018?????????,0.0,4
<3,0.4404,1
ACDC Thunder,0.0,2
ADam dude please come back,0.3182,5
"Absolutely awesome!!! Hell ya guys, great music:)",0.6695,12
Adam was so much better !,0.5378,6
Adam?,0.0,2
Agora sim as músicas tão melhorando! Muito sucesso e que continue assim!!!🔥,0.0,17
Always love,0.6369,2
Amazing. It touches me.,0.5859,6
And I never heard about this guys... HOW???,0.0,12
Anyone else feel like this album is like a next gen one x?,0.6124,14
As a guitar player I’m really enjoying this riff!!,0.6459,13
"At the moment, I feel like this...",0.3612,9
Awesome,0.6249,1
Awesome! I was mad when Adam left but they still rock and I like this new singer. He's pretty awesome!,0.9454,23
Badass as always guys keep rockin this keep my spirit up,0.0258,11
Barbara Pal|vin +18 videos ♥  http://biyadihamici.blogspot.bg/qvza6ju4j6qstfe,0.0,9
Best in the album.,0.6369,5
Better than any song on human.BUT OUTSIDER SUCKS !!! Worst album you guys made first album I didn’t like,-0.5871,23
C01t,0.0,1
Chester we all miss you,-0.1531,5
Come back to canada please come to van city,0.3182,9
Cool bros,0.3182,2
Could not imagine to listen to this band without Adam. But must admit it sounds good!,0.6114,18
"Didnt Miley Cyrus make this song for the Hannah Montana musical? ""ITS THE CLIMB"" 
also the mixing on this sounds like ass",-0.25,25
Does anyone think when they listen to three days grace it awesome and rap sucks?,0.6597,16
Eh good but you guys  could do way better,0.7003,9
"Even though I miss Adam and I still listen to him on his own and with Saint Asonia, and even though I miss him being in 3dg... I gotta admit Matt is really, REALLY good. And these songs are also amazing, just like this one",0.878,50
"Every day I'm just survivin'
Keep climbin' the mountain
Even when I feel like dyin'
Keep climbin' the mountain

Another night I'm barely holdin' on
One step away from being dead and gone
Am I alive to die another day?
Is this life that I've been livin'
All that's meant for me?

Every day I'm just survivin'
Keep climbin' the mountain
Even when I feel like dyin'
Keep climbin' the mountain

Every time I think I'm over it
I wake up in the bottom of it all again
I'm still survivin', keep climbin'
Keep climbin' the mountain

The higher I go, the harder I fall
So I don't look down, I don't look back at all
And when I wish it all would turn to black
I try to see the light and push the darkness back",-0.3094,155
"Every song is my favourite, really! That's so fantastic, thank you, guys!",0.8522,17
Ew,0.0,1
Ez egy szar..,0.3612,4
Facility,0.0,1
Fans from Poland greetings! 🇵🇱🔥🔥🔥,0.4753,10
Fernanda ❤️,0.0,3
Fuck I miss Adam.  This song would've sounded waay better.,-0.296,12
Fuck what an album! Fuck yes. Cant say how much I need and love this new album. Thank you.,0.4003,23
Fue la única canción que me gustó :'),0.5106,8
Good shit three days grace still strong,0.6597,7
Goood,0.0,1
"Gotta say, matt exceeded my expectations lol",0.4215,8
Great Music i cant stop listening,0.7174,6
Great jam! !!!To all u  haters we we weren't aĺl born with a golden spoon in our mouth! !!  I work  2 f_n jobs and my girl has  a live threatening disease. I take care of business but every day I climb the mountain.  Well done keeps it up.!!!!! Would like to have you  preform some of my lyrics  ur awesome,0.918,73
Great music,0.6249,2
Great song,0.6249,2
Great work Three Days Grace!!!,0.8306,8
Guauauaua,0.0,1
HOLY SHIT NIGGA,-0.5574,3
Hard Rock,-0.1027,2
Hel yeah,0.296,2
"Hello
I just looking for new music 
I has found 3 days grace 
I am now a new fan :D",0.8455,20
"How can this song be so great, yet the rest of the album is just sad?",0.4838,18
"I DID AN ACAPELLA COVER OF THIS SONG. TAKE A LOOK.
👀https://youtu.be/U--sJzI6KAY👀",0.0,15
I MISS ADAM,-0.1531,3
I Never Heard Of This Band  Before...Until Now 2018 Of March... It Is Nice.....I guess you can  say I am Slow  Cuz There are so many Bands out that Are good That IT Is Hard To Listen To Or Keep up With These Days...,0.3612,50
I can hear Chester / Mark Chavez ??,0.0,9
I can relate to this song as a physics major.,0.0,11
I feel so powerful listen to this,0.4754,7
"I grew up on the old Three Days Grace... this is the 1st song I’ve heard of the new vocalist. And honestly, he’s greatXD idk why people are complaining. If it sounds great, it’s still great. Same with Killswitch Engage, a new vocalist doesn’t make the band worse, just makes it a bit different. And I can’t get this song out of my head and I stumbled across it by accident:p",0.8519,91
I love how metaphorical their lyrics always are,0.6369,8
I love this band so much love you guys and keep playing,0.8807,12
I love you three days of grace 😍😍❤❤😚😚😗😗😙😙,0.7906,17
I love you.,0.6369,4
I needed this.,0.0,4
I remember growing up listening to Three Days Grace and really loving their music. This new stuff is just shallow and corny to be honest. I have no problem with a new creative direction but when you throw your lead singer out like trash at least have the decency to change the bands name.,0.8292,57
"I swear to god, I just hit the damn Punching bag 10x harder listening to this bruhs!!! 💪💪💪",-0.3971,24
"I usually don't comment but, man, this song is ass. And yes, we all know the band essentially died since Adam left - this singer is not as good. However, they did write one good song - Painkiller - (though it would sound better if Adam sang it) - but the rest were terrible. In summation, this song doesn't suck because Adam isn't singing it - it sucks because it is horrible. Sounds like a B-side of some Imagine Dragons rap pop: KEEP CLIMBIN THA MOUNTAIN!!  fuckboy music.",-0.9505,103
I want adam,0.0772,3
I want this to be a WrestleMania song,0.0772,8
It feels like the old three days grace days type of song,0.6486,12
It least this song sounds good.,0.4404,7
It lives,0.0,2
Its a best music to train😎,0.6369,7
"Just keep climbing, just keep climbing.. the mountain thats called depression.",-0.5719,14
Just realized this song is perfect for the game Getting Over It lol,0.7579,13
"Kickass tune,thanks guys!",0.0,6
Kys,0.0,1
LINKIN PARK FOREVER!!!!!!,0.0,6
