,sentiment,wordCount
"""Tell me where you at""",0.0,7
#EXOCOMETOBRAZIL,0.0,1
#exolcambodia     💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚,0.0,4
*ELECTRIC KISS*,0.0,4
*EXO*,0.0,3
"*GOT MY HEART STOLEN*
*BY BYUN BACON* 💙",0.0,12
*I made a reaction video to this* ❤️ Absolutely loved it!!,0.6982,16
*SM PLEASE MENTION THE CHOREOGRAPHER TOO IN THE CAPTION.* Thank you 😊,0.6739,15
*الي ماسك الكاميرا برجف 🐸💔 من جمال اكسو وفخامتهم 🔥👌🌚*,0.0,15
*انا ازا وقفت جمب تشانيول بضيع 🐥🔫🐸💔*,0.0,12
*تشانيول ابو طويلة 🐸😹😹✋*,0.0,9
*فايتينغ 🐥💪*,0.0,5
*مشاهدات الرقصه اعلى من الاغنيه الاصليه 😁💔*,0.0,10
".......I just LOVE EXO, they just better with time",0.8331,11
11:00pm-1:00am,0.0,4
"16,556,066>>16,650,000",0.0,8
"16,667,023",0.0,3
16.552.928⬆,0.0,4
16.590,0.0,1
16.740.563 views,0.0,4
17M🔜,0.0,2
17m pls ><,0.0772,4
"1:45 Xuimin tummy flash, your welcome",0.4588,7
20m 😁⚡Electric Kiss!!!,0.5684,8
593K Like,0.3612,2
AMAZING,0.5859,1
AMO la coreografía y la canción❤️❤️❤️❤️,0.0,14
Adidas pay them,-0.1027,3
Aku luhan,0.0,2
All wearing black but don't say sehun.kkk,0.0,7
Amazing,0.5859,1
Attention to exo-l and new exo-ls this year we will get exo comeback album over 2millions copies without repackage and the repackage we also will get over 1million copies...spread this news to exo-ls out there,0.0,37
Ağaağağğağağağağağağağağaaağğağağa 🇹🇷❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️💓💓💕💕😍😍😍,0.0,32
Babies,0.0,1
Baekhyun the Korean Bacon doe,0.0,5
Beak cute little thing ❤❤ strong  voice and pretty good at dancing too 👍👍💋,0.9029,17
Boom Baam 😁😁😁👌,0.0,6
Boss...Michelle Obama ♪,0.0,5
Bu kadar olamaz ama bu kadar müthiş olamazz,0.0,8
Bun bun https://youtu.be/BC19fhyTG_M,0.0,3
C supone q tengo q hacer tarea y pongo canciones de EXO para no aburrirme... pero siempre termino viendo lo videos envés de hacerla XD 😂😂😂,0.516,29
Can someone send me the link of the mv?😭😭 i can't see the mv i don't know why😭,0.0,22
"Can someone tell me why I can’t buy their 🇯🇵 songs on ITunes, is it regional?  I really want this song.😟",0.1513,28
"Chanyeol and I have those munchkin ears that kind of stick out, even though he isn’t my bias I love him, that adorable child",0.7906,28
