,sentiment,wordCount
"""Now my brows look brand new"" love some Mariah, you slayed it",0.6369,15
*looks up how to like a YouTube video more than once*😘😍😘😍❤💓💕💖💖💕💓,0.3612,24
*not sponsored*,0.0,4
2018?,0.0,2
2:50 that jawline tho,0.0,4
3:31 -3:39 thats so me at school when someone corrects me when I'm reading a paragraph out loud,0.0,18
3:33 I died😂,0.0,4
4:28 he sings better than mariah carey,0.4404,7
4:30 - 4:34 yasssssss jamesssss vocals 6:28 - 6:34 also,0.0,10
5:49- 6:45 was literally everything,0.0,5
"5:53 ""Mary did you know"" Is my favourite song on Christmas. I like your virsion too! !.",0.4738,22
6:10 holyyyy 😻😭❤️🙏,0.0,7
6:20 😮😮😮😮🙌🙌👍👍👍😂😂😂😂,0.0,12
6:33 shook,-0.1027,2
6:37 is James being the best person ever❤️ ❤️❤️❤️❤️❤️,0.6369,20
7:14 ''AlRiGhT ShiStErs'',0.0,7
All I Want For Christmas Is You is so satisfying when you sing it 😍😊,0.6329,16
All I want for Christmas was the best lol to be honest all of them were good,0.926,17
Aly and the new iPhone X,0.0,6
Amazing,0.5859,1
BitCH HE CAN SING 😗🖤,-0.5859,6
Brother*,0.0,2
Brow was the best,0.6369,4
Can u do a cover of Mary Did You Know,0.0,10
DANG JAMES YOU HAVE ME SHOOK😍❤️💍,0.0,10
Damn queen you slayed ALL the songs♥️😄,-0.4019,10
Do an Easter edition,0.0,4
Do another one of theseseseses!!! This was so cool😃,0.0,13
Does anyone know the last song he sang?,0.0,9
Don’t say you’re not good at singing you’re amazing lol😦 and you are so creative wow,0.881,23
For the highlighter u should of sang Let It Go from Frozen but “Let It Glow” 😂😂,0.0,20
"GOOD GOD 😍 You are so multi-talented ugh, insane, you should be so proud of yourself",0.6614,18
HIS SINGING IS 100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,12
Hahaha same!,0.5983,3
He is a very good singer,0.4927,6
He is great at singing and doing makeup,0.6249,8
He just naturally has amazing eyelashes😍😍,0.5859,8
He should be a singer he would be the best,0.6369,10
Hi James can u please do more videos like this,0.6222,10
Hi sister!!! Why don’t u do some song cover sometimes?,0.0,16
How can he make songs up like that on the spot?! Talent😻,0.4199,15
How you improvise all that!!! Love it!!! So much fun!!! James!! Stop it!!! I CAN'T STOP WATCHING YOUR VIDEOS!! I have stuff to do!!!,0.7016,43
I ALWAYS COME BACK JUST TO LISTEN TO ‘MARY DID YOU KNOW’ 😩👌🏻,0.0,17
I LOVE YOUUU,0.6369,3
I am only here for Gaba #GayForGaba also you should do her makeup for a video!,0.0,17
I feel like he should have done mr.grinch as one,0.3612,10
I got chills during Mary did you know,0.0,8
I got chills 😭😭😭😍 this was soo good (don’t mind me watching this in March 😂),0.4404,23
I hope that you get a boyfriend because you deserve one because you are sooooooooooooooooooooooooooooooooooooooooooooo cute and all of your fans especially me we expect that your this way because you are who you are thank you for being my Row model you are the best!!❤️❤️,0.8395,52
I just now saw this! HOLY COW! The Mary did you know was my FAVVV! I love that song too! ❤️❤️❤️❤️,0.7482,32
I love everything about this,0.6369,5
I love his intro,0.6369,4
I love these 💜,0.6369,4
I loved them all but Mary did you know was my favorite.,0.7543,13
I loved when you did Mary Did You Know,0.5994,9
I thought that I could sing I failed,-0.5106,8
I thought this was just gonna be a funny video but it was actually amazing what the heck!!!,0.8412,21
"I was literally shaking when he started singing Marry did you know! Honestly wasn't expecting it, and it was truly amazing.",0.8516,24
I'm watching this in march but great singing sister james,0.7684,10
IM IN LOVE WITH THE LAST SONG U SANG(mary did you know?) for me this was amazing❤️💕💜💚💞💙🧡💛♥️💓❣️💝💘🖤👑💗💖💟🌍,0.7125,43
