,sentiment,wordCount
"""I am mad""
                   -J-Fred,2016",-0.4939,9
# Sam=cheater,0.0,4
#CatMatt,0.0,1
#Dragon ball z,0.0,3
#madthias,0.0,1
*CAN WE JUST PLAY ALREADY MOM??* Oh wow... I love Matthias. 💗,0.8268,18
*SUPER SAYAIN!*,0.0,5
-.- the real games re better,0.4404,8
2:54 IM KAWAII,0.0,3
7:39,0.0,1
7:39 LOL,0.5473,2
7:41-7:52 was HILARIOUS ! lmao,0.8236,6
7:43,0.0,1
8:30 the gun changed,-0.34,5
9:01 no one should trust that,0.2732,6
9:08,0.0,1
<3,0.4404,1
A,0.0,1
All of the kids watching this didn’t get the wand joke I bet,0.296,15
Also maybe yall could do irl parkour challenge?,0.0772,9
Anyone else crushing on sam,-0.3612,5
At 7:39 what does Mathias say,0.0,6
At 8:08 j-fred shoves his gun down his pants,-0.34,10
Best thing about this video: Matt and his multiple different eyes 😂😂,0.6369,14
Blood ain't no liquid,0.2235,4
Bohu prank good prank,0.4404,4
Boobs,0.0,1
Can I be in one in your videos,0.0,8
Cool video,0.3182,2
Do a dragon ball z video and a lot more,0.0,10
Do a vid doing eye drawings and do a story with it 🙏pls😋,0.0,15
Do fortnite irl PLEASE!!!!!!!!,0.0,7
Dude that was funny,0.4404,4
FYI it’s a dart not bullet but I forgive you,-0.1166,12
Find the difference 😜😜😜😜😜😜🤪😜😜😜😜😜😜😜😜😜😜😜😜😜😜😜😜😜😜😜😜😜😜😜😜😜😜,0.0,10
Freak i mean or and so,-0.4404,6
Good job Matt Shea,0.4404,4
Good shoot sam,0.128,3
HARRY POTTER!!!!!!!!!!,0.0,5
Hahahaha,0.0,1
Harry Mathias,0.0,2
He just cracks me up,0.0,5
Hello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello NeighborHello Neighbor,0.0,59
Het matt i get that harry potter joke hahahh,0.296,9
