,sentiment,wordCount
*MONIE LUV* he was,0.0,6
*MONIE LUV* yeah he came she didn’t air it on YouTube she got a VH1 platform,0.296,20
*MONIE LUV* yeah he was,0.296,7
*MONIE LUV* yes he was,0.4019,7
*MONIE LUV* yes he was live stream and all,0.4019,11
+Doraqueen Johnson u sound dumb asf and spiteful.How is having a premature baby karma??The baby ain't die sooo fucc off,-0.1316,24
+Roxy Monroe I agree,0.3612,5
15min of str8 bs. What woman has time to be worrying about making a love video when their baby is allegedly a whole 3mon early?? Worry about the baby dumbo sky not views,-0.1179,37
3 monthe early is dangerous,-0.4767,5
3 months early is dangerous. if it was 2 months early still scary but better odds.,0.1779,18
3 months early means 28 weeks. And your baby will be very frale and will stay in the hospital for weeks. And can possibly die. And ur laughing and playing around????,0.264,37
3 months early..that sucks,-0.3612,6
"3months early is really bad y'all..there's no way that baby is healthy,,,fetty praying for a miscarriage 💯",-0.5799,23
3mths early 🤔 did the baby survive and what was the baby weight? Then her water broke but they trying to keep the baby in I never heard of that cuz normally when the water breaks there's no keeping a baby in there the baby has to come out,-0.5719,50
A Pretty ikr she did that for what reason like anybody cares dumb bitch should’ve left Masika Alone,-0.1027,20
A Pretty 💯✔,0.4939,4
"A month is okay as long as the baby is coming along great,but we talking about a whole trimester which is 3 months, I would be freaking out😨 those last 3 months is when baby organs N limbs be growing",-0.0516,44
"Add me on IG @damnjasmine , specialize in wig customization and installation as well as makeup",0.2732,16
Add on fetty is a immature adult just fucking raw getting girls pregnant bcz he has money stupid stupid wonder who will be next,-0.7783,24
"Alexis is a stupid bitch, Period ! 😂",-0.8172,9
"Alexis was his girlfriend, but Masika was a 1 night stand. So....",0.0,15
And How she think her baby better than his other kids ....shortyy Nah,0.3612,14
Angmarie Cole yes I caught that too,0.4019,7
April Thomas I had mine after I gave birth,0.0,9
Awe I hope they work out,0.4404,6
Awe they cute masika watching this mad af hahahaha thought she was better just because they had a child LOL,0.6891,20
"Awe, HOPE ALL IS WELL WITH THE FAMILY!❤️",0.7755,12
Aww he loves her😍,0.5719,5
Awwwww I love this,0.6369,4
"Because u never needed the child
Only had it to use it as a pawn",0.0,15
Bee extraordinary Actually she does care & is big big mad at Fetty & Alexis that's why she's going off on twitter like she always does she stay booked & busy to be bothered 😕,0.0516,35
Bee extraordinary So what if she’s talking about her hair what does that have to do with anything,0.0,20
"Best comment 
He’s her biggest supporter right now",0.743,10
Best comment I’ve seen 👍🏽,0.6369,8
Bia Bia and Alexis is the #dummy fr,0.0,8
Bitch cant wait to push this child support out her stinking ass vagina type of mammy is this bitch get off social media and worry about talking to them doctors i can’t take this hoe serious...I hope that’s his baby anyway,-0.926,47
Bitch dont know who baby it is but she do know its by a rich nigga smh,0.1406,17
"Bitch you had another baby though. Y'all not even having kids because you want to. Y'all having kids, because the other bm's are. Dumb ass bitches. Somebody got AIDS.",-0.9349,35
Bitchhhhh I know you're 9mths,0.0,5
Bro got 10 kids tho lol 3 baby's coming in 2018 Jesus,0.4215,12
"But technology is better , I'm sure they are able to successfully deliver the baby and help the baby through without  all the complications my baby suffered,",0.7845,28
CP L so fkn what she deserved to lose it???? SMH ppl make me sick,-0.8748,18
Cee Cee i had my baby at 26 weeks and shes healthy and perfect,0.7506,14
Cee Cee i was born at 6.5 months,0.0,8
Cee Cee real early,0.0,4
Cee Cee yes... but guess they in good spirits.  That's good.  I would be scared,0.5927,18
Chimere Walker WOW your so FUCKING SAD to say that’s what she gets not sure how educated you are but please go look up what it’s like for a baby who is three months premature to say that’s what she gets for what?  what did she do so bad for you to say some stupid ass shit like that I’ll decide your mouth thousands and thousands of women videotape the birth of their child so again what is she doing wrong please help me understand because you sound stupid sis,-0.9588,99
"Chloe Cottman I swear that confused me, I’d be sick out of my mind having a premature child.. guess she securing her spot on LHH for that 1200 bucks while that baby sit in the NICU for months",-0.5423,42
Chloe Cottman This is the stupidest comment I've read lmao Why do u think this girl wouldc risk her child's life like That.  She was cute pregnant and seemed happy in her pregnancy. Stop being a quack,0.7506,39
Chloe Cottman girlll!!! You caught it too.. pretty damn pathetic and if I’m not mistaken he has another baby cooking she want that attention.. sad hoe,-0.6971,33
Chloe Cottman i don't understand why lie? Because she looks like a fool with her lying ass,-0.8074,18
Chloe Cottman i think she was tired of being pregnant but thTs any one pregnan,-0.2382,15
Chloe Cottman 🙄🙄 shits ridiculous,-0.6808,6
"Crazeii my baby girl was healthy too she never had any issues inside me but when she was born had to have heart surgery ,was on the ventilator it's a stressful process she was born 1lb 5 oz , my energy just wasn't like hers at all",-0.5596,48
Dawg WAP is a real nigga being there for his baby,0.0,11
Delilah Bergus 😂😂😂😂,0.0,5
Denise Thomas lies y'all see 15-20 mins of video & say he's there for all his kids when it's impossible because they live all over the damn world ask lez & his other baby mama Miami is he a deadbeat,-0.6705,40
Did she call him baby pffffff 😂😂,0.0,8
Did she say “ baby “ 😂😂😩,0.0,9
"Dnt get this generation, and im only 5 years older then her, but if my FIRST child was coming 3 months early, id be in fuckin tears worried as shit, not instagram living, and then have to see people's vile comments, jus wouldnt do it..",-0.9493,52
Does anyone know if Alexis gave birth ?,0.0,8
Erica Cole and my thing is I never said you couldn't have a baby early just like you assuming and she's assuming I am a mother who had a premature child the thing that I'm saying she's lying about ain't no doctor tell her they was going to keep no baby in after her water broke so why you getting on here try to come for me make sure you have your information together before you come for me making yourself look like a fool,-0.0062,85
Erica Cole heifer a day that's not what I said so evidently you and her has comprehension issues I don't have an issue with nobody and I don't have an issue with nobody stay in their opinion,0.0,37
"Everything for clicks and likes  ,she a birdtbrain",0.4215,9
Evil eye is serious and dangerous for baby's. But she's been flaunting being pregnant to get under the other baby moms skin and now going live and that baby is about to be 3 months early....SMH sis you better pray for your child.,-0.5574,47
Eww Fetty!,0.0,3
Fatty needs a baby momma song sheesh 🤰🤰🏻🤰🏼🤰🏾,0.0,14
Ferrari he has herpes,0.0,4
Fetty WAP has a lot of kids but he's there for every last one so can't nobody say shit.,0.5975,20
Fetty Wap has about 8 kids with 6 different black women. This is one of the issues we have in our community. Plus he's not planing to wedd none of them.  Alexis Sky knew he had multiple kids by different women and she gets pregnant anyway.  Fetty Wap will be just like Terrell Owens and Evander Holyfield. NO MONEY AND CHILD SUPPORT PROBLEMS in another 2 years watch!,-0.184,74
Fetty Wap the New Peter Gunz lmao both they ass was on Love and HipHop lol,0.8126,16
Fetty a Pimp tho lol He got the Money and Them Bitches Got the Honey #PopCornPlaya,-0.2732,16
Fetty is a fool talkin like a British man!!😁,-0.2462,12
Fetty seems very immature  so are the woman who allow him to have unprotected sex with them. Just sad I feel for the kids because there is no way he can give them all the attention they need.  But it not me so... 🤷🏽‍♀️,-0.7096,51
Fetty should know all about that he got like 10 kids,0.3612,11
"Fetty the real mvp fuh Alexis right now 
That’s what she needs 
N he’s right there thru her journey 
Stay up Alexis 
God got u",0.2732,29
Fetty too many baby mommas. But he can support all his kids. How can he remember them all. No shade.,0.128,24
Foreal and you know this how?,0.0,7
Get a life pls.... Bitch!!!! thank you!!!!,0.5673,14
Get that test Fetty,0.0,4
"Girl relax , my baby sister was born at 7months your baby fully developed",0.4404,14
Gloria C Her baby wouldn't be 1 pound if she was on time idiot.,-0.5106,15
Gloria C no she's not .lol she showed her due date .when she went for the ultrasound.lol,-0.5472,19
God don't like ugly,0.4003,4
Good luck Alexis and Fetty.And he is a cutie,0.8126,9
Gosh I hate social media.,-0.5719,6
Had a baby at 22 weeks she's 17 and as big and hard headed as can be,-0.1027,17
He does this with all his babymomma's. Another about to have her baby,0.0,14
He gone try to get the wrong bitch Pregnant and He gone catch a Usher Case lmao,-0.4588,17
He just doesn't know that the babies he made are investments. Keep your money up honey!... Because if you ever go broke... I'm just saying,0.0,29
He look more happy with her then Miska ass how ever you spell that shidd,0.1263,15
He never take a DNA test. He always trusting these chicks.,0.4019,13
He said that's not a baby shower that's a baby bath 😂😂😂💀💀💀 OMG lmmfao. You CAN have a baby shower after the baby is here lol,0.4215,32
He seems annoying,-0.4019,3
He so annoying and ugly,-0.762,5
He there and that's all that matters,0.0258,7
He's annoying affff damn,-0.6597,4
He's silly,0.0258,2
He's very childish,-0.3597,3
Her eyelashes r crooked lol,0.4215,5
He’s by her Side that’s all that matters there back together so leave them be,-0.1321,19
He’s so fuckin dumb,-0.5542,6
Him and Alexis was together for a while,0.0,8
HoneySpeaks ummmm yes my son was born  2 months early and I nor My husband was giggling and acting a fool at any time. We were praying and keeping calm with family members surrounding us. This social media and needing attention is just sad. And anyone that says other wise is just as dumb as they are acting. This generation is like the walking dead. Just brainless and highly unintelligent.,-0.5095,76
Hope and pray everything is well! No matter the situation   masika hating tho. I know lez is  sad tho but she so pretty! Good luck,0.9462,28
Hope his money long and he doesn't become a one hit Wonder!,0.4926,13
How can they be like laughing hyenas and the baby's life is a serious matter?  😫Fools... but I wish the baby all the best,0.9201,27
How do you know?,0.0,5
How in tf he excited? He ought to be used to it.,0.34,14
How many kids do this nigga have?🤔,0.0,9
"I  do hope her and the baby are ok, but it's so sad to see that the father is a baby himself. Being parents is more than just the act of conceiving.",-0.6042,35
I KNOW MASIKA DIRTY FEET ASS HATING 😂😂😂😂 #TEAM ALEXIS AND ZELL SWAG BITCH!!!!!!,-0.9333,19
I agree,0.3612,2
"I also had my daughter at 26 weeks, water broke at 25+3 due to PPROM.",-0.4215,19
I been in this situation before i had my first born son premature its a reason she went into labor early.. Either she had rough sex and it thinks her uterine lining out of the was stressing over him  that will cause you to rupture and go into labor early babies can not deal with that ijs but prayers to them both that the baby develops maturely and she will be okay 🙏🏾🙏🏾,0.2382,77
I can see why some of the bm may have fell for him. He has a wonderful sense of humor and probably good sex but each one of them need to quit fighting and accept it for what it is and let him take care of his kids and move on,0.8519,52
I feel bad for this bitch she was doing all that shit to Masika and Bam look what happened see god don’t like ugly,-0.891,26
I feel sorry for her good luck being a single mom,0.6808,11
I had all my kids at 41 weeks. They didnt wanna leave the womb lol. I had to be induce everytime. Im praying for her baby tho. 3 months early is scary. I seen the post she made showing her daughter's tiny diaper. I would be so scared to even touch my baby with her being so small.,-0.3597,65
I had my baby shower after my baby was born lol hope all is well with her some of u comments are idiots saying it's karma and shit her baby still alive! And I hope nothing but the best,-0.2486,40
I had our oldest daughter at 27weeks...my water broke n 2days later she came she was n the hospital for 2mths n came home on a heart monitor it takes a strong individual to deal with something like this I hope you'll are mature enough to deal,0.8472,49
"I have you had a premie baby. No, well I have. Being stuck in the hospital on bed rest, not even being allowed to leave is stressful as fuck and mentally breaks you down. So if being on Instagram live makes her happy, so be it. There is literally nothing she can do for her baby but sit there. The child is healthy. She is doing everything she is suppose to do. Stop complaining.",-0.4854,85
I hope her baby be ok...say what you want but he right there with her.... Telling the nurse whats going on with her and all..,0.2732,29
I just lost so many brain cells watching these kids,-0.3182,10
I know what she going through my little brother and sister was born 3 months early. He wore 1lbs and she was 2lbs and now you can't tell they was that small.,0.0,34
I must admit Fetty may have a lot of kids but at least he's there for them it seems like he's been there for all their births.👍,0.5647,29
I pray everything is ok!,0.5848,6
"I pray for that baby's safety, but i just don't understand this Madness of going live  on  such  amoment,  otherwise you  should be praying for the safety of that baby girl and I think  that  moment should be private .",0.6043,42
I pray for the baby sake but karma a big bad bitch,-0.8834,12
"I pray the baby is in great condition, but her having this baby early probably came from all the shit she was talking about other people’s kids and shit",0.9451,32
I really don’t understand I have been reading a lot of what people are saying and a lot of you sound so stupid first of all just because the baby is premature does not mean something bad like she said her baby is healthy that’s all that matters when I was 19 I gave birth to my daughter 3 1/2 months early yes when I found out she was coming so soon i was scared but after sometime past I was happy that she was coming like what else was I supposed to do just sit around and cry the whole time like it was going to change anything because it doesn’t so instead I had family and friends there and I celebrated no matter how far along I was or how big or small my daughter was going to be didn’t matter because I know she was healthy and it was a celebration of  a new life so like what most people do when you’re giving birth I took a lot of pictures and videotaped it because it was a happy thing I was becoming a mother and that was the best day of my life there are thousands of pictures and videos online of women that have given birth so I don’t understand what is the difference now that they r doing it how can people say she’s looking for attention or how she doesn’t care about her baby all kind of  BS ppl say she’s doing SMFH at the end of the day she’s doings exactly what thousands and thousands of other women have done if you’ve never been in this situation don’t assume how you would act second of all people just need to stop assuming shit especially about people they’ll even know because it makes you look stupid,0.9819,329
I think he really liked alexis more then masika,0.4754,9
I think this bitch wanted to get prego just to get back at masika...welp bad things happen to messy and bad ppl...,-0.9231,25
I want them back together,0.0772,5
I was born 5 weeks early. 4lbs 6 oz :)),0.0,12
I was born early and still living a healthy and beautiful life.,0.765,13
I was premature too. I hope that baby is gonna be alright 🙏🏾,0.5994,15
I was so thinking the same thing my grandson was six weeks early and barely weighed three pounds and it was a crazy serious experience so im like how are you up in here laughing about this!,0.553,38
I was thinking the same thing. I would've been scared out of my mind. A life and death situation is happening and they don't realize it.,-0.7783,29
I'm actually very worried for her baby. We will see what comes of this 😶,-0.3597,16
I'm so sorry to hear that you went through that.,-0.1513,11
If she was resting and relaxing instead of posing for the gram maybe it'll be different.. when pregnant learn to take it easy,0.7269,24
If she would sit down somewhere she will be fine .,0.2023,11
Im praying for alexis sky and her baby.,0.3612,9
