,sentiment,wordCount
"""who could possibly replace her?""
Google Home. =]",0.3818,12
#JusticeForAlexa,0.0,1
*They should do a year long campaign about finding her a voice. And every voice they try sucks and they keep looking. Then one week have let a lucky fan be the voice for the week. Make it the THE MOST IMPORTANT VOICE ON EARTH*,0.7318,50
00:17 is that Ajit Pai in a wig? This all makes sense now with Net Neutrality.,0.0,18
0:18 rip editing 2018 - 2018,0.0,6
0:20 wtf? Who is in the foreground?,-0.6322,9
"1.) This is the Internet. I could claim I'm the head of the CIA and you couldn't rebut that. Also, you running a company doesn't even mean anything in the context of the discussion we're having. It's completely irrelevant!

2.) I don't give a flying fuck about the little differences regarding technological intricacies. I give a fuck about the dangerous possibilities that can arise from having an always listening entity in your house that's connected with the internet. If you and all the other sheep don't see a problem with that, then you deserve to be monitored. If you seriously don't think the NSA records everything you say on devices like the Amazon Echo, then you are simply blissfully unaware of the harsh realities we live in. Even if it's technically not wiretapping, I think you do possess the mental capacity to understand what I mean in correlation to the altercation we're having regarding the topic at hand.",0.7311,175
2nd April? A bit far away but I'm willing to wait,0.0,12
786theunique it sucks in austin.,-0.3612,6
"A reminder about Amazon: Jeff Bezos is the richest man in the world, literally.  Meanwhile, his employees ""pee in bottles"" in order to make their trips slightly faster so they aren't fired from their low-wage jobs.
http://www.news.com.au/finance/business/retail/amazon-drivers-urinating-into-bottles-to-keep-up-with-delivery-demand/news-story/3134b43503420cdfbbf2d7e86de39768

Maybe we can stop glorifying this exploitative company.",0.8586,53
A teaser for a commercial.  What a time to be alive.,0.1531,13
Abhishek Pandey Alexa is replaced by the one and only Jaimie Alexander!,0.0,13
Abhishek Pandey or maybe Emma Stone since all three have the same voice but are similar that would’ve been a better choice for a replacement,0.5927,27
Ad- ík oh yeah,0.296,5
Add support for BR-Portuguese please! =),0.8172,7
"Ah, supper-bowl commercials. The only time regular commercials actually try to be as clever as Vat 19's.",0.4588,22
"Alexa asked me if I want to die, unplugged her after that!",-0.5983,14
"Alexa is a spying device. Wake up. Are you a ""terrorist?"" If not, you'd better reclaim your right to privacy. Big Brother, the NSA, wants to know everything you say, and hear every peep and squeak you make.",-0.3412,49
Alexa only stops using her voice when you ask her about her involvement with the CIA,-0.1531,16
Alexo,0.0,1
All real people hate Alexa.,-0.5719,6
Alpha Whiskey song,0.0,3
Amazon Austin HQ Confirmed,0.1779,4
Amazon did not lose her voice Liers,0.4512,7
Amazon rules!,0.2481,3
And accuses you of sexual harassment.,-0.7096,7
And....the replacementa are Google Home,0.0,7
Another snap-happy employee!,0.0,4
"Are they getting rid of that feature? Damn, I like it!",-0.126,14
Are we just going to ignore the fact the women at the beginning leaves the water running when she brushes her teeth? Amazon hates the planet confirmed.,-0.5719,29
As a follow up to this video we'll learn that she got fired for her smirk.,-0.5574,17
Austin got it!  whoot!,0.0,6
BUT I LIKE THE CURRENT VOIIIICCEEEE,0.5023,6
Because you're four?,0.0,4
Bennyswag01 he's dead,-0.6486,4
Best ad ever,0.6369,3
Bet it’s gonna be a man version of Alexa,0.0,11
"Bezo's expression to girl's uncertain and unsure reply are perfect. Anyone who works in Amazon HQ knows that you cannot reply like this in the meetings, because expectations are much higher.",0.0232,34
Bezos is an evil creep.  I never buy anything through this scumbag.  He's shutting down stores and pushing his scumbag agenda through the Washington Post... he is a SOROS cohort.  His FAILING company all of a sudden came back through... drum roll... the OBAMA admin subsidizing his @ss.  Keep drinking Kool Aid morons.,-0.971,61
Bezos is scary.,-0.4939,4
"Bezos, just give us five minutes with you on National television.",0.0,13
"Bezos:  ""Well, you fixed her coughing, but now she's laughing creepily.""  ""Can you fix it?""
Tech gal: ""Duh, yeah!""",0.68,33
Branson Lee 😂😂,0.0,4
