,sentiment,wordCount
"""rough and rugged"" *measures spaces with a toothpick*",0.0,12
"*Looks At Thumbnail*
(Me) Oh my gosh! It’s so big even almost bigger then everyone!

*Reality*
(Me) ._.
(Me) it’s not that big 

*cricket noise*",0.0,45
*the* *guys* *need* *to* *learn* 😒,0.0,16
...she's right about it being cold in Toronto... (sigh),0.0,13
"2 of my fave things in the world. Mint and Chocolate 😍😍😍


MY WHOLE FAMILY HATES MINT. MY BF HATES MINT. MY FRIENDS HATES MINT. 



BUT THAT'S OKAY. IT MEANS MORE MINT FOR MEEEEE",0.2183,41
@How To Cake It -  Can you please make a rum & chocolate flavored cake? Not the North American version of Rum & chocolate where they use Rum instead of simple syrup rather the Indian version of Rum & chocolate cake. Thanks.,0.6369,45
A oreo cake,0.0,3
A strawberry mega cake or a divine chess cake would be brilliant,0.8126,12
Also I'm making this cake for my B DAY WHOOP WHOOP,0.0,11
Anyone else eat oreos during this,0.0,6
Atalina Francois ?It’s more dramatic with the Oreos and mint patties whole.,0.0,16
Bake me one. NOWWWWWWWW,0.0,5
CAN YOU PLEASE MAKE A SHIRT WITH A CAKE ON IT THAT SAYS “YOU WANT A PIECE OF ME?” I WILL BUY THEM,0.3818,26
Can you make a BTS cake please!,0.3802,8
Can you make some pancake art for next Tuesday/pancake day please?,0.3182,14
Canada has some weird names for their candied,-0.1779,8
Challenge: eat this cake then brush your teeth,0.0772,9
Clickbait,0.0,1
"Clickbait at its finest 




🥘 FOOD🍰🎂 EDIT: (I mean the thumbnail)",0.0,16
Could u use milk chocolate?,0.0,6
Could you add peppermint extract or essence to the simple syrup to make it extra minty?,0.0,17
Did anyone else notice the dollop of butter cream Yo threw at the table?,0.0,15
Did he ask if the cake was good? OF COURSE ITS GOOD! YOLANDA GAMPP MADE IT!!!,0.8272,21
Do a clab  with Rosana  Panseo,0.0,6
Do a silme cake,0.0,4
Do you ever finish he whole cake,0.0,7
EVERYONE LIKE IF YOU THINK HER AND ROSSANA PANSINO SHOULD DO A COLLAB!!,0.4738,15
FREE DIABETES!!! Bu6 one get one free! 2X the Diabetes!!! (Lol JK,0.9029,20
Firt much 😂😂🤷🏽‍♀️,0.0,9
GIANT APPLE CAKE IS GOOD,0.4404,5
Guys: Yes yes yup yeah,0.765,6
Hello Yolanda my daughter absolutely love this cake channel she sends me all your lovely cake vedeos!! Thanks again for sharing Mya I love them all!!💖😍⛤⛤⛤⛤⛤,0.9668,35
"Hey yo, you should try to make an Easter cake without fondant (since Easter is on April fools this year)",-0.4939,23
Hi I am a big fan and I want to ask you to make like some cakes FOR baby showers,0.6249,20
Hi I'm Leah  I'm new,0.0,5
Honestly I feel the love in every single thing she makes! Keep doing you girl!,0.8309,17
"How To Cake It 
You call it an 'Offset Spatula' 
But you use it ON THE SET
I'll see myself out 😂",0.0,24
How To Cake It   SO   MUCH     CHOCLATE  how u make these cakes did u go to cake school!?,0.0,20
"How To Cake It  queen  Elsa  dress  doll c ake    Moana  Cinderella   snow   white     brave  Alice in wonderland mula   the  little  mermaid  despicable me 3  beat and the  beast    lil and  stitch  and   Pocahontas     cruella   from  1o 2  dalmtlans going  to the  dogs   paeter  pan  tangled  Pinocchio    lady   tramp   finding  dory    the  Lon   king  toy story  2
 Finding  nem    go to  cup cake s stop   Tuesday  morning   at  10 pm",0.296,70
How To Cake It I,0.0,5
How To Cake It I know I'm late but I think you should make a cheese csme shaped like an actual cheese,0.5023,22
How To Cake It I love mint and chocolate together find anything with them both in I take it and it’s mine,0.6369,24
How To Cake It PINK LEMONADE!!!....or The choc mint freakshake cupcake Cake (thats a long name lol) Or maybe the......AVOCADO....IDK ANYMORE,0.0,32
How To Cake It fuckin whore,-0.6486,6
How To Cake It make more videos you just don’t make enough I love your videos but u watch them all I want you to make more please!!!!!!😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😫😩😫😩😫😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩,0.6391,43
How To Cake It please make a cake with blue berry’s flavor please !!! ♥️♥️♥️,0.6679,24
How To Cake It you should make a cookies & cream cake,0.0,12
"How come you didn’t use peppermint chocolate ice cream?
Also your cakes are heaven on a cake  🍰🍨",0.5106,22
"How do you come up with these ideas? Also, can you make a red velvet cake soon?",0.0,20
I WANNA EAT IT!!!!!😱😱😱😳😳😳I love mint!,0.7482,17
I always have to grab a snack when I watch your vids! They make me hungry😋,0.0,18
I could throw someone off a cliff onto your cake and they would be IMPALED,0.0,15
I hate chocolate,-0.5719,3
"I hate mint, But somehow that cake looks delicious",0.0,10
I hate peppermint chocolate😶,-0.5719,5
I hated her when I was watching this bid cause everything was like my fav food but yet still love her,0.7876,21
I have a question for you have you ever dropped a cake,0.0,12
I have the exact same thing that you call a bench scraper and I still can't get the icing to stay still,0.0,22
"I haven’t watched u in forever!!! I miss it and can’t believe I stopped watching but bcoz I was gone quick question, where is Jocylin?? Sorry for butchering her name!!",-0.5312,42
I just love this video,0.6369,5
I legit thought she said throw your drugs at the cake 😂,0.0,12
I like ur teacheart,0.3612,4
I like your T-SHIRT,0.3612,4
I like your T-shirt,0.3612,4
I like your shirt.,0.3612,5
I love aro,0.6369,3
I love chocolate and mint too😍,0.6369,7
I love it that she's making cake cause who doesn't love cake and shes funny,0.9062,15
I love it when she said “ OK ok ! “,0.8633,11
I love mint chocolate chip!!!!💕💕💕💎,0.7482,12
I love pepper ment padies,0.6369,5
I love you're shirt,0.6369,4
"I love your creations and i'm baking this cake right now. Well, I'm trying to. I have to convert all the measurements to gramms and millilitres. It would be so great, if there was a version of your cakebook with european measurements.

Since we don't have Mint Oreos in Germany (unbelievable, I know) I'm using the ones with chocolate filling. And we don't have Mint Aero chocolate, either (even more ridiculous, I know), so i'm using chocolate-mint sticks instead.",0.9071,95
I love your videos you’re the best your cakes look so good,0.9208,14
I need ur recipe plz,0.0772,5
I really want cake,0.1513,4
I thought she made a super big cake,0.5994,8
I was craving chocolate watching this video,0.0,7
I was drooling at those after 8s,0.0,7
I will await the day you make an anime themed cake😶,0.1027,12
I'd love to see a cherry mega cake someday!,0.6696,10
I've never heard of After Eights but I wanna try them! I'm in Michigan so I might have to cross the bridge into Canada for some candy lol.,0.6114,30
IT LOOKS SO YUMMY,0.5709,4
Idk if she was more excited over the cake or making the guys clean.  😂😂😂😂😂 I'm dying here,0.6115,21
It’s called a mince,0.0,6
"It’s not really a mega cake, but I loveeeeeee it!!!!!!",0.0,16
It’s official. Yolanda is the Bob Ross of cakes. 😂,0.0,14
It’s raining chocolate just outa the sky just open your mouth and close your eyes...,0.0,18
