,sentiment,wordCount
#wellsee,0.0,1
& we'll see,0.0,3
& we’ll see!,0.0,6
"(Cussing ahead)
One time me and my mother were going on Spirit from Colombia back home, and the fucking ticket lady wouldn't let us get in the plane because our handbag was too big(not true it fit in the measuring box thingamabob) and the plane was getting ready to leave. At this time I was about 8 or 9 years old and.. I started crying because i thought since the lady wouldnt let us on the plane we were never going home. My mother even went up to the manager but she was all like ""Sorry but Its not my job or problem."" Me and my mom were both mega pissed at these bitches. Then, this really nice man offered to take our handbag on the plane, and THE FUCKING TICKET LADY LET HIM GO ON THE PLANE!! Then, we go up to her and she's all like "" thanks for choosing spirit. Have a nice flight"" finally letting us on the plane. I was so ready to be like bitchimafuckyouuphereandyou'retellingustohaveanicedaywhattheactualhell, if i wouldve known those words, but my mom like a wrecking boss turns around and says""Don't worry, because the best flight that we are gonna have is not going to be with this airline."" #roasted. So we hurried on the plane, the man gave us back our handbag, we flew home, and never rode on that airline ever again. My brother girlfriend went on the airline a few years later to visit us, and after boarding, the flight wouldnt take off. After 4 hours of waiting, the flight lady said that the flight was cancelled, no refunds,and they were stranded. She and another lady with son had to take uber all the way from fort Lauderdale to orlando. I loved this video, because more people agree that spirit airlines is a piece of horse bullshit, and its true.",0.9874,355
*-we'll see-*,0.0,6
*Grab's popcorn and say's* okay time to read the comment's☺,0.2263,13
*W E ' L L   S E E*,0.0,10
*W E ' L L  S E E*,0.0,10
*W E ‘ L L  S E E*,0.0,10
*WE'LL SEE*,0.0,4
*We'll  see* - Janice's famous last words,0.0,9
*We’ll see!*,0.0,7
"*We’ll see, we’ll all see.*",0.0,13
*will see*,0.0,4
.,0.0,1
0:26 “here’s your speeding ticket for doing 500 in a 55 zone.”,0.0,17
"1:22 That can't be possible, the plane wouldn't be able to take off.",0.0,15
1:23 frontflips on the ROAD,0.0,5
1:42,0.0,1
"1:42






we'll see",0.0,3
"1:45 and 1:46 the faces


We'll see😜😜😜",0.0,10
1:47,0.0,1
1:47 the face that you make when you think it’s Saturday but it’s actually monday,0.0,19
2:00 new motto,0.0,3
2:06-1:40  Well See,0.2732,4
2k dislikes must be spirit airlines,-0.25,6
"8 spare seats at the back, no 500kg person at the front, its alright, nothing will happen",-0.0516,20
AWESOME!!!,0.7163,4
Amazing,0.5859,1
An' We'll see,0.0,4
And DRIVE You,0.0,3
And I think Janice was causing the weight distribution issue. I mean she looks like she would,0.3612,18
And im going on spirit airlines in a week 😑,0.1779,10
And my father is A flight attendant for Spirit. And I was on this flight. A weight distribution issue is normal.,0.1779,24
Anyone Notice Those Windows Are Fake At 1:01,-0.4767,8
Awesome video XD,0.8636,3
Awwwww that cockroach in the end is so cute 2:09,0.5949,10
"Best part 10:30.     





TROLLOLLOOLLLOOLLLOOLLLLOOOLLLLOOOOLLLOOOLLLLOOOLLLOOOLLLOOOLLLLOOOLLO",0.6369,5
Best roast eva.,0.6369,4
Brent Pella  bhmkkkjjjhhhh,0.0,3
Brent Pella  if Spirit Airlines would have saw this they will ban you and you know.. Sue you,-0.4404,19
Brent Pella I,0.0,3
Brent Pella Just watch that! It was amazing!,0.658,10
Brent Pella b,0.0,3
Brent Pella hi,0.0,3
Brent Pella ok,0.296,3
Brent Pella where can I find more of your stand-up comedy acts?,0.3612,13
Canadian Airlines are the 2nd worst,-0.6249,6
Damn Janice is thicc,-0.4019,4
E,0.0,1
"Emily P It's a joke and plus many airlines are Terrible even Spirit , but especially United and Delta",0.6174,19
Emily P That's the joke your thinking to hard chill out,0.2023,11
Emily P Then don't comment it your just asking for trouble it's not an opinion to say this is insulting but your asking us to tell you why you are right when your in the wrong just shut up already,-0.7964,40
FINALLY SOMEONE AGREES SPIRIT AIRLINES IS STUPID THEY'RE PACKAGE CHECKING MADE MY MISS MY FLIGHT AND I HAD TO WAIT 10 HOURS,-0.3612,22
First time watching your channel.. and ops I subbed,0.0,10
Fly with us and well see,0.2732,6
"Fly with us...




AnD wE'lL sEe",0.0,7
Flying with them this summer... pray for me...,0.3182,10
Fricking Janes,0.0,2
Friend: Let's go to Motel 6! Me: You mean Spirit Airlines? Friend: OH NO **Runs**,0.6661,24
Fuck spirit and Frontier,-0.4215,4
Funny AF!!,0.5399,4
Getting a real Jhonen Vasquez vibe from this animation.,0.0,10
HEY THANK YO SO MUCH FO MOVIN,0.3612,7
HI FRIENDS! We just put out a NEW animated stand-up cartoon called THE WEIRD KID - check it out on my channel and make sure to Subscribe for new comedy videos every Tuesday! Feel free to follow me on Instagram for more funny things - @BrentPella. Have a good week!,0.9474,54
Hahahhahahahah,0.0,1
"Heh
*WE'LL SEE*",-0.1531,5
Hehe me ever flying with Spirit Airlines... We'll see!,0.2481,11
Hello this is JANICE,0.0,4
Hey at spirit airlines is a lot better than American Airlines because American Airlines became a dick to me,0.0772,19
Hilarious.,0.4019,2
I am dying of laughter 😂 😂 😂,0.4939,8
I can relate to their pain so much. Spirit really sucks ass oof-,-0.8357,15
I don’t need no planes * the floating islands just let go of each other and I walk to the other island after it locked in place I buy something and I come back to my house * k I’m back,-0.296,45
I flew on spirit. Oh my lord. It is was terrible.,-0.34,14
I guess they ruined your spirit,-0.34,6
"I had a project where we had to travel and I found the cheapest was spirit.


It’s great for projects.",0.7003,24
"I hate spirit airline :||
You have to pay extra moneh!! :<",-0.7955,16
"I have a video of a typical takeoff and landing with Spirit Airlines on my channel, go check it out",0.1779,21
"I have no words 




Not at all",-0.296,7
I haven't laughed once,-0.357,4
I just flew on spirit wasn't as bad as I thought,0.5499,11
I just got back from a flight on spirit,0.1779,9
I laugh so much,0.5574,4
I like knuckle head airlines,0.3612,5
I look like zeek Meeks,0.3612,5
I lost it at “front flips”! This guy is hilarious! How is this the FIRST TIME I’ve ever heard of this comedian?! He’s great!,0.7696,35
I lost it when he said the people wanted the plane to start doing front flips In the sky 🤣,-0.3182,20
I luv stand up comedy,0.3612,5
I really like spirit   airlines,0.5819,5
"I remember when we had to land in a snow storm, the pilot was like ""Lets' give it a try, we will see how it goes""",0.3612,31
I think the only thing I need to explain is the thumbnail,0.0,12
"I took sprite and I was going to Chicago and I was at Florida and they say ""Uhhhhhh Were gonna get some fuel at Michigan""MOTHER OF JESUS",0.0,30
I want more,0.0772,3
I was going to go to some country by spirit airlines .... and I didnt,0.1779,15
I was on a spirit airlines a week ago and it was fine,0.3612,13
I was on delta on a flight to Los Angeles and we had to stop in Salt Lake City because the toilet was clogged. They made us pay for another flight to get to Los Angeles,-0.3818,37
I was on that plane with you,0.0,7
"I went on spirit airlines Abd I almost threw up,",0.1779,11
"I'm going on spirit in two months
.
.
Crap",-0.2263,9
I'm literally flying on Spirit tommorow,0.1779,6
I've never had an issue with Spirit.,0.1779,8
"Im sorry, but I find this insulting.",-0.7411,9
Is spirit airlines a real airline?,0.1779,7
Is this skydoesminecraft  lol,0.4215,4
It’s a song I made called “So Alone” - music video is on my channel!,0.0,20
"Ive never heard of this guy , but this was hilarious😂😂",0.0,13
"JANACE?!
0",0.0,4
Janice is god.,0.2732,4
Janice is thicc. Crazy and thicc,-0.34,7
Janice looks terrifying,-0.5719,3
Janice thicc af tho,0.0,4
Janis is DEAD Inside,-0.7213,4
Janis scares me..,-0.34,4
Jannes is thicc,0.0,3
Jennis is thicc,0.0,3
"Kid: Mamma whats that
Mom: What?
Kid: look!
Other people: Is that a bird, is that a plane!?
Mom: No..It's Motel 6...",0.0,35
LOL,0.4215,1
La De Da De Da De Da De Day Oh,0.0,10
Last time I want to Spirit Airlines the plane didn't come and we going to go on my firsr cruise,0.25,20
Lmao🤣🤣🤣🤣🤣,0.0,4
Lol,0.4215,1
Lol my parents book a flight on spirit airlines and I showed this video to my dad,0.5423,17
Lol so funny,0.7178,3
Me too bruh no joke prayers up 🙏🙏🙏,0.0,10
My classmate ask me to see this it's funny,0.4404,9
My friend was thinking about flying with Spirit Airlines until I play this video#only airline with roaches #Motel 6 of the sky 😂😂😂,0.743,26
Nerver again on the sperit air lines,0.0,7
Not fun,0.5106,2
Now that comedy,0.3612,3
Now united.,0.4215,3
Oh my god😂😂😂,0.0,6
Oh my...,0.0,3
Ok,0.296,1
Ok thx!,0.6114,3
Omg I love you your sooooo funny,0.7964,7
People need to stop risking their lives for social media pictures! Its stupid,-0.8016,14
Put your retard helmet on Janice,-0.5267,6
SUBBED,0.0,1
She looks like he high on crack,0.3612,7
She looks so crazy.,-0.4795,5
She now the way,0.0,4
Shout-outs to the people in the front of the club calling out the punchlines.,0.0,15
"Showed this to my friend, Mira, on the way to our basketball game. We're almost there and a Spirit Airlines plane flies over the road we were on... While we're watching this video...",0.5627,38
Spirit Airlines > Untied Airlines,0.1779,5
"Spirit Airlines isn't bad. I enjoy the back of the plane. Plus, Janice is fun and she shares her meds!",0.7727,24
Spirit Airplanes Fly With Us.. *WE'LL SEE*,0.1779,10
Spirit air lines fly with us......... And we'll see!!,0.3147,12
Spirit airlines is literally the shirt on the floor that you have to wear because you didn’t do the laundry,0.1779,22
Spirit airlines! We’ll see! 👌💥✈️,0.3147,12
Spirit is Amazing! It's a good Airbus,0.8268,8
Spirit is the worst Airline in the world xd,0.1027,9
"Spirit, the outhouse of all airlines",0.1779,7
"Spirt Airlines!Fly with us!   





And we'll see!",0.0,11
T H I C C,0.0,5
THE MOTEL 6 OF THE SKY?!?!,0.0,10
THIS IS AMAZING!!,0.658,5
That killed me XD,0.0085,4
That was funny. The art really adds to the comedy.,0.6597,12
That we’ll see part made me laugh my ass off,0.0258,12
The baby but is out,0.0,5
The main reason is how fucking small their tray tables are,0.0,11
This is awesome!,0.6588,4
This is the spirt of spirt airlines it’s absolutely fascinating you can see the plane doing backflips and you get too meet our old person idk janes who is so dumb she doesn’t know if the flight is going to go well or bad so she just says we’ll see fly with us..... and we’ll see,-0.502,65
"This is very insulting to me, since my father works at Spirit. This is not a funny matter.",-0.6455,21
"This was my flight on Spirit. And my bag was like, over payed for. SPIRT SUCKS",-0.0085,19
This was so good,0.5777,4
"Too late, I already did",0.0,6
Truly the WORST airline. My plane had an emergency landing couple weeks ago.,-0.6739,15
Try not to l..,0.0,5
"Umm, is Janice secretly Mickie mouse???",0.0,10
United is worse,-0.0772,3
W E ‘ L L  S E E,0.0,8
WE'LL SEE,0.0,2
WELL SEE!!,0.3987,4
We'll see!,0.0,3
We'll see😱,0.0,3
Well see,0.2732,2
Well see....😎,0.2732,4
