,sentiment,wordCount
!!! Wakanda Forever !!!,0.0,8
"""The Mask""?",0.0,5
#ReleaseTheMemo  millions of citizens want to know!,0.1511,8
*Happy 60th Birthday Sharon*,0.0,6
*Title casually insults Sharon Stone*,-0.2732,7
+,0.0,1
10 seconds in and Colbert has to go to politics...what a joke,0.296,14
A circle jerk with two whining bitches. Amusing.,-0.6808,10
Absolutely beautiful.,0.6361,3
All those wrinkles..trump is older and got less lol she's wash up just like this show,0.6133,18
"Ameican Actress and Humanitarian Sharon Stone is so cute. I am in love with the idea of taking her to coffee over here at The Hotel Bel-Air's restaurant. I love you, Ms. Stone. Best, Tyler Lord Hamilton",0.955,43
And Arnold Schwarzenegger is proof that men can play roles written for pregnant women.,0.34,15
And show their coochie while crossing their legs. Trash.,0.0,11
And this is news because? Men have played roles for women and that fucking takes talent not some old bitch,0.8201,21
"Angelina Jolie, Salt.",0.0,5
Are those bee's on your shirt? Yeah I think so. I think we should save the bee's....WTF! She does not know the wae!,0.717,29
Aubrey Plaza as Lenny in Legion is proof too x.x,0.0,12
Bring back strangers with candy.,0.0,6
But can she be a penis model thou!?,0.0,10
"By grail I assume you mean your mother's anus, and I presume that liberal tears is what you call the cum dripping out of her cornhole after the last trucker fucked her. ""Is that my new daddy?"" you'd ask as your mother led another hairy, sweaty guy wearing a baseball cap to her bedroom. ""Not now! Mummy's working. Go and play outside the trailer."" And this made you grow up damaged and full of inexpressible anger. Jesus loves you! Even if nobody else fucking does.",-0.8118,100
CUCK COLBERT IS BOUGHT AND PAID FOR BY THE CLINTON CRIME FAMILY!!! PERIOD!   PROOF IS IN THE WIKILEAKS!,-0.6876,23
Can white people play parts with Asian written roles?,0.34,10
Chapter depend racial exclusive queen mix mainstream suggestion peace block.,0.2732,11
Colbert has the most punchable face!!,0.0,8
Colbert is a butt,0.0,4
"Colbert went 80 seconds without mentioning Trump.
New record!",0.0,11
"Come on Spielberg and Touch tone producers, sign her up please.",0.3182,13
Cuck boy Colbert does it again folks. #cuckingfulltime,0.0,9
Damn she was fine in Casino and Total Recall. Didn't age all that well lol,0.4588,16
"Damn! She didn't hit the wall, it fell on top of her. She is WAY too old to try that little boy look !",-0.3578,27
Darshan Sen - The Composer could a man play Julia Roberts roll in pretty woman well? I think it would just feel off.,0.7717,25
Disappointed she didn’t uncross/cross her legs,-0.4767,10
Does that mean she can play a role where she pees standing up?,0.34,14
Does this mean she can be accused of sexual misconduct?,-0.296,11
"Dude nobody can pull off this haircut, not even her. I'm sorry I love her and she's beautiful but the hairstylist was just arrogant here.",-0.1027,28
Elmonyo hahahaha dream on,0.25,4
Everyone knew. The culture in Hollywood has only recently allowed people to take down men like that,0.3612,18
Feminism is cancer.,-0.6597,4
Feminist bullshit,-0.5859,2
"For once I don't here the parasite ""like"" word, people say it so much, it hurts to listen to them. Absolutely gorgeous woman.",0.2333,29
Franklin655 very true,0.4754,4
Fuck feminism.,-0.5423,3
Gender appropriation. She is wrong for doing this. What is wrong with her? She shouldn't be appropriate other genders that aren't hers. It's offensive to everybody. lol,-0.2311,32
"Ghostbusters 2016 is proof that nah, we'll pass.

Let's see Sharon be Rambo and watch the publicly reception to that. No one besides extreme leftists and feminazis will support it.",0.0258,34
"Hahaah what a blatant lie!! The past 3 years tv shows, movies, webseries, and even video games have been ruined time and time again because of Women being where THEY DONT BELONG. Look at Star Wars. They have a game, movie, and animated series that are all greatly hated and demanded to he removed from history because of WORTHLESS CUNTS as yourself Sharon Stone. But because you scared cunts have to scream rape when you don't get what you want, the industry is FORCED to push the feminist agenda. That has been proven for 30 years now STRAIGHT to be a proven lie and hypocritical of the female gender.",-0.9913,122
Her HBO show sounds like something Quantic Dream would make - Reminded me of video game concepts like Heavy Rain or Beyond:Two Souls,0.7184,25
Her face is turning into Donald Rumsfeld.,0.0,8
"Her son looks like ""Mom why did you wear that?"" Lmao",0.7506,14
Here we go...more shit that don't matter,-0.5682,9
How does Sharon look so amazing?,0.7065,7
How is this guy still employed??,0.0,8
How the fuck is it on trending....,-0.5423,8
"I agree with you at some point, I don't think not many actresses in Hollywood could cast in heavy men's role but Sharon. She should be in the next Ocean movie.",0.1901,34
"I can't even imagine how a male actor were treated if he said : ""The more famous and powerful i get the more power i have to hurt women"". Yet she is standing there as if it's perfectly fine.

Female privilege is a real thing",0.8,49
I dare her to play a naked man,0.34,8
"I love her wrinkles!!!! I love her for being who she is. Not the artificial ""forever young"" bullshit that most hollywood actresses do. She is intelligent for sure.",0.9015,36
I really want some beer and chips.,0.1513,8
I think it’s funny Gender equality but yet it’s sexual harassment to touch a girls boobs but flirting to touch a guys dick...the fuck?,-0.81,31
"I think that I saw her on ""granny porn"" at redtube or xvideo, I can't remember which.",0.0,21
I wouldnt mind. Itll definitely make sex scenes better,0.1635,10
"I'd rather stars age with dignity rather than chop themselves up to attempt, in vain, to hold onto their beauty.",0.5719,23
I'm getting really sick of this constant push for feminism. Falsely puffing up women and deluding them into thinking we're EXACTLY the same when we just simply aren't.,-0.5563,30
I'm so amazingly lost in this Mosaic show that between the interactive App and daily HBo episodes. ..I think I'm the murderer! ! Show's incredible and Stone's a savage!,-0.9071,32
I'm so glad he put down the jokes to just listen to her and discuss this important issue.,0.7425,19
Id still hit it. Good too!,0.4926,8
In Iowa city I checked into a room and when I said I wanted smoking she crossed out t e room number 321 and wrote something else so I thought it was supposed to end there but I fucked up that's why I went to Colorado I was going to check into room 321 and hope it would come to an end but because of thinking barracks told me if I checked into room 432 I would get all the money so I thought ten was the money and a Pandora commercial almost simultaneously came on using the number 10 I stayed in room 432 and the next day I got a wrong number from a 319 area code with 432 in the phone number hard to say nothing is happening after that,-0.7579,133
Is anybody more of a cuck than colbert? I think not. He is the leader of the cucks.,0.0,21
"It is not a matter if they can, it is a matter of if they should
Could Charlie's Angles be men??",-0.1301,24
I’d love to see a woman play Rambo (sarcasm),0.765,13
Just a bunch of females wining like babies,0.3612,8
K K      Why don't YOU do something?,0.0,8
"K.B. 100% agree, as evident with the Ghostbusters flop with the all female lead. I have no problem with all female films or main stars being females but the story is ruined when the gender is flipped or the culture is changed.",-0.7615,49
Keep your legs closed.,0.0,5
Kinda hot for an older lady,0.0,6
"Lara big tits thin waist jucy ass was developed by fat nerdy losers with a very stereotyped ideal of a woman,in a world (games)for men,She was made strong by Angelina Jolie with coolness and sensitivity,because she was real and could stand on her own without being a desire of male's will.",-0.6978,61
Liberal tears are what I sippeth from my grail 😩,-0.2263,10
Lmfao😂😂 No. just no. Bitches cannot play roles meant for men. Look what happens when they do movies that are all female casts. Huge bombs. Nice try tho. Just another attempt at trying to make bitches superior to men. Fucking disgusting,-0.853,50
"Looks and sounds like a man, dog-ugly too.",0.3612,10
Looks bold.,0.3818,3
"Looks more like a dike, WOW  didn't watch this vid. Hopefully see didn't do her famous leg crossing, nasty !!!!!!",0.8342,25
Lose weight u fat loser.,-0.7269,6
Love her laugh. Looks great. Classy lady.,0.9413,10
Love her!,0.6696,3
Love that she finished College...the hair?...not so much,0.6369,13
MAGA 🇺🇸,0.0,3
"Man Sharon looks amazing and thank goodness she hasn't trashed her face with plastic surgery. She looks fab and dang, rockin' dat body! Smokin, strong, beautiful, smart...",0.9628,35
Man she looks like hammered shit!,-0.3382,7
Maybe This guys constant bash on Trump is an effort to make him have more supporters on a deep conspiracy level...Willing to bet on many levels this is the case.,-0.0534,33
"Meg Que My husband owns a business and I'd be enraged if some employee sexually harassed him.
The wives mind.",-0.7351,22
Meg Que how the fuck do you know how other people feel? especially men?,-0.594,16
"Meg Que millions of marriages started off in the workplace as casual ""sexual harassment"". Everybody likes sexual harassment if they like the harasser, romantically.
My husband probably would like the ego boost he'd get from being sexually harassed. But that would make him the worst hypocrite since he has fired a woman for sexual misconduct in the past.",-0.7184,65
"Meg Que.
I'm not saying you did but many women watch them for the naked men.",0.0,18
"Meg Que. 
What's your point? Tomb Raider was referenced because it is currently relevant with an upcoming movie. Many other successful action stories feature strong female leads (Underworld, Hunger Games, etc.). And 99% of people don't watch PG-13 movies to ""jerk off"".",0.5719,57
"Meg Que. 
Women are well-known to flock to movies featuring male nudity and objectification. Magic Mike, Fifty Shades of Grey, etc.",0.0516,26
Meh,-0.0772,1
"Miss Stone, contrary to your speech, on May 4, 2017 (AmFAR), you did not become Miss Bitch, you became the one who overcame organic death for the beauty and strength of the love that carries within you.

After years of not seeing you even knowing about your seriou stroke - I'm just a ""41-year-old ( a girl 😊) from Brazil - when I reviewed you in the anthology interview you gave to Lee, at own home, I saw MISS STONES: that you are! With the same perfect a face , kind of from God or  ""carved by Micheangelo' hands,"" even more beautiful because yet more full of wisdom, kindness and  gratitude.

The most beautiful face that the cinema gave to my generation still more illuminated with new traces of divine wrinkles. Please, dont touch or move it. I never saw such beautiful as now. 
Miss Stone,  you become of the most important, touching and glorious character you played and keep offer to us: The timelife of Sharon Stone. You are eternal as spirit. And your example an eternal inspiration of love and hope. 
Thank you, DAME SHARON STONE.
All the best",0.9967,225
Mom,0.0,1
MooseT He's a mangina,0.0,4
Murderee? I thought it would be the murdered.,-0.8625,10
My 11 yr old self loooved her movies. Kind of grosses me out now lol,0.25,16
My god she is mad old. That neck,-0.2732,9
"Nevinrahl You can't say before trying lol, but the concept of a man doing a woman thing is looked down upon by society and the flipped is considered strong.",0.7469,31
Nice hair Sharon...,0.4215,4
Not really.  It depends on the kind of male character the writer had in mind.  And naturally there would be some adjustments made fit the character with a female actor.  Men are different after all.,0.3612,39
OK women can play men's roles but can Asian women play white women's roles? We are the ones struggling to get into Hollywood. Not white privilege women.,0.6504,30
Oh look she wants Obamba back,0.0,6
Old hag divorced and alone a has been whore. Feminism at its best have a good time sleeping in cracker crumps!! Bahahah,0.3365,25
"Or, better yet, we write stories and roles thats so universal that you can just spin a wheel to decide a person's race or gender. Because it thats one of the main selling points of a story (that its female lead, or has a black lead, or both), then it must not be a good story.",0.1265,65
Please sub to my channel it will make my day,0.3182,10
Princess Bala...I'm...Z.,0.0,7
Propaganda,-0.25,1
"Prostitution: Women like this SOLD their bodies for money, doing Hollywood-porn. Now they play the victim act, to get new roles in this industry created by MEN. This is why the stereotypes ""crying like a girl"", ""acting like a pussy"", etc. are correct.",0.6908,56
Remember this sensitive comment? Blame it on the stroke. https://www.theguardian.com/film/2008/may/28/news.chinaearthquake,-0.34,12
Remember when she was hot?,0.0,6
"Remember when you got some intelligence? No, i didnt think so.",0.2263,14
Richard Conner If you had any class you would lay off the caps lock.,0.0,15
"Robert Bemister It didn't fall on her, She went through the wall.",0.0,14
Russians are lying thieves. Only thing you can trust a Russian to do is stab you in the back.,-0.802,21
