,sentiment,wordCount
""" I couldn't earn it; I DO deserve it...""",0.0,12
", such a beautiful message of God's grace",0.7717,8
54j,0.0,1
<3,0.4404,1
<3 <3 <3,0.8271,3
Adam Butterworth by human standards it is. And that’s why we can’t understand it.,0.0,20
After church one Sunday I went and got together with the song group and got mad at them. I told them they didn't sing my song today! :( LOL this is sooooooooooooooooo my song,-0.4327,36
"After having a bad day at work all's I could thnkabout was this song ,it help take my mind off the bad thing's and help me put it on the most important, and that's the love Christ has  for me,thank you for this beautiful song.",0.8526,50
Ahhhhh BEAUTIFUL AND SO REAL!! <3,0.8776,8
"Amazing song, ccsaradiomision.me",0.5859,4
Anybody know what tuning he's using? Love this song!,0.6696,11
Anyone know the fingerings he's using for this?,0.0,9
Anyone know what camera and lens they use? Looks superb!,0.6588,12
Anyone knows the chord pattern he is playing? Doesn't seem like he is playing the conventional C#m B A E.,0.1255,24
Aqui no Brasil essa música tem impactados milhares ❤🔥,-0.296,10
Beautiful. Thank you for sharing the love of Jesus in song.,0.9246,13
"Before I spoke a word
You were singing over me
You have been so, so good to me
Before I took a breath
You breathed your life in me
You have been so, so kind to me

Oh, The overwhelming, never-ending
Reckless love of God
Oh, It chases me down
Fights 'til I'm found
Leaves the ninety-nine
I couldn't earn it
And I don't deserve it
Still you give yourself away

Oh, The overwhelming, never-ending
Reckless love of God

When I was your foe, still Your love fought for me
You have been so, so good to me
When I felt no worth
You paid it all for me
You have been so, so kind to me

Oh, The overwhelming, never-ending
Reckless love of God
Oh, It chases me down
Fights 'til I'm found
Leaves the ninety-nine
I couldn't earn it
And I don't deserve it
Still you give yourself away

Oh, The overwhelming, never-ending
Reckless love of God

There's no shadow You won't light up
Mountain You won't climb up
Coming after me
There's no wall You won't kick down
Lie You won't tear down
Coming after me

Oh, The overwhelming, never-ending
Reckless love of God
Oh, It chases me down
Fights 'til I'm found
Leaves the ninety-nine
I couldn't earn it
And I don't deserve it
Still you give yourself away

Oh, The overwhelming, never-ending
Reckless love of God",0.984,254
"Before I spoke a word, You were singing over me
You have been so, so good to me
Before I took a breath, You breathed Your life in me
You have been so, so kind to me
Oh, the overwhelming, never-ending, reckless love of God
Oh, it chases me down, fights 'til I'm found, leaves the ninety-nine
I couldn't earn it, and I don't deserve it, still, You give Yourself away
Oh, the overwhelming, never-ending, reckless love of God, yeah
When I was Your foe, still Your love fought for me
You have been so, so good to me
When I felt no worth, You paid it all for me
You have been so, so kind to me
And oh, the overwhelming, never-ending, reckless love of God
Oh, it chases me down, fights 'til I'm found, leaves the ninety-nine
And I couldn't earn it, and I don't deserve it, still, You give Yourself away
Oh, the overwhelming, never-ending, reckless love of God, yeah
There's no shadow You won't light up
Mountain You won't climb up
Coming after me
There's no wall You won't kick down
Lie You won't tear down
Coming after me
There's no shadow You won't light up
Mountain You won't climb up
Coming after me
There's no wall You won't kick down
Lie You won't tear down
Coming after me
There's no shadow You won't light up
Mountain You won't climb up
Coming after me
There's no wall You won't kick down
Lie You won't tear down
Coming after me
There's no shadow You won't light up
Mountain You won't climb up
Coming after me
There's no wall You won't kick down
Lie You won't tear down
Coming after me
Oh, the overwhelming, never-ending, reckless love of God
Oh, it chases me down, fights 'til I'm found, leaves the ninety-nine
And I couldn't earn it, I don't deserve it, still, You give Yourself away
Oh, the overwhelming, never-ending, reckless love of God, yeah",0.9772,376
Before I spoke a word....amen...,0.0,8
Bethel music is the best,0.6369,5
Brazil 🔰💛🔥➕,0.0,5
"COME AND DIE! COME AND SEE! COME AND FIGHT THE GOOD FIGHT, HERE...OR WHERE-EVER!",-0.795,20
